,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ALO,0.6,0.58,3.08,,,,,,,,,,0,4.26
AMW,0.39,0.21,4.05,,,,,,,,,,0,4.65
BRL,0.13,1.74,5.95,,,,,,,,,,0,7.82
CID,0.3,0.76,3.28,,,,,,,,,,0,4.34
DBQ,1.18,2.27,4.28,,,,,,,,,,0,7.73
DSM,0.59,0.57,4.72,,,,,,,,,,0,5.88
DVN,0.15,1.33,5.19,,,,,,,,,,0,6.67
EST,0.18,0.42,2.42,,,,,,,,,,0,3.02
IOW,0.37,0.81,4.62,,,,,,,,,,0,5.8
LWD,0.18,0.61,4.19,,,,,,,,,,0,4.98
MCW,0.34,0.84,2.04,,,,,,,,,,0,3.22
MIW,0.06,2.67,2.38,,,,,,,,,,0,5.11
OTM,0.12,0.91,4.45,,,,,,,,,,0,5.48
SPW,0.1,0.85,1.26,,,,,,,,,,0,2.21
SUX,0.4,0.7,1.43,,,,,,,,,,0,2.53
