,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ADU,0.00,0.03,0.11,3.64,3.66,1.67,4.08,3.55,1.13,0.56,0.00,0.00,12.96,18.43
AIO,0.04,0.41,0.38,2.97,3.91,0.83,1.53,4.54,1.10,2.80,0.16,0.00,10.81,18.67
AWG,0.11,0.87,1.56,5.26,5.85,2.86,2.77,2.50,0.66,2.35,0.15,0.38,13.98,25.32
AXA,0.03,0.16,0.45,2.70,2.06,2.25,3.68,7.58,1.56,2.64,0.10,0.10,15.57,23.31
BNW,0.00,1.03,0.38,3.80,4.02,1.79,3.83,6.51,1.32,1.90,0.14,0.00,16.15,24.72
CAV,0.01,0.56,0.21,3.29,2.29,1.71,4.25,7.99,1.42,1.36,0.16,0.04,16.24,23.29
CBF,0.15,0.47,0.29,3.52,2.88,1.28,1.25,5.80,1.22,2.02,0.09,0.00,11.21,18.97
CCY,0.17,1.16,0.51,4.22,3.08,3.39,5.35,6.04,1.19,1.43,0.19,0.38,17.86,27.11
CIN,0.04,0.42,0.56,2.69,3.61,3.10,2.61,7.54,1.73,2.55,0.08,0.00,16.86,24.93
CNC,0.23,0.26,1.65,3.55,4.53,3.07,3.95,1.81,1.13,2.45,0.08,0.04,13.36,22.75
CSQ,0.06,0.46,0.96,2.70,3.89,1.50,2.56,2.52,2.67,2.70,0.10,0.00,10.47,20.12
DEH,0.00,0.00,0.00,1.40,2.14,1.48,2.58,1.08,0.95,1.06,0.27,0.20,7.28,11.16
DNS,0.00,0.00,0.46,2.50,2.77,2.06,2.13,5.10,2.86,2.93,0.01,0.00,12.06,20.82
EBS,0.00,0.06,0.26,3.89,3.27,3.34,5.93,7.54,2.67,2.97,0.09,0.01,20.08,30.03
EOK,0.09,0.16,0.39,3.77,0.53,0.00,0.00,0.00,1.14,2.68,0.25,0.76,0.53,9.77
FFL,0.03,0.60,1.91,5.96,7.18,5.04,1.03,2.48,0.64,0.96,0.08,0.20,15.73,26.11
FSW,0.08,0.24,1.33,4.67,6.40,3.81,1.06,4.50,0.95,2.90,0.25,0.57,15.77,26.76
HNR,0.02,0.35,0.50,3.20,4.88,1.69,2.90,0.31,0.74,0.83,0.23,0.00,9.78,15.65
ICL,0.03,0.62,0.53,0.33,0.66,1.82,3.05,1.54,0.00,0.00,0.00,0.00,7.07,8.58
IIB,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IKV,0.23,0.66,0.52,3.98,2.95,2.16,2.71,1.54,0.99,2.25,0.15,0.01,9.36,18.15
LRJ,0.01,0.06,0.18,1.99,2.75,3.73,3.08,6.42,2.08,1.67,0.07,0.02,15.98,22.06
MPZ,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MUT,0.04,0.08,1.81,4.21,0.00,3.04,4.07,5.26,0.80,2.75,0.17,1.35,12.37,23.58
MXO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OLZ,0.00,0.07,0.28,2.99,3.49,4.15,2.76,0.02,0.00,0.00,0.00,0.23,10.42,13.99
ORC,0.02,0.17,0.34,2.75,2.18,3.31,2.93,8.30,2.31,2.36,0.12,0.04,16.72,24.83
OXV,0.26,0.52,1.26,4.92,6.00,1.66,7.88,2.91,4.66,2.95,0.14,0.03,18.45,33.19
PEA,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RDK,0.48,0.51,0.41,3.00,3.78,3.07,3.89,4.49,0.75,0.13,0.00,0.02,15.23,20.53
SDA,0.29,0.44,1.06,2.15,5.40,1.35,1.01,0.10,0.08,1.77,0.34,0.03,7.86,14.02
SHL,0.02,0.07,0.24,2.22,2.29,2.36,1.04,4.21,1.07,1.57,0.05,0.05,9.90,15.19
SLB,0.00,0.05,10.21,12.72,3.44,1.93,2.94,8.75,0.75,0.82,0.09,0.01,17.06,41.71
TNU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,2.29,0.20,0.00,0.00,3.23
VTI,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
