,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ADU,0.72,0.03,1.81,5.11,2.63,0.76,,,,,,,3.39,11.06
AIO,0.86,0,2.06,4.8,3.85,2.32,,,,,,,6.17,13.89
AWG,2.51,0.48,4.07,3.51,2.71,2.16,,,,,,,4.87,15.44
AXA,0.33,0.04,2.6,5.29,0.64,2.16,,,,,,,2.8,11.06
BNW,0.48,0.09,2.49,4.9,2.29,0,,,,,,,2.29,10.25
CAV,0.33,0.06,2.89,3.84,1.3,1.71,,,,,,,3.01,10.13
CBF,0.74,0.01,1.19,3.98,1.21,0.85,,,,,,,2.06,7.98
CCY,0.31,0,2.54,4.96,1.42,4.36,,,,,,,5.78,13.59
CIN,0.24,0.03,1.96,3.92,1.21,1.39,,,,,,,2.6,8.75
CKP,0.09,0.04,3.32,3.25,0.92,4.55,,,,,,,5.47,12.17
CNC,0.82,0.19,3.1,3.52,2.64,1.22,,,,,,,3.86,11.49
CSQ,0.72,0.01,2.85,5.27,2.33,1.78,,,,,,,4.11,12.96
DEH,0.48,0.01,1.42,3.41,2.04,3.16,,,,,,,5.2,10.52
DNS,0.45,0.02,2.22,4.84,2.5,0.32,,,,,,,2.82,10.35
EBS,0.19,0.02,0.53,3.55,1.57,1.31,,,,,,,2.88,7.17
EOK,2.38,0.38,3.43,3.03,1.27,3.13,,,,,,,4.4,13.62
FFL,2.49,0.3,3.21,2.22,1.76,2.33,,,,,,,4.09,12.31
FSW,3.32,0.19,3.76,4.48,0.48,1.63,,,,,,,2.11,13.86
HNR,1.02,0,1.63,3.8,2.49,1.12,,,,,,,3.61,10.06
ICL,0.01,0,2.37,4.04,2.45,2.75,,,,,,,5.2,11.62
IIB,0,0,0,0,0,0,,,,,,,0,0
IKV,0.37,0.01,3.62,4.84,1.24,0.57,,,,,,,1.81,10.65
LRJ,0.15,0.07,2.2,3.71,0.95,3.83,,,,,,,4.78,10.91
MPZ,0,0,0,0,0,0,,,,,,,0,0
MUT,3.42,0.42,4.4,4.08,1.05,2.05,,,,,,,3.1,15.42
MXO,0,0,0,0,0,1.67,,,,,,,1.67,1.67
OLZ,1.22,0.04,3.31,3.71,1.67,3.38,,,,,,,5.05,13.33
OOA,0.96,0.18,4.03,3.07,1.92,0.97,,,,,,,2.89,11.13
ORC,0.47,0.06,2.08,5.1,0.9,2.57,,,,,,,3.47,11.18
OXV,0.89,0.05,3.27,3.05,1.78,1.15,,,,,,,2.93,10.19
PEA,0,0,0,0,0,0,,,,,,,0,0
RDK,0.08,0.03,1.88,3.75,3.24,2.53,,,,,,,5.77,11.51
SDA,0.99,0,1.93,3.91,1.82,2.22,,,,,,,4.04,10.87
SHL,0.36,0.08,1.89,5.9,0.95,3.12,,,,,,,4.07,12.3
SLB,0.62,0.04,3.78,4.44,0.72,1.14,,,,,,,1.86,10.74
TNU,0.68,0.02,4.11,3.71,1.94,0.84,,,,,,,2.78,11.3
VTI,0,0,0,0,0,0,,,,,,,0,0
