,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ADU,0.24,0.32,,,,,,,,,,,0,0.56
AIO,0.22,0.41,,,,,,,,,,,0,0.63
AWG,0.28,0.7,,,,,,,,,,,0,0.98
AXA,0.07,0.29,,,,,,,,,,,0,0.36
BNW,0.11,0.84,,,,,,,,,,,0,0.95
CAV,0.05,0.39,,,,,,,,,,,0,0.44
CBF,0.12,0.31,,,,,,,,,,,0,0.43
CCY,0.11,0.4,,,,,,,,,,,0,0.51
CIN,0.16,0.26,,,,,,,,,,,0,0.42
CKP,0.04,0.52,,,,,,,,,,,0,0.56
CNC,0.15,1.62,,,,,,,,,,,0,1.77
CSQ,0.06,1.04,,,,,,,,,,,0,1.1
DEH,0.12,0.43,,,,,,,,,,,0,0.55
DNS,0.17,0.36,,,,,,,,,,,0,0.53
EBS,0.13,0.24,,,,,,,,,,,0,0.37
EOK,1.11,0.94,,,,,,,,,,,0,2.05
FFL,0.32,0.72,,,,,,,,,,,0,1.04
FSW,0.11,0.77,,,,,,,,,,,0,0.88
GGI,0.11,0.56,,,,,,,,,,,0,0.67
HNR,0.09,0.37,,,,,,,,,,,0,0.46
ICL,0.3,0.71,,,,,,,,,,,0,1.01
IIB,0,0,,,,,,,,,,,0,0
IKV,0.18,1.24,,,,,,,,,,,0,1.42
LRJ,0.22,0.66,,,,,,,,,,,0,0.88
MPZ,0,0,,,,,,,,,,,0,0
MUT,0.59,1.15,,,,,,,,,,,0,1.74
MXO,0,0,,,,,,,,,,,0,0
OLZ,0.04,0.03,,,,,,,,,,,0,0.07
OOA,0.13,1.02,,,,,,,,,,,0,1.15
ORC,0.19,0.9,,,,,,,,,,,0,1.09
OXV,0.15,1.58,,,,,,,,,,,0,1.73
PEA,0,0,,,,,,,,,,,0,0
RDK,0.19,0.75,,,,,,,,,,,0,0.94
SDA,0.05,0.51,,,,,,,,,,,0,0.56
SHL,0.01,0,,,,,,,,,,,0,0.01
SLB,0.14,0.28,,,,,,,,,,,0,0.42
TNU,0.14,1.14,,,,,,,,,,,0,1.28
VTI,0,0,,,,,,,,,,,0,0
