 
 THIS IS FOR STATION NUMBER 1394 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.26   0.57  59(61) 18(18) 13(13)  6( 6)  0( 0)    7       96
  2 3/8-->3/14       1.33   0.46  47(58) 17(20) 13(16)  4( 4)  0( 0)    8       81
  3 3/15-->3/21      1.40   0.43  48(59) 18(22) 13(16)  2( 2)  0( 0)    7       81
  4 3/22-->3/28      1.75   0.58  52(59) 19(21)  8( 9)  9(10)  0( 0)    7       88
  5 3/29-->4/4       1.78   0.70  59(56) 21(20) 18(17)  6( 5)  0( 0)    3      104
  6 4/5-->4/11       1.81   0.55  59(63) 16(17) 13(13)  5( 5)  0( 0)    0       93
  7 4/12-->4/18      1.79   0.98  59(48) 29(23) 21(17) 13(10)  0( 0)    0      122
  8 4/19-->4/25      2.82   1.00  76(59) 21(16) 16(12) 12( 9)  2( 1)    0      127
  9 4/26-->5/2       1.93   0.86  74(59) 21(16) 19(15) 10( 8)  0( 0)    1      124
 10 5/3-->5/9        2.65   1.05  70(55) 20(15) 20(15) 13(10)  3( 2)    0      126
 11 5/10-->5/16      1.61   0.89  62(53) 19(16) 24(20) 11( 9)  0( 0)    0      116
 12 5/17-->5/23      3.06   0.87  67(56) 24(20) 18(15)  7( 5)  2( 1)    0      118
 13 5/24-->5/30      2.56   1.20  84(60) 20(14) 18(12) 13( 9)  5( 3)    0      140
 14 5/31-->6/6       2.13   0.84  62(55) 25(22) 13(11)  9( 8)  2( 1)    0      111
 15 6/7-->6/13       3.30   1.27  73(52) 24(17) 25(18) 12( 8)  4( 2)    0      138
 16 6/14-->6/20      2.84   1.11  52(49) 14(13) 27(25)  7( 6)  6( 5)    0      106
 17 6/21-->6/27      3.45   1.07  58(53) 16(14) 22(20)  9( 8)  4( 3)    0      109
 18 6/28-->7/4       5.48   1.18  50(50) 14(14) 18(18) 14(14)  4( 4)    0      100
 19 7/5-->7/11       5.50   0.96  50(49) 23(22) 17(16)  8( 7)  3( 2)    0      101
 20 7/12-->7/18      4.15   1.11  51(50) 21(20) 14(13) 11(10)  5( 4)    0      102
 21 7/19-->7/25      2.38   0.93  43(44) 18(18) 23(23) 11(11)  2( 2)    0       97
 22 7/26-->8/1       2.15   0.71  43(51) 18(21) 14(16)  8( 9)  1( 1)    1       84
 23 8/2-->8/8        5.81   0.99  62(56) 18(16) 15(13) 12(11)  2( 1)    7      109
 24 8/9-->8/15       2.60   0.97  54(52) 14(13) 17(16) 15(14)  2( 1)    7      102
 25 8/16-->8/22      3.10   0.82  48(51) 18(19) 15(16) 11(11)  1( 1)    7       93
 26 8/23-->8/29      4.52   0.78  35(46) 14(18) 19(25)  5( 6)  3( 3)    7       76
 27 8/30-->9/5       3.32   0.94  51(54) 12(12) 18(19)  9( 9)  4( 4)    2       94
 28 9/6-->9/12       3.30   0.89  46(50) 15(16) 20(21)  9( 9)  2( 2)    0       92
 29 9/13-->9/19      8.03   1.40  48(45) 21(19) 15(14) 18(16)  4( 3)    0      106
 30 9/20-->9/26      4.50   1.02  52(50) 19(18) 16(15) 10( 9)  5( 4)    0      102
 31 9/27-->10/3      1.45   0.55  41(56) 12(16) 10(13) 10(13)  0( 0)    6       73
 32 10/4-->10/10     4.00   0.72  52(63)  9(10)  9(10)  8( 9)  4( 4)   14       82
 33 10/11-->10/17    2.71   0.60  42(55) 17(22) 10(13)  6( 7)  1( 1)    6       76
 34 10/18-->10/24    3.00   0.71  59(62) 12(12) 15(15)  6( 6)  3( 3)    0       95
 35 10/25-->10/31    2.85   0.55  44(56) 18(23)  9(11)  6( 7)  1( 1)    0       78
 36 11/1-->11/7      2.03   0.60  49(59) 15(18) 12(14)  6( 7)  1( 1)    0       83
 37 11/8-->11/14     1.50   0.41  50(64) 14(18)  9(11)  4( 5)  0( 0)    0       77
 38 11/15-->11/21    4.95   0.60  51(62) 14(17)  9(11)  4( 4)  3( 3)    0       81
 39 11/22-->11/28    0.96   0.31  52(72) 11(15)  9(12)  0( 0)  0( 0)    0       72
 40 11/29-->12/5     2.96   0.32  46(70) 10(15)  8(12)  0( 0)  1( 1)    5       65
 41 12/6-->12/12     1.96   0.31  65(79) 12(14)  2( 2)  3( 3)  0( 0)    7       82
 42 12/13-->12/19    1.10   0.21  45(75) 11(18)  3( 5)  1( 1)  0( 0)    7       60
 43 12/20-->12/26    1.80   0.26  53(76) 10(14)  5( 7)  1( 1)  0( 0)    7       69
 44 12/27-->1/2      0.91   0.26  58(77) 13(17)  4( 5)  0( 0)  0( 0)    7       75
 45 1/3-->1/9        0.82   0.19  46(77) 10(16)  3( 5)  0( 0)  0( 0)    7       59
 46 1/10-->1/16      1.31   0.22  45(76)  9(15)  3( 5)  2( 3)  0( 0)    8       59
 47 1/17-->1/23      0.87   0.22  62(81) 10(13)  4( 5)  0( 0)  0( 0)    7       76
 48 1/24-->1/30      0.79   0.20  59(83)  7( 9)  5( 7)  0( 0)  0( 0)    7       71
 49 1/31-->2/6       0.89   0.24  53(77) 10(14)  5( 7)  0( 0)  0( 0)    7       68
 50 2/7-->2/13       0.88   0.17  45(78) 10(17)  2( 3)  0( 0)  0( 0)    7       57
 51 2/14-->2/20      1.43   0.32  47(69) 12(17)  8(11)  1( 1)  0( 0)    7       68
 52 2/21-->2/27      1.95   0.37  54(68) 15(18)  8(10)  2( 2)  0( 0)    7       79
 53 2/28-->2/29      0.64   0.03   8(72)  2(18)  1( 9)  0( 0)  0( 0)    1       11
 ANNUAL TOTALS       8.03   2820(59)830(17)675(14)349( 7) 80( 1)  181     4754
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 1394
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.94 1.12 2.35 3.54 4.36 4.60 4.42 3.90 4.37 2.73 2.07 1.13 35.53  <-- PRECIP
  
   21.8 27.7 38.5 51.9 62.6 71.9 76.6 74.5 66.0 54.7 39.7 27.5  55.8  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   9     13  1961     8.03
   9     15  1992     6.95
   8      8  1970     5.81
   7      4  1981     5.48
   7      5  1993     5.50
  11     17  1952     4.95
   9     20  1978     4.50
   8     26  1987     4.52
   7     16  1982     4.15
   7     18  1970     4.07
  10      9  1982     4.00
   7     15  1984     3.88
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  1394
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     85     38     30     23    302    173    147    125
 1952    113     58     49     40    390    258    233    209
 1953    183     92     72     55    279    146    121     99
 1954    130     48     33     22    518    342    303    265
 1955    188    105     89     74    548    371    332    296
 1956    196    104     87     74    395    265    238    213
 1957    161     70     54     43    406    250    215    187
 1958     95     32     22     14    409    253    221    189
 1959    160     79     66     54    376    230    200    176
 1960     35     13      8      4    454    289    252    218
 1961    154     73     58     47    304    173    151    130
 1962    115     59     47     39    387    248    218    190
 1963    234    134    119    105    472    311    275    240
 1964    176     89     75     61    440    283    250    219
 1965     27      8      6      4    397    251    220    189
 1966    282    169    143    117    339    205    176    149
 1967    297    198    178    158    450    278    242    209
 1968    329    209    185    161    442    276    242    212
 1969     98     54     47     40    440    281    245    211
 1970     98     40     30     22    462    309    275    244
 1971    152     80     66     53    481    327    295    264
 1972    200    112     98     85    388    243    214    188
 1973    236    109     84     62    347    203    173    146
 1974    241    135    114     97    480    307    268    233
 1975    109     60     50     40    358    218    186    157
 1976    211    111     92     75    485    318    281    246
 1977    286    167    143    122    531    352    315    282
 1978    126     70     58     48    370    219    189    162
 1979    137     67     55     44    307    176    150    126
 1980    123     57     46     35    414    263    231    205
 1981    253    136    113     93    563    386    346    308
 1982    170     77     58     42    344    216    189    163
 1983    189    108     91     76    247    131    112     96
 1984     54      9      5      4    317    166    139    114
 1985    243    128    106     86    543    365    326    291
 1986    296    178    157    139    518    348    312    279
 1987    242    131    110     93    502    337    306    277
 1988    262    162    141    121    410    272    242    213
 1989    181    113     98     84    412    267    235    206
 1990    214    116     98     82    360    221    190    162
 1991    230    132    114     98    407    248    215    184
 1992    223    117     97     80    294    158    132    111
 1993     93     39     30     23    270    147    123    103
 1994    199    106     89     75    380    241    213    186
 1995    211    131    114     98    268    156    133    110
 1996    114     48     37     28    312    193    168    145
 1997    192     95     77     63    265    151    129    108
 1998    126     77     69     61    314    181    153    128
     ****************************  *************************** 
 MEAN  176.8   94.9   79.5   66.2  398.1  250.3  219.4  191.2
 STDV   71.5   47.9   43.1   38.4   83.9   67.4   62.9   58.4
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    688    475    425    378    757    526    471    418
 1952    635    423    379    337   1008    772    713    656
 1953    628    425    383    342    986    746    686    627
 1954    522    351    314    277    960    724    668    613
 1955    703    487    440    394    799    570    518    469
 1956    786    565    517    471    987    755    699    643
 1957    641    430    385    342    885    653    596    540
 1958    705    506    462    418    826    590    536    484
 1959    772    542    487    436    942    702    642    585
 1960    655    442    393    349    867    628    570    514
 1961    588    392    347    309    858    624    571    520
 1962    905    667    611    556    888    648    589    534
 1963    646    430    381    337    960    721    663    607
 1964    847    611    557    506    911    678    620    563
 1965    816    600    548    498    864    626    571    520
 1966    600    410    369    333    859    628    572    519
 1967    577    388    346    307    894    659    603    548
 1968    579    391    350    311    933    698    643    590
 1969    699    482    433    387    796    576    525    476
 1970    797    575    524    474    915    677    620    566
 1971    591    404    363    322   1022    782    722    663
 1972    684    463    414    371    872    645    592    539
 1973    607    400    354    313    933    693    633    576
 1974    675    462    412    366    806    574    523    474
 1975    743    528    480    433    908    671    613    557
 1976    587    404    363    324    876    639    585    533
 1977    837    607    550    496    938    701    645    589
 1978    626    418    373    331    902    667    614    562
 1979    680    481    436    392    909    672    615    559
 1980    699    496    450    409    893    654    598    542
 1981    582    392    350    311    928    688    629    571
 1982    763    529    473    419    778    546    493    443
 1983    596    389    346    304    935    704    649    594
 1984    584    385    343    303    969    731    672    614
 1985    753    520    469    420    807    576    524    476
 1986    725    492    439    389    992    752    693    634
 1987    813    596    548    501    971    734    676    619
 1988    775    550    501    456    945    712    656    603
 1989    612    417    374    333    813    585    529    477
 1990    520    315    273    234    895    655    597    541
 1991    773    542    490    440    947    707    649    592
 1992    604    418    377    338    778    555    507    463
 1993    629    410    361    312    839    607    550    496
 1994    591    410    367    327    903    664    605    548
 1995    505    298    253    212    850    612    554    497
 1996    540    331    287    247    854    617    559    503
 1997    461    287    249    216    870    634    579    526
 1998    747    510    458    407    811    582    528    477
     ****************************  *************************** 
 MEAN  668.8  459.5  412.8  368.7  892.7  657.8  601.7  547.4
 STDV  100.3   87.0   83.1   79.0   65.8   62.9   61.2   58.7
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    994    746    685    624    982    734    673    613
 1952   1046    798    736    676    943    695    638    582
 1953   1016    770    710    650    961    714    655    600
 1954   1102    854    792    730   1026    778    716    654
 1955   1153    905    843    781   1032    784    723    663
