 
 THIS IS FOR STATION NUMBER 3290 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.52   0.38  56(68) 14(17)  9(10)  3( 3)  0( 0)    9       82
  2 3/8-->3/14       1.50   0.40  45(60) 20(26)  8(10)  2( 2)  0( 0)    7       75
  3 3/15-->3/21      1.77   0.43  58(72)  8(10)  9(11)  5( 6)  0( 0)    7       80
  4 3/22-->3/28      1.80   0.62  45(55) 14(17) 13(16)  9(11)  0( 0)    7       81
  5 3/29-->4/4       1.53   0.56  63(67) 12(12) 12(12)  7( 7)  0( 0)    7       94
  6 4/5-->4/11       3.25   0.52  49(60) 20(24)  8( 9)  3( 3)  1( 1)    7       81
  7 4/12-->4/18      1.63   0.76  62(55) 23(20) 18(16)  8( 7)  0( 0)    7      111
  8 4/19-->4/25      2.03   0.71  55(56) 21(21) 12(12)  9( 9)  1( 1)    7       98
  9 4/26-->5/2       2.46   0.97  55(50) 16(14) 27(24)  9( 8)  2( 1)    6      109
 10 5/3-->5/9        1.93   0.95  70(57) 15(12) 25(20) 11( 9)  0( 0)    0      121
 11 5/10-->5/16      2.45   0.80  62(56) 22(20) 17(15)  8( 7)  1( 0)    0      110
 12 5/17-->5/23      3.18   1.25  62(48) 22(17) 28(21) 11( 8)  6( 4)    1      129
 13 5/24-->5/30      4.98   1.35  62(46) 30(22) 28(21)  8( 6)  4( 3)    1      132
 14 5/31-->6/6       2.55   0.96  52(49) 25(23) 15(14)  9( 8)  5( 4)    6      106
 15 6/7-->6/13       2.85   1.04  66(54) 17(14) 24(19) 13(10)  1( 0)    7      121
 16 6/14-->6/20      2.50   1.09  49(47) 18(17) 19(18) 14(13)  4( 3)    7      104
 17 6/21-->6/27      4.96   1.28  50(45) 21(18) 22(19) 13(11)  5( 4)    8      111
 18 6/28-->7/4       3.40   0.96  37(44) 14(16) 21(25)  6( 7)  6( 7)    7       84
 19 7/5-->7/11       2.60   1.04  50(45) 24(21) 22(20) 10( 9)  4( 3)    7      110
 20 7/12-->7/18      2.53   0.96  52(53) 15(15) 15(15) 11(11)  5( 5)    7       98
 21 7/19-->7/25      4.68   1.00  50(54) 12(13) 15(16)  9( 9)  5( 5)    7       91
 22 7/26-->8/1       6.48   0.76  46(56) 16(19) 13(15)  5( 6)  2( 2)    7       82
 23 8/2-->8/8        2.20   1.04  41(41) 20(20) 21(21) 16(16)  2( 2)    7      100
 24 8/9-->8/15       2.86   0.89  53(54) 20(20) 13(13)  9( 9)  3( 3)    7       98
 25 8/16-->8/22      1.92   0.85  35(42) 18(21) 17(20) 13(15)  0( 0)    7       83
 26 8/23-->8/29      4.26   0.98  47(50) 24(25)  8( 8)  8( 8)  6( 6)    7       93
 27 8/30-->9/5       6.00   0.98  38(43) 21(23) 18(20)  7( 7)  4( 4)    7       88
 28 9/6-->9/12       3.86   0.83  32(44) 15(20) 12(16)  9(12)  4( 5)    7       72
 29 9/13-->9/19      2.08   0.84  48(50) 17(17) 19(20) 10(10)  1( 1)    9       95
 30 9/20-->9/26      3.92   0.85  49(55)  9(10) 19(21)  8( 8)  4( 4)    8       89
 31 9/27-->10/3      1.91   0.49  48(61) 15(19) 10(12)  5( 6)  0( 0)    7       78
 32 10/4-->10/10     2.07   0.56  38(52) 17(23) 10(13)  7( 9)  1( 1)    7       73
 33 10/11-->10/17    2.40   0.48  29(54)  9(16)  8(15)  4( 7)  3( 5)    8       53
 34 10/18-->10/24    1.92   0.43  40(60) 13(19)  8(12)  5( 7)  0( 0)    7       66
 35 10/25-->10/31    1.95   0.52  35(52) 13(19) 12(17)  7(10)  0( 0)    8       67
 36 11/1-->11/7      1.85   0.41  47(69)  7(10) 10(14)  4( 5)  0( 0)    7       68
 37 11/8-->11/14     1.52   0.31  39(65) 10(16) 10(16)  1( 1)  0( 0)    7       60
 38 11/15-->11/21    1.29   0.40  36(58) 12(19)  9(14)  5( 8)  0( 0)    7       62
 39 11/22-->11/28    0.97   0.18  39(73)  9(16)  5( 9)  0( 0)  0( 0)    7       53
 40 11/29-->12/5     2.65   0.32  42(68) 12(19)  4( 6)  2( 3)  1( 1)    8       61
 41 12/6-->12/12     0.86   0.22  51(78)  8(12)  6( 9)  0( 0)  0( 0)    9       65
 42 12/13-->12/19    2.50   0.25  43(74)  9(15)  4( 6)  1( 1)  1( 1)    8       58
 43 12/20-->12/26    0.63   0.16  37(75)  9(18)  3( 6)  0( 0)  0( 0)    9       49
 44 12/27-->1/2      1.38   0.26  50(75)  8(12)  7(10)  1( 1)  0( 0)    7       66
 45 1/3-->1/9        0.80   0.13  34(80)  5(11)  3( 7)  0( 0)  0( 0)    7       42
 46 1/10-->1/16      0.85   0.14  42(84)  5(10)  3( 6)  0( 0)  0( 0)    8       50
 47 1/17-->1/23      0.85   0.18  52(81)  9(14)  3( 4)  0( 0)  0( 0)    8       64
 48 1/24-->1/30      0.95   0.15  43(82)  6(11)  3( 5)  0( 0)  0( 0)    7       52
 49 1/31-->2/6       1.15   0.23  34(66) 11(21)  5( 9)  1( 1)  0( 0)   13       51
 50 2/7-->2/13       1.04   0.16  33(76)  5(11)  4( 9)  1( 2)  0( 0)   14       43
 51 2/14-->2/20      2.10   0.23  51(82)  6( 9)  4( 6)  0( 0)  1( 1)   14       62
 52 2/21-->2/27      1.10   0.19  46(79) 10(17)  1( 1)  1( 1)  0( 0)   14       58
 53 2/28-->2/29      0.25   0.02   9(90)  1(10)  0( 0)  0( 0)  0( 0)    2       10
 ANNUAL TOTALS       6.48   2457(57)752(17)639(15)308( 7) 83( 1)  381     4239
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 3290
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.71 0.82 2.06 3.07 4.69 4.70 4.12 4.19 3.56 2.15 1.47 0.96 32.49  <-- PRECIP
  
   22.1 28.4 39.2 52.9 64.1 73.7 77.9 75.7 67.0 55.4 39.8 27.6  56.7  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   7     26  1990     6.48
   9      2  1997     6.00
   6     21  1967     4.96
   5     26  1987     4.98
   7     22  1978     4.68
   5     26  1964     4.48
   8     25  1975     4.26
   9     26  1973     3.92
   9      9  1989     3.86
   8     23  1954     3.74
   9      7  1965     3.76
   6     29  1965     3.40
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  3290
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     95     49     42     36    278    156    130    109
 1952    111     56     46     38    386    242    214    187
 1953    218    118     97     80    317    181    155    131
 1954    120     48     37     26    520    334    294    256
 1955    216    131    113     95    596    419    382    347
 1956    216    120    102     85    417    280    251    224
 1957    135     62     50     42    397    250    220    193
 1958     84     30     21     14    418    257    225    195
 1959    162     80     65     55    371    229    199    173
 1960     23      6      3      1    452    302    268    237
 1961    149     64     49     37    325    190    164    140
 1962    109     54     44     36    415    264    231    202
 1963    257    146    128    114    480    309    271    237
 1964    147     74     60     49    427    259    227    200
 1965     31      7      6      5    425    276    246    217
 1966    284    170    148    126    305    171    144    120
 1967    302    200    179    159    476    300    264    230
 1968    375    242    215    188    492    305    269    235
 1969    106     58     49     41    431    274    243    212
 1970    109     44     34     26    492    333    301    270
 1971    156     91     78     65    513    332    295    260
 1972    277    161    140    121    435    281    249    219
 1973    230     99     73     52    416    262    231    203
 1974    279    164    144    125    508    348    312    277
 1975    115     59     48     39    385    239    206    176
 1976    229    132    115     99    538    359    322    286
 1977    320    194    167    142    591    406    363    324
 1978    166    107     94     81    392    246    217    191
 1979    171     81     66     53    359    223    194    166
 1980    147     75     61     50    430    286    255    224
 1981    292    171    148    127    622    429    388    349
 1982    176     85     68     53    398    259    230    203
 1983    164     91     77     63    267    152    131    113
 1984     66     13      8      3    322    173    148    125
 1985    257    150    127    106    504    333    296    261
 1986    276    175    153    133    455    296    264    232
 1987    227    134    116     98    461    307    275    244
 1988    258    170    150    132    390    252    222    195
 1989    209    133    118    104    477    329    296    263
 1990    216    114     97     80    409    261    229    199
 1991    271    169    146    123    464    296    261    229
 1992    271    149    128    108    331    200    175    154
 1993    123     55     44     37    286    169    145    124
 1994    258    152    133    115    429    288    259    232
 1995    219    133    115     98    302    183    158    136
 1996    157     83     69     56    351    225    198    174
 1997    228    131    109     89    294    180    157    134
 1998    119     61     52     45    370    222    193    166
     ****************************  *************************** 
 MEAN  190.3  106.3   90.4   76.3  419.4  268.3  237.1  208.1
 STDV   79.3   55.0   49.6   44.1   84.5   67.0   62.6   57.9
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    702    486    434    382    793    558    501    448
 1952    666    454    406    363   1061    823    764    705
 1953    669    465    420    378   1035    796    738    680
 1954    579    376    333    292   1039    801    742    684
 1955    789    558    506    459    873    634    577    525
 1956    799    577    527    478   1027    792    734    676
 1957    630    411    364    320    907    668    611    554
 1958    755    539    488    439    845    608    553    498
 1959    718    490    437    387    956    716    656    598
 1960    657    450    403    361    863    624    565    509
 1961    626    407    361    317    896    656    597    540
 1962    903    656    596    538    915    675    616    558
 1963    711    490    435    386   1018    778    718    658
 1964    839    599    544    492    932    696    638    582
 1965    816    581    526    473    898    658    598    538
 1966    658    460    418    378    897    657    598    542
 1967    601    401    360    319    878    640    583    528
 1968    587    381    338    297    966    726    668    611
 1969    757    530    481    432    830    597    543    490
 1970    862    631    574    518    962    722    662    603
 1971    639    423    375    330   1052    812    752    692
 1972    712    488    437    389    943    707    651    595
 1973    671    462    415    371    966    727    669    614
 1974    735    510    460    415    876    642    588    534
 1975    785    568    519    474    922    686    631    577
 1976    635    441    395    352    932    698    642    587
 1977    902    661    602    545    987    748    689    633
 1978    664    460    415    370    909    680    627    576
 1979    687    488    442    398    912    678    622    569
 1980    730    517    472    432    946    706    649    592
 1981    656    449    405    363    981    742    683    625
 1982    752    518    463    410    817    586    533    481
 1983    608    405    363    326    915    688    633    578
 1984    614    404    358    314    990    750    690    631
 1985    755    519    470    427    821    595    543    493
 1986    716    486    436    387   1007    767    707    647
 1987    803    562    508    455   1006    766    707    648
 1988    852    610    556    505   1032    793    734    675
 1989    679    485    442    399    862    625    568    512
 1990    583    376    331    287    964    728    669    611
 1991    818    593    540    488   1017    777    717    657
 1992    700    483    435    391    859    619    561    504
 1993    648    423    374    330    885    646    587    529
 1994    746    528    480    433    968    728    668    608
 1995    525    316    276    239    906    667    610    554
 1996    596    376    327    282    923    690    633    577
 1997    531    350    314    279    959    719    660    601
 1998    810    574    519    465    850    616    560    505
     ****************************  *************************** 
 MEAN  706.0  488.1  439.4  393.2  933.6  696.4  638.8  582.3
 STDV   93.3   82.0   77.9   73.6   67.9   66.4   65.2   63.5
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951   1015    767    706    645   1014    766    705    645
 1952   1058    810    748    688    994    746    685    624
 1953   1076    828    766    704   1047    799    737    677
 1954   1155    907    845    783   1056    808    746    684
 1955   1178    930    868    806   1089    844    783    722
 1956   1052    804    742    680   1061    814    754    695
 1957   1163    915    853    791   1058    810    748    687
 1958    988    740    678    616   1018    772    712    653
 1959    977    730    669    609   1133    885    823    761
 1960   1008    760    699    639   1039    791    729    667
 1961   1068    820    758    696   1020    772    710    648
 1962   1054    806    744    682   1030    782    720    658
 1963   1108    860    798    736   1019    771    709    647
 1964   1125    877    815    753    920    674    614    555
 1965   1065    817    755    693    978    730    669    608
 1966   1111    863    801    739    928    682    621    562
 1967    985    737    676    617    950    708    651    594
 1968   1080    832    770    709   1030    782    720    658
 1969   1127    879    817    755   1062    814    752    690
 1970   1078    830    768    706   1084    836    774    712
 1971   1019    773    712    651   1019    771    710    650
 1972   1059    815    754    693   1003    755    694    634
 1973   1057    809    747    685   1088    840    778    716
 1974   1125    877    816    755    941    696    637    581
 1975   1068    822    761    701   1100    852    790    728
 1976   1062    814    753    693   1007    762    703    645
 1977   1136    888    826    765   1001    753    691    629
 1978   1016    768    707    647   1019    777    717    658
 1979   1040    792    730    668   1008    760    698    637
 1980   1130    882    820    758   1094    846    784    722
 1981   1094    846    784    722    989    741    680    621
 1982   1093    845    783    721    992    744    683    623
 1983   1124    876    814    752   1129    881    819    757
 1984   1066    818    756    694   1058    810    749    688
 1985   1035    788    727    666    901    653    591    531
 1986   1099    851    789    727    882    641    584    527
 1987   1104    856    794    732    947    700    639    578
 1988   1036    788    726    665   1067    828    770    713
 1989   1075    827    765    703   1000    756    696    636
 1990   1025    777    716    655   1014    766    704    644
 1991   1052    804    742    681   1002    754    692    630
 1992    963    715    653    591    868    622    564    510
 1993   1050    802    740    678   1040    792    730    668
 1994    971    723    663    603    967    719    657    598
 1995   1071    823    761    699   1116    868    806    744
 1996    988    740    678    617    992    744    682    620
 1997   1067    819    757    695    972    724    662    600
 1998   1103    855    793    731   1063    815    753    691
     ****************************  *************************** 
 MEAN 1066.9  819.1  757.4  696.0 1017.1  770.2  709.1  648.7
 STDV   51.6   51.5   51.3   50.8   61.0   60.5   59.8   58.7
 
               SEPTEMBER                   OCTOBER
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    597    406    366    326      0      0      0      0
 1952    789    572    524    478     67     43     39     35
 1953    787    581    535    491    540    387    353    320
 1954    847    614    559    507    516    340    301    264
 1955    850    629    578    529    303    209    187    166
 1956    777    558    509    465    645    441    398    359
 1957    660    448    402    359    358    208    177    148
 1958    809    580    528    478    508    361    327    294
 1959    739    528    480    436    163     96     82     68
 1960    794    577    528    481    365    257    233    210
 1961    669    461    413    370    514    332    293    255
 1962    709    486    437    390    487    321    286    252
 1963    814    581    525    469    791    557    501    449
 1964    744    517    466    415    290    183    161    141
 1965    621    412    367    323    429    293    262    232
 1966    682    454    404    360    311    212    190    169
 1967    694    477    425    376    440    285    250    217
 1968    739    501    447    399    529    357    318    281
 1969    806    571    513    460    261    182    166    150
 1970    773    547    493    443    416    261    227    194
 1971    850    628    577    528    622    411    366    324
 1972    811    589    537    485    311    215    195    175
 1973    750    520    467    415    586    405    366    327
 1974    681    480    435    393      9      5      4      3
 1975    664    459    414    371    342    250    229    209
 1976    769    563    515    467    125     92     85     78
 1977    804    573    522    474    135     77     65     54
 1978    877    648    594    542     92     60     53     46
 1979    815    600    550    505    171    125    114    104
 1980    813    598    547    498     41     29     27     25
 1981    812    591    538    490    289    180    155    134
 1982    753    537    487    439    362    241    217    194
 1983    615    462    425    390      0      0      0      0
 1984    683    485    437    393      0      0      0      0
 1985    712    507    460    414      0      0      0      0
 1986    833    602    546    490    193    116    100     85
 1987    719    497    449    405     43     32     30     28
 1988    768    560    513    467     61     42     38     34
 1989    692    493    448    404     94     64     57     52
 1990    830    607    557    509    170    116    104     92
 1991    574    434    401    370      0      0      0      0
 1992    703    498    454    410    269    177    160    144
 1993    603    394    347    304    193    135    124    113
 1994    771    559    509    464    445    302    270    238
 1995    520    372    338    306      0      0      0      0
 1996    673    470    426    383    493    329    292    256
 1997    794    568    520    474    478    329    297    270
 1998    922    685    627    571    523    346    307    270
     ****************************  *************************** 
 MEAN  744.2  531.1  482.3  436.0  291.5  196.1  175.3  155.6
 STDV   85.5   71.4   67.8   64.3  212.2  145.1  130.1  116.1
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-1998 FOR STATION NUMBER 3290
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  56 -16  68 -24  73 -16  92  19  90  28  90  39  99  47 104  52  98  41  96  25  80  17  68   1
  2  62  -9  59 -22  81  -4  91  14  93  26  92  41 100  47 101  51  96  46  95  28  80  10  68  -1
  3  58 -12  69 -23  80   0  85   3  88  26  96  35 100  47 100  48  95  34  93  27  77   8  64   0
  4  53 -20  57 -18  71 -16  78  18  90  34  97  38 100  49 103  40 100  39  95  30  75   0  65   4
  5  64 -20  59 -16  73 -24  85  20  93  31  97  44 102  41  98  44  96  41  93  27  73   3  66   4
  6  56 -14  61 -15  76 -15  91  11  91  33  98  40 102  52  95  51  97  40  92  20  80  11  65  -6
  7  49 -18  53 -12  76  -4  90  19  96  28  96  41 100  51  99  42  99  39  93  19  75  -5  55  -7
  8  56 -14  67 -11  79  -5  86  22  90  28  96  43  99  51 100  45 101  38  86  23  76   0  64 -11
  9  48 -18  60 -22  78  -5  88  20  91  29 104  44 100  51  99  48 102  40  85  26  75   3  59  -6
 10  52 -21  61 -11  80  -7  86  17  91  33 100  45 100  50  98  51 100  35  91  25  72  11  63  -7
 11  65 -17  72 -21  80  -2  86  24  91  29  99  44 101  52  97  48  95  37  87  15  74  -7  64  -4
 12  64 -28  66 -16  82 -15  95  18  97  31  98  42 103  50 102  46  92  37  92  21  73   0  61 -12
 13  60 -15  75 -15  75 -15  85  18  96  29  99  44 107  45  99  46  96  35  90  21  71  -3  57 -13
 14  66 -14  70 -12  73  -5  86  23  93  31  96  47 103  48  98  50  95  38  88  25  73   1  60 -12
 15  54 -17  64  -7  76  10  83  24  95  31 100  44 101  50  99  49  96  34  86  24  74   7  57 -15
 16  57 -23  66 -21  79  11  89  24  87  38  97  43 100  48 104  50  97  37  87  23  74   5  59 -17
 17  64 -20  68 -23  75  10  86  23  93  33  98  45 101  54 104  53  97  33  84  14  73   3  60 -11
 18  65 -20  67 -22  77   3  90  23  93  38 104  43 102  54 103  49  98  32  84  22  74   4  66 -18
 19  54 -15  66 -14  80   3  95  23  92  37 101  42 102  54 101  48  94  27  83  12  69  10  61 -25
 20  55 -23  71  -6  77   6  93  24  93  36 101  47 104  52  99  46  95  30  86  19  70   2  57 -21
 21  63 -15  70 -10  75   2  90  22  91  37 101  45 108  51  99  48  93  30  86  18  68   2  57 -17
 22  58  -9  71 -13  72  10  90  21  91  34 102  45 107  54  98  47  92  27  86  18  73   9  59 -25
 23  63 -18  70 -19  84   8  99  23  90  38 100  47 102  49  98  44  88  24  85  18  64   5  65 -26
 24  69 -18  69 -13  85   5  87  18  97  38  99  48  95  49 100  50  87  29  86  25  63   7  58 -17
 25  65  -7  71  -1  80   7  95  30  98  42 101  46 102  52 100  45  90  32  80  23  67   6  54 -20
 26  53 -15  75  -5  83   1  91  30  93  37  99  47 105  52 103  44  94  29  82  20  72   2  56 -13
 27  52 -18  70 -10  85  10  97  29  91  35 100  46 105  53 102  46  94  30  84  11  68   1  64 -13
 28  58 -15  77 -11  84  10  97  29  98  38  99  42 104  48 101  37 103  25  79  13  70  -6  65  -3
 29  56 -22 *** ***  89   7  87  22  94  39 100  50 103  49 101  41  91  22  75  20  64  -2  67 -18
 30  61 -16 *** ***  92   7  93  28 102  41  96  49 103  45  96  45  92  31  82  20  71 -13  62 -13
 31  57 -22 *** ***  84  16 *** ***  95  41 *** *** 104  48  96  42 *** ***  82  14 *** ***  59 -23
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-1998 FOR STATION NUMBER 3290
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  0.47  1.15  1.52  0.40  2.46  1.65  1.04  1.32  0.45  0.59  1.85  0.72
  2  0.76  0.37  0.73  1.30  1.32  2.33  1.56  1.60  6.00  0.42  1.05  0.53
  3  0.80  0.41  1.06  1.53  1.58  1.52  2.12  1.90  1.32  1.01  0.80  0.44
  4  0.32  0.66  1.11  1.39  0.88  2.01  2.00  1.26  1.96  0.64  1.78  0.84
  5  0.44  0.37  0.56  0.85  1.36  2.55  2.52  1.27  2.06  1.23  0.74  0.48
  6  0.50  0.16  0.81  0.50  1.39  1.05  2.60  1.46  1.32  0.69  0.24  0.86
  7  0.12  0.15  0.55  3.25  1.69  1.62  1.04  2.20  3.76  1.57  0.18  0.70
  8  0.10  0.12  0.70  1.42  1.93  1.49  1.01  2.09  1.47  2.07  0.50  0.28
  9  0.17  0.39  0.48  1.45  1.92  1.30  2.16  2.86  3.86  1.23  1.52  0.37
 10  0.50  0.80  0.60  0.80  1.42  1.77  1.62  2.30  0.55  1.49  0.40  0.40
 11  0.29  1.04  1.50  0.93  2.45  1.33  1.65  1.37  1.56  2.05  0.86  0.60
 12  0.31  0.25  1.05  1.49  1.09  1.68  2.53  1.91  2.37  1.34  0.68  0.73
 13  0.49  0.62  0.73  0.91  0.65  2.85  2.24  1.48  1.68  0.70  0.96  0.12
 14  0.07  0.87  0.87  1.00  1.26  2.10  0.94  1.64  1.86  0.18  0.08  1.00
 15  0.85  0.68  1.06  0.96  1.02  2.50  2.06  1.14  0.84  0.79  0.41  0.46
 16  0.65  0.45  0.17  1.63  1.19  1.45  1.59  1.74  1.19  1.28  1.29  0.54
 17  0.67  0.22  0.53  1.21  1.24  0.82  2.50  1.84  2.08  2.40  1.25  2.50
 18  0.50  0.52  1.65  0.91  2.89  1.64  1.28  0.98  1.84  0.97  0.29  0.83
 19  0.40  0.55  1.77  0.86  2.09  1.71  2.75  0.96  1.71  0.84  1.10  0.59
 20  0.25  2.10  0.45  1.39  2.11  2.07  2.13  1.92  2.44  1.53  0.70  0.44
 21  0.40  0.48  0.50  1.44  2.54  4.96  0.97  1.76  2.10  0.45  0.74  0.47
 22  0.85  0.86  0.93  1.17  3.18  1.85  4.68  1.60  2.06  1.92  0.06  0.49
 23  0.28  0.35  0.90  1.28  1.11  1.64  2.74  3.74  1.44  1.18  0.51  0.63
 24  0.95  0.12  1.30  1.79  0.54  2.68  2.42  1.54  0.77  0.43  0.31  0.57
 25  0.28  1.10  1.28  2.03  1.65  2.63  1.79  4.26  1.08  0.81  0.42  0.33
 26  0.36  0.43  1.80  2.08  4.98  1.50  6.48  3.21  3.92  1.35  0.50  0.12
 27  0.45  0.30  1.12  1.64  1.41  1.32  0.66  1.48  0.79  0.86  0.97  0.58
 28  0.07  0.25  1.21  1.22  3.21  2.58  1.31  1.74  1.91  0.43  0.64  1.38
 29  0.73******  0.55  1.71  3.29  3.40  0.73  2.16  0.89  1.95  2.65  0.55
 30  0.50******  0.55  1.57  1.65  1.84  3.20  2.17  1.22  1.16  1.48  0.57
 31  0.43******  1.49******  2.10******  1.85  2.17******  1.02******  0.39
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) DURING 1951-1998 FOR STATION NUMBER 3290
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 34   3  58   6  54   5  49   5  38   8  38   7  42   9  38   6  44  11  50   8  45   4  40   4
  2 32   2  44   5  43   3  46   4  42   2  42   5  33  10  31  15  46  13  46   6  45   4  36   4
  3 45   4  41   5  44   5  51   4  48   7  39   4  37  10  32  12  38   8  44   2  44   5  40   6
  4 37   3  35   5  39   4  48   5  42   6  38  11  35   7  38  12  40   9  46   8  41   4  41   5
  5 40   8  48   6  42   6  51   4  41   8  39  10  40  10  37   7  46  10  51  11  40   2  34   3
  6 35   2  37   6  42   4  52   9  46   8  34  11  37  11  31   5  43   8  42   6  43   6  36   3
  7 40   5  41   4  47   3  54   6  44   3  38  13  33   9  37   4  46   7  48   9  40   7  35   3
  8 44   6  41   3  42   1  41   4  43   5  39   9  32  15  42  13  50   8  46   7  46   2  46   5
  9 38   6  44   6  43   4  47   4  41   6  44   3  37  15  31   5  46   6  48   6  37   9  37   4
 10 39   2  40   5  49   2  47   8  45   7  36  10  37  11  38  14  47  10  49   3  44   4  41   4
 11 38   7  42   5  43   5  44   4  45   9  40  10  36  10  37  13  44   7  47   9  37   3  43   5
 12 46   4  47   4  44   2  50   6  40   6  36   6  34   8  34   9  43  11  47   8  48   3  36   3
 13 35   7  51   2  40   6  45   6  42   3  41   6  37   6  33   8  37   6  42   6  38   4  44   3
 14 40   3  40   5  49   5  47   5  39   8  32   6  36   9  38  11  37   5  43  12  35   2  49   4
 15 39   3  63   2  46   7  41   5  42   4  36   5  33  11  36   8  40   9  41   7  44   4  37   4
 16 38   6  44   5  41   3  42   6  48   6  42   9  38   9  35  11  47   8  43   5  46   5  40   6
 17 42   4  44   4  40   5  44   7  44   8  41  14  34  12  36   6  41   7  46   6  40   3  42   1
 18 54   2  46   4  41   1  43   2  47   9  40  14  34  15  36   6  41   6  50   4  43   4  39   1
 19 43   4  42   1  43   3  47   6  43   8  36  13  35  14  34  13  51   6  46   5  49   0  39   6
 20 48   7  46   4  39   4  43   5  43  13  36  10  37   9  35  11  46   3  51   2  45   2  35   2
 21 38   6  52   5  41   6  43   5  39   8  43  11  40   7  32   1  41   8  49   5  40   3  44   4
 22 42   3  45   3  41   6  42   8  39   8  45  11  32   8  36   5  48   4  42   7  46   4  35   5
 23 44   6  39   7  55   3  37  10  42   5  37   9  36  11  37  11  43   9  44   6  36   2  39   3
 24 47   5  48   3  54   7  40  16  37   7  36   8  37  11  38  12  45   9  52   8  42   4  42   3
 25 41   4  39   3  56   2  41   8  49   7  40   8  38  14  38   9  42   9  51   7  36   4  41   6
 26 40   4  44   4  45   6  48   2  34   9  39   4  36   8  44   7  45   8  48   6  44   4  39   5
 27 40   5  37   4  48   6  42   6  40   5  35   6  34   9  34  10  47   9  44   8  43   4  36   4
 28 54   6  37   5  47   6  45   6  46   5  39  15  39  13  42   9  44  10  40  10  42   2  44   4
 29 45   7  **  **  41   5  41   4  34   6  37  14  41  11  44   4  49   8  50   7  33   3  51   5
 30 38   5  **  **  49   6  49   5  39   9  40   7  40  14  41  10  53   7  38   5  38   5  39   3
 31 44   4  **  **  45   7  **  **  37   7  **  **  38   8  39  10  **  **  48   3  **  **  34   3
 
 DAILY  MEAN  HIGHS AND LOWS OCCURRING DURING 1951-1998 FOR STATION NUMBER 3290
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 31  13  35  12  44  21  59  34  67  43  77  53  85  63  86  63  83  59  75  46  57  35  43  24
  2 32  14  32  12  45  24  58  35  70  44  78  54  86  64  86  64  83  60  75  46  55  34  42  24
  3 33  12  33  11  43  22  58  33  70  46  79  54  87  64  87  64  83  58  73  47  52  32  44  23
  4 30  11  34  14  41  21  57  32  71  47  80  56  87  64  87  62  81  58  71  45  52  31  42  21
  5 31  11  34  13  42  22  58  32  73  47  82  56  87  62  85  63  82  57  71  44  53  30  42  23
  6 30  10  32  13  43  21  61  33  72  48  82  58  87  62  85  63  82  58  69  44  52  31  39  20
  7 28   8  33  12  42  20  63  36  72  47  83  59  88  64  85  62  83  58  69  42  52  30  36  19
  8 30   9  35  14  43  22  61  37  73  47  82  58  88  65  87  63  83  57  70  43  53  30  36  18
  9 29   9  34  13  46  23  59  35  72  47  81  58  87  63  86  63  81  56  68  41  52  30  36  17
 10 29   8  37  16  48  25  60  36  72  47  81  58  87  64  86  62  81  54  69  41  54  29  38  17
