 
 THIS IS FOR STATION NUMBER 6151 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.60   0.42  54(65) 17(20)  9(10)  3( 3)  0( 0)   13       83
  2 3/8-->3/14       1.21   0.46  57(69)  8( 9) 15(18)  2( 2)  0( 0)    8       82
  3 3/15-->3/21      1.78   0.42  53(69)  9(11) 10(13)  4( 5)  0( 0)    7       76
  4 3/22-->3/28      1.52   0.50  41(58)  9(12) 15(21)  5( 7)  0( 0)    7       70
  5 3/29-->4/4       2.68   0.65  59(60) 20(20) 13(13)  5( 5)  1( 1)    8       98
  6 4/5-->4/11       2.16   0.47  44(58) 20(26)  6( 8)  4( 5)  1( 1)   11       75
  7 4/12-->4/18      1.86   0.71  58(55) 22(21) 18(17)  6( 5)  0( 0)    8      104
  8 4/19-->4/25      1.39   0.71  56(54) 24(23) 17(16)  6( 5)  0( 0)    7      103
  9 4/26-->5/2       2.29   1.04  51(45) 28(25) 16(14) 15(13)  1( 0)    7      111
 10 5/3-->5/9        1.75   0.90  54(48) 26(23) 23(20)  9( 8)  0( 0)    7      112
 11 5/10-->5/16      2.32   0.77  49(50) 21(21) 19(19)  8( 8)  1( 1)    7       98
 12 5/17-->5/23      2.73   0.98  53(46) 29(25) 19(16) 11( 9)  1( 0)    7      113
 13 5/24-->5/30      2.71   1.13  64(51) 24(19) 21(16) 15(12)  1( 0)    7      125
 14 5/31-->6/6       3.04   0.94  47(44) 27(25) 22(20)  4( 3)  5( 4)    7      105
 15 6/7-->6/13       3.30   1.03  54(48) 19(17) 26(23)  9( 8)  3( 2)    7      111
 16 6/14-->6/20      3.82   1.31  52(44) 18(15) 30(25) 16(13)  2( 1)    7      118
 17 6/21-->6/27      5.45   1.28  54(50) 16(14) 18(16) 16(14)  4( 3)    7      108
 18 6/28-->7/4       3.33   1.07  44(47) 12(13) 22(23)  9( 9)  5( 5)    7       92
 19 7/5-->7/11       4.01   1.02  50(50) 18(18) 12(12) 15(15)  4( 4)    7       99
 20 7/12-->7/18      2.00   0.90  49(49) 23(23) 17(17) 10(10)  1( 1)    7      100
 21 7/19-->7/25      3.89   0.79  51(59) 13(15) 11(12)  7( 8)  4( 4)    9       86
 22 7/26-->8/1       7.37   0.84  40(50) 14(17) 17(21)  5( 6)  3( 3)    7       79
 23 8/2-->8/8        6.25   1.05  60(54) 23(20) 15(13)  8( 7)  4( 3)    7      110
 24 8/9-->8/15       2.17   0.72  48(52) 20(21) 12(13) 10(10)  1( 1)    7       91
 25 8/16-->8/22      2.65   0.90  33(38) 22(25) 18(20) 11(12)  2( 2)    7       86
 26 8/23-->8/29      3.01   0.93  45(50) 17(18) 14(15)  9(10)  5( 5)    7       90
 27 8/30-->9/5       2.75   1.10  48(48) 16(16) 18(18) 12(12)  4( 4)    7       98
 28 9/6-->9/12       2.95   0.90  35(52)  9(13)  8(11)  7(10)  8(11)    7       67
 29 9/13-->9/19      3.53   0.80  63(60) 20(19) 10( 9) 10( 9)  2( 1)    7      105
 30 9/20-->9/26      3.40   0.80  46(50) 21(23) 14(15)  8( 8)  2( 2)    7       91
 31 9/27-->10/3      4.65   0.60  40(56) 14(19) 10(14)  6( 8)  1( 1)    7       71
 32 10/4-->10/10     1.75   0.61  38(52) 12(16) 13(18)  9(12)  0( 0)    8       72
 33 10/11-->10/17    2.19   0.53  34(55)  9(14) 10(16)  7(11)  1( 1)    7       61
 34 10/18-->10/24    1.90   0.50  38(55) 17(25)  6( 8)  7(10)  0( 0)    7       68
 35 10/25-->10/31    1.91   0.48  36(59) 10(16)  8(13)  7(11)  0( 0)    7       61
 36 11/1-->11/7      1.57   0.43  33(54) 14(22)  9(14)  5( 8)  0( 0)    9       61
 37 11/8-->11/14     1.62   0.29  31(62)  8(16)  9(18)  2( 4)  0( 0)    7       50
 38 11/15-->11/21    1.25   0.43  35(54) 14(21) 10(15)  5( 7)  0( 0)    8       64
 39 11/22-->11/28    0.91   0.18  37(78)  5(10)  5(10)  0( 0)  0( 0)    8       47
 40 11/29-->12/5     1.91   0.28  39(70)  9(16)  4( 7)  3( 5)  0( 0)    8       55
 41 12/6-->12/12     1.00   0.22  51(80)  6( 9)  5( 7)  1( 1)  0( 0)    9       63
 42 12/13-->12/19    0.93   0.17  40(78)  9(17)  2( 3)  0( 0)  0( 0)   13       51
 43 12/20-->12/26    0.73   0.14  34(75) 10(22)  1( 2)  0( 0)  0( 0)   10       45
 44 12/27-->1/2      2.16   0.28  46(75)  8(13)  5( 8)  1( 1)  1( 1)   11       61
 45 1/3-->1/9        0.66   0.15  39(81)  6(12)  3( 6)  0( 0)  0( 0)   15       48
 46 1/10-->1/16      0.79   0.13  42(85)  4( 8)  3( 6)  0( 0)  0( 0)   15       49
 47 1/17-->1/23      1.20   0.22  41(73) 11(19)  3( 5)  1( 1)  0( 0)   15       56
 48 1/24-->1/30      0.59   0.13  49(90)  3( 5)  2( 3)  0( 0)  0( 0)   15       54
 49 1/31-->2/6       1.55   0.23  34(69)  9(18)  5(10)  1( 2)  0( 0)   11       49
 50 2/7-->2/13       0.93   0.16  39(81)  4( 8)  5(10)  0( 0)  0( 0)    8       48
 51 2/14-->2/20      2.30   0.28  49(73) 13(19)  4( 5)  0( 0)  1( 1)    9       67
 52 2/21-->2/27      0.94   0.22  52(77) 11(16)  4( 5)  0( 0)  0( 0)    8       67
 53 2/28-->2/29      0.56   0.03  11(91)  0( 0)  1( 8)  0( 0)  0( 0)    1       12
 ANNUAL TOTALS       7.37   2400(57)771(18)612(14)314( 7) 69( 1)  441     4166
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 6151
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.72 0.91 2.09 3.03 4.14 4.95 3.99 4.08 3.69 2.29 1.46 0.88 32.23  <-- PRECIP
  
   20.2 26.4 37.2 51.2 62.7 72.3 76.2 73.9 65.4 53.8 37.9 25.7  54.5  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   7     26  1990     7.37
   8      8  1987     6.25
   6     23  1994     5.45
   9     29  1954     4.65
   7      9  1955     4.01
   6     22  1952     3.88
   7     22  1978     3.89
   6     15  1998     3.82
   6     26  1966     3.53
   9     13  1978     3.53
   9     20  1978     3.40
   6     29  1965     3.33
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  6151
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     71     31     26     21    253    135    114     97
 1952     91     45     38     32    360    229    203    177
 1953    179     87     71     55    277    152    127    104
 1954    109     37     26     19    500    334    297    263
 1955    158     88     74     62    548    374    339    306
 1956    183     94     79     64    366    240    212    187
 1957    148     67     56     48    384    241    211    187
 1958     77     29     19     11    364    214    183    154
 1959    156     76     62     50    372    237    209    183
 1960     21      6      3      1    443    285    252    221
 1961    133     52     38     29    317    188    162    141
 1962     92     45     38     31    402    257    225    195
 1963    221    130    117    104    463    301    266    235
 1964    142     63     52     41    414    249    218    191
 1965     20      5      4      3    387    241    212    186
 1966    267    157    135    113    288    165    139    116
 1967    273    178    158    138    456    290    255    223
 1968    328    212    187    164    428    276    243    211
 1969     84     39     32     25    403    255    224    193
 1970     84     28     20     14    433    290    261    233
 1971    138     78     65     54    449    294    262    231
 1972    220    122    103     86    397    245    213    186
 1973    186     70     50     34    376    232    202    173
 1974    237    135    114     96    472    320    285    252
 1975     90     44     37     30    333    195    167    141
 1976    194    111     95     80    504    330    293    257
 1977    264    147    122    100    559    381    340    302
 1978    131     78     67     57    353    214    184    158
 1979    126     55     43     34    317    195    169    147
 1980    117     54     42     32    410    272    242    215
 1981    253    140    119     99    566    379    340    303
 1982    139     57     43     32    352    225    200    176
 1983    144     78     65     53    237    131    113     97
 1984     64     10      5      2    284    154    130    107
 1985    234    126    103     84    486    317    281    250
 1986    272    167    144    125    438    274    238    203
 1987    229    128    107     89    478    314    279    248
 1988    238    149    131    113    398    256    226    196
 1989    159    103     91     79    457    313    280    247
 1990    177     91     76     64    359    216    188    163
 1991    222    133    112     91    398    243    211    181
 1992    242    130    110     92    285    170    149    129
 1993     91     41     34     28    243    143    122    104
 1994    215    127    110     95    397    266    239    213
 1995    201    119    102     85    266    156    133    112
 1996    141     70     57     44    327    210    186    163
 1997    194    107     89     73    273    170    147    124
 1998    105     54     47     41    343    204    175    147
     ****************************  *************************** 
 MEAN  164.0   87.6   73.5   61.0  388.1  245.5  215.8  188.3
 STDV   71.2   48.5   43.2   38.0   83.3   64.5   59.8   55.3
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    668    455    405    357    752    519    463    411
 1952    641    432    386    341   1024    788    731    674
 1953    636    441    397    354   1012    773    715    657
 1954    550    369    330    292    974    736    678    622
 1955    728    508    463    420    791    568    516    466
 1956    746    527    479    432   1000    765    707    649
 1957    624    409    362    320    852    618    561    504
 1958    727    517    469    422    828    593    538    484
 1959    715    489    437    387    943    704    645    588
 1960    658    452    406    363    851    613    557    503
 1961    610    407    361    316    843    617    566    515
 1962    894    655    599    545    877    637    580    524
 1963    695    475    425    380    997    757    698    639
 1964    812    580    528    476    867    639    586    533
 1965    809    588    534    483    881    642    583    526
 1966    611    425    385    348    894    659    604    551
 1967    575    387    347    308    854    617    559    505
 1968    548    364    323    284    933    695    639    584
 1969    700    483    435    389    775    554    505    457
 1970    815    596    545    494    918    682    626    571
 1971    599    390    345    303   1019    779    719    660
 1972    670    451    403    360    902    665    608    554
 1973    615    410    363    321    948    708    649    592
 1974    677    458    413    370    840    613    559    509
 1975    783    557    507    458    915    677    620    564
 1976    618    421    375    335    878    644    589    537
 1977    874    631    572    516    930    693    635    578
 1978    637    440    394    351    910    679    626    576
 1979    644    452    408    368    876    645    590    537
 1980    707    504    463    423    910    671    613    559
 1981    621    420    377    336    947    707    648    591
 1982    713    482    428    377    791    563    511    462
 1983    547    358    319    283    894    670    615    561
 1984    584    382    337    295    953    715    657    600
 1985    735    495    442    394    843    606    551    496
 1986    698    463    411    362    990    750    690    630
 1987    802    561    506    453    977    737    679    621
 1988    839    596    538    486   1010    771    712    653
 1989    648    444    399    355    844    605    548    491
 1990    535    328    286    244    933    699    641    583
 1991    759    540    489    439    973    733    673    613
 1992    647    435    391    349    849    610    551    492
 1993    616    390    342    297    857    618    559    502
 1994    697    488    443    403    949    709    650    591
 1995    488    295    258    223    860    622    567    515
 1996    546    340    297    256    911    674    617    562
 1997    500    328    293    260    924    684    626    569
 1998    779    544    489    437    810    581    526    472
     ****************************  *************************** 
 MEAN  674.0  462.0  414.9  370.4  902.4  667.0  610.4  555.1
 STDV   97.0   83.1   78.7   74.1   68.1   65.2   63.6   61.6
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    992    745    684    624    976    729    668    607
 1952   1039    791    730    670    950    703    642    582
 1953   1052    805    744    683   1018    770    708    649
 1954   1126    878    816    754   1037    789    727    665
 1955   1148    900    838    776   1050    804    743    684
 1956   1015    767    705    643   1027    782    723    665
 1957   1141    893    831    769   1031    783    721    661
 1958    966    718    656    594    991    747    689    632
 1959    977    730    671    614   1106    858    796    735
 1960    990    744    684    624   1023    775    713    651
 1961   1019    771    709    648    984    736    674    612
 1962   1016    770    709    650    986    741    681    623
 1963   1088    840    778    716    980    733    675    617
 1964   1086    838    777    716    867    629    573    519
 1965   1024    776    714    652    936    690    630    571
 1966   1101    853    791    729    871    630    577    526
 1967    940    701    644    589    908    678    624    571
 1968   1029    784    725    666    989    744    685    627
 1969   1065    817    755    693    992    744    682    620
 1970   1016    771    711    653   1010    763    704    646
 1971    941    700    640    582    961    721    663    606
 1972   1007    764    704    644    958    712    652    595
 1973   1021    773    711    649   1036    788    727    666
 1974   1092    845    785    725    891    650    594    543
 1975   1032    786    727    668   1074    826    765    705
 1976   1035    789    730    672    962    721    663    605
 1977   1069    821    759    698    926    679    620    562
 1978   1001    753    692    633    958    720    664    609
 1979    982    734    672    611    941    693    633    574
 1980   1090    842    780    719   1045    797    735    673
 1981   1035    787    725    663    918    674    617    562
 1982   1055    807    746    685    943    698    640    582
 1983   1101    853    791    729   1111    863    801    739
 1984   1009    761    701    641   1060    812    750    690
 1985   1043    795    733    671    927    679    617    556
 1986   1104    856    794    732    889    645    585    526
 1987   1104    856    794    732    932    684    622    561
 1988   1057    809    747    685   1078    833    774    715
 1989   1064    816    754    692    996    748    686    626
 1990    999    751    689    627    989    741    679    617
 1991   1031    783    721    659    985    737    675    613
 1992    902    654    592    530    810    562    504    449
 1993   1027    779    717    655   1018    770    708    647
 1994    965    717    656    595    895    650    595    543
 1995   1029    782    721    660   1070    822    760    698
 1996    952    705    644    584    927    679    617    555
 1997   1028    780    719    659   1013    765    703    641
 1998   1072    824    762    700   1031    783    721    659
     ****************************  *************************** 
 MEAN 1035.2  788.1  726.8  666.2  981.0  735.3  675.4  616.5
 STDV   53.7   53.0   52.6   51.9   65.4   63.8   62.5   60.7
 
               SEPTEMBER                   OCTOBER
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    578    389    347    306      0      0      0      0
 1952    761    551    502    455     67     43     39     35
 1953    763    569    526    484    537    381    346    313
 1954    821    602    550    500    426    266    234    204
 1955    808    596    547    499    145     96     85     75
 1956    725    527    484    442    135     99     92     85
 1957    637    424    382    343    349    201    170    143
 1958    788    564    514    465      0      0      0      0
 1959    701    497    450    406    106     58     49     40
 1960    764    551    501    453    338    233    209    186
 1961    627    435    390    348      0      0      0      0
 1962    660    455    410    366    480    328    293    261
 1963    776    551    497    445    678    482    438    400
 1964    715    503    455    409     76     52     47     42
 1965    499    331    293    258      0      0      0      0
 1966    646    444    398    355      0      0      0      0
 1967    607    414    372    334      0      0      0      0
 1968    707    500    452    405     60     40     35     30
 1969    741    518    467    421    244    173    157    141
 1970    728    518    467    419    173    127    116    105
 1971    773    565    519    476    185    138    127    116
 1972    751    535    484    437      0      0      0      0
 1973    708    477    425    377    539    372    335    298
 1974    578    394    355    320      0      0      0      0
 1975    628    428    382    340      9      5      4      3
 1976    739    532    487    443    115     84     77     70
 1977    747    531    481    433     99     53     45     37
 1978    817    595    545    495     79     51     45     39
 1979    750    544    500    456     71     47     42     37
 1980    770    558    512    467     34     23     21     19
 1981    732    520    475    432     13      9      8      7
 1982    711    501    453    407    270    178    159    141
 1983    591    439    403    367      0      0      0      0
 1984    722    521    472    426      0      0      0      0
 1985    687    478    430    384    442    253    216    182
 1986    826    591    535    479    174     98     82     69
 1987    735    500    449    401    131     85     74     64
 1988    779    553    501    452    303    186    162    140
 1989    688    479    433    389    275    179    162    145
 1990    824    601    548    498    168    110     98     88
 1991    741    545    498    452     79     50     46     42
 1992    659    454    409    366    256    165    144    128
 1993    566    359    315    274    178    124    113    102
 1994    720    516    470    428    418    278    247    217
 1995    483    336    303    273      0      0      0      0
 1996    608    417    376    338    439    286    251    220
 1997    806    576    526    478    468    320    288    259
 1998    876    640    584    530    487    309    272    237
     ****************************  *************************** 
 MEAN  710.0  502.8  456.0  411.3  188.6  124.8  111.1   98.5
 STDV   86.7   72.9   69.3   65.3  187.1  126.0  112.9  100.8
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-1998 FOR STATION NUMBER 6151
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  56 -16  63 -27  66 -18  90  18  91  25  88  37 100  45  97  47  95  39  93  25  76  14  64  -2
  2  57 -14  63 -26  77  -4  86  13  89  21  90  39  98  47  99  49  94  43  93  24  79   7  67  -4
  3  56 -16  65 -29  78  -1  82   0  87  27  93  33  99  43  96  48  93  32  92  25  75   6  62  -1
  4  50 -24  54 -27  72 -15  80  12  91  27  99  33  98  44 102  39  96  38  94  22  74   3  62   2
  5  62 -16  56 -24  70 -24  82  13  92  28 100  43  99  39  96  41  93  35  93  25  71   3  66  -2
  6  50 -25  55 -18  74 -12  91  11  88  33  97  38 100  51  95  49  95  40  92  18  79   7  62  -8
  7  47 -26  67 -17  73  -6  87  18  96  29  98  40  97  47  97  46  96  36  92  17  74  -4  61 -13
  8  52 -19  63 -25  75 -10  84  19  90  27  98  39  96  52  94  46  99  37  85  23  73  -3  57 -16
  9  48 -21  60 -27  76  -8  86  17  92  24  96  42  97  47  94  45 100  39  85  21  69   4  55  -9
 10  49 -23  58 -12  72  -3  85  17  90  30 100  42  98  46  95  46  93  32  89  24  69   7  58 -15
 11  58 -21  67 -25  78  -4  87  19  89  27  99  44 102  50  95  44  91  33  86  21  74  -6  65 -12
 12  57 -31  61 -19  71 -12  93  14  95  30  98  39 101  50  96  43  93  33  90  23  71  -2  61 -15
 13  62 -15  71 -16  74  -9  78  13  89  32  98  39 104  43  95  41  93  33  88  20  71  -3  57 -22
 14  53 -21  68 -13  72  -9  85  20  91  33  97  41 102  42  96  47  93  35  87  20  73  -3  58 -14
 15  52 -21  62 -10  74   7  82  16  89  28 100  40  97  46  98  45  96  33  87  18  73  11  57 -18
 16  57 -24  63 -26  74   8  88  22  89  34  97  43  99  46  99  48  95  35  86  22  72   1  59 -25
 17  62 -23  67 -25  76   7  85  16  88  33  96  42 101  46 101  46  94  30  85  13  71  -1  60 -11
 18  62 -22  63 -21  70   4  88  15  95  39 100  47  99  49  98  48  92  29  80  18  72   8  65 -18
 19  50 -25  62 -14  78   3  92  23  93  37 101  43 101  51  96  42  92  31  83  12  65   6  58 -25
 20  58 -23  65 -10  74   4  89  20  91  34 100  42 103  50  96  40  91  31  84  14  66   3  57 -17
 21  57 -25  68  -8  73  -2  90  20  91  31 100  45 105  45  98  43  92  30  84  19  66   2  56 -22
 22  58 -12  66 -16  82   8  92  23  92  26 100  45  98  51  95  46  93  28  84  15  71   0  56 -26
 23  61 -20  68 -11  75   8  90  18  90  29  97  45  95  50  96  40  83  23  82  16  62   4  62 -26
 24  66 -13  66 -11  84   2  90  12  99  35 100  40  93  50  96  44  89  27  82  22  60   4  53 -30
 25  55 -11  66  -6  79   5  91  25 100  35 100  45  96  48  98  41  88  30  79  22  70   4  53 -18
 26  50 -14  72 -17  81  -2  91  28  93  34  97  45 102  45 100  47  91  30  83  16  61  -1  59 -19
 27  47 -22  68 -13  83   5  93  28  92  35 100  44 100  50 101  39  91  33  83  12  68  -2  60 -15
 28  55 -17  74 -20  84   4  90  23  89  23  98  50 100  49  98  39 101  27  74  12  67 -11  63  -6
 29  59 -22 *** ***  89   5  91  22  90  38  95  50 100  48  95  44  92  28  74  14  60 -13  61 -12
 30  56 -24 *** ***  87   7  89  27  96  37  97  48 103  36  95  47  90  28  79  19  70 -17  65 -17
 31  59 -26 *** ***  82  15 *** ***  90  39 *** *** 105  41  95  37 *** ***  81  14 *** ***  59 -18
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-1998 FOR STATION NUMBER 6151
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  0.41  1.55  1.60  1.21  0.95  2.14  1.01  2.23  1.77  0.48  1.57  1.89
  2  0.64  0.54  1.03  0.47  1.68  2.01  2.95  1.47  1.75  1.22  1.42  0.33
  3  0.66  0.50  1.15  1.39  1.00  0.93  2.53  2.83  0.91  0.83  0.31  0.43
  4  0.58  0.58  0.60  2.68  1.08  2.06  3.15  1.55  1.97  1.70  1.14  0.40
  5  0.65  0.94  0.70  1.60  1.18  3.04  2.51  1.83  2.67  1.43  1.28  0.78
  6  0.33  0.15  0.55  0.70  1.34  1.41  2.10  2.84  2.92  1.03  0.27  0.63
  7  0.06  0.19  0.75  2.16  1.75  1.44  1.62  0.76  2.48  1.61  0.45  0.90
  8  0.15  0.08  0.99  0.74  1.44  3.30  1.28  6.25  2.40  1.70  0.33  0.51
  9  0.22  0.35  0.95  1.11  1.24  1.06  4.01  1.08  2.85  1.75  1.62  0.38
 10  0.15  0.55  0.40  0.89  1.89  0.70  1.64  1.53  0.76  1.07  0.91  0.56
 11  0.79  0.93  1.09  1.04  0.90  2.31  1.49  2.17  2.95  2.19  1.15  0.50
 12  0.42  0.36  1.21  0.70  1.14  1.68  1.74  0.67  2.70  1.77  0.96  1.00
 13  0.44  0.50  0.94  0.80  1.21  1.98  1.55  1.15  3.53  1.45  0.35  0.50
 14  0.58  0.33  0.88  1.09  0.66  3.15  0.52  1.76  1.75  0.06  0.86  0.44
 15  0.17  0.50  0.57  1.02  1.06  3.82  2.00  1.11  1.06  0.84  0.37  0.41
 16  0.50  0.20  0.18  1.86  2.32  1.43  1.96  2.65  2.33  1.54  1.24  0.22
 17  0.23  0.50  1.10  1.01  1.73  1.39  1.41  1.60  0.47  1.43  1.25  0.19
 18  1.20  0.73  1.57  1.29  2.73  1.87  1.33  1.79  1.35  1.37  0.94  0.93
 19  0.35  2.30  1.78  0.67  0.86  0.93  1.57  1.70  1.65  0.80  0.78  0.44
 20  0.50  0.57  0.41  1.27  0.65  1.55  1.26  2.05  3.40  1.55  0.82  0.37
 21  0.74  0.93  0.27  1.32  1.41  2.53  0.63  1.49  1.79  0.49  0.75  0.19
 22  0.40  0.88  0.73  1.03  1.31  3.88  3.89  1.88  0.89  1.27  0.24  0.40
 23  0.50  0.35  0.91  1.38  1.50  5.45  2.23  2.70  1.61  1.90  0.50  0.44
 24  0.59  0.12  0.87  1.39  1.17  1.47  2.47  0.95  1.16  1.01  0.34  0.45
 25  0.10  0.94  1.15  1.22  1.76  1.89  1.91  1.47  0.90  1.27  0.70  0.73
 26  0.21  0.28  1.46  1.84  1.87  3.53  7.37  2.82  2.55  1.25  0.23  0.06
 27  0.40  0.47  1.52  1.44  1.76  1.50  1.32  1.70  0.95  0.81  0.20  1.28
 28  0.17  0.56  1.49  1.85  2.71  1.36  1.24  2.37  1.48  0.48  0.91  2.16
 29  0.50******  1.62  1.60  1.31  3.33  1.07  3.01  4.65  1.40  0.52  0.52
 30  0.11******  0.97  2.29  1.41  2.39  0.75  2.11  1.32  1.91  1.91  0.72
 31  0.33******  1.62******  0.61******  0.99  2.75******  1.87******  0.31
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) DURING 1951-1998 FOR STATION NUMBER 6151
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 40   4  54   4  48   6  48   6  48   6  38  10  40   9  38  14  45   9  52  10  44   3  37   4
  2 34   1  44   5  43   2  42  10  43   8  38   8  36  11  37  14  40  11  46   7  45   5  36   3
  3 45   4  45   5  42   2  53   2  41   7  45   8  39  10  38   8  36   7  42   2  48   3  41   7
  4 34   5  40   3  46   4  49   8  44   5  41  13  34  12  39  10  41   9  46   6  41   4  40   4
  5 44   5  42   3  40   7  48   3  40   8  45   8  36   9  37  11  42  10  46   5  40   2  40   5
  6 34   4  44   5  51   7  49   5  48   8  39   9  33   9  34   5  46   9  43   7  42   4  44   2
  7 43   5  41   2  38   2  56  13  42   3  41   9  37  13  33   4  47  10  49   9  38   6  45   4
  8 45   4  39   5  41   2  42   4  47   7  39   9  32  11  35  11  42   7  47   5  45   1  35   3
  9 37   7  39   3  41   6  45   3  48   8  40   4  37  14  34  10  37   7  46   5  40   7  43   4
 10 39   4  39   4  43   4  49   9  39   7  39   9  33  13  37  15  49   7  53  10  47   2  40   3
 11 41   6  35   3  39   3  49   4  41   8  41  11  33  10  34   9  45  10  53   9  45   5  44   4
 12 47   6  43   5  47   4  49   6  42   8  37   8  35   8  36   8  47   9  44   8  51   4  39   3
 13 32   5  48   6  40   3  48   4  42   4  40  10  38   6  33  10  45   5  40   5  43   4  37   6
 14 36   3  42   6  50   3  43   3  42   9  39  13  39  12  36  11  40  11  48   7  40   4  48   5
 15 42   3  47   3  46   6  44   4  41   7  38   4  35   8  40  10  42   5  42   7  44   4  43   4
