 
 THIS IS FOR STATION NUMBER 7312 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.03   0.42  57(66) 16(18) 10(11)  3( 3)  0( 0)    0       86
  2 3/8-->3/14       2.14   0.52  56(62) 14(15) 16(17)  2( 2)  1( 1)    0       89
  3 3/15-->3/21      1.39   0.38  56(70) 12(15)  8(10)  3( 3)  0( 0)    0       79
  4 3/22-->3/28      2.25   0.61  52(64)  7( 8) 15(18)  6( 7)  1( 1)    0       81
  5 3/29-->4/4       1.86   0.63  64(61) 20(19) 16(15)  4( 3)  0( 0)    4      104
  6 4/5-->4/11       2.63   0.52  47(59) 19(24)  8(10)  3( 3)  2( 2)    7       79
  7 4/12-->4/18      1.38   0.64  54(54) 25(25) 16(16)  5( 5)  0( 0)    7      100
  8 4/19-->4/25      1.98   0.76  70(60) 18(15) 21(18)  6( 5)  0( 0)    7      115
  9 4/26-->5/2       1.88   0.88  66(57) 19(16) 17(14) 12(10)  0( 0)    5      114
 10 5/3-->5/9        2.02   0.78  64(57) 20(17) 20(17)  7( 6)  1( 0)    0      112
 11 5/10-->5/16      2.04   0.80  61(52) 29(25) 20(17)  5( 4)  1( 0)    0      116
 12 5/17-->5/23      3.10   0.92  51(45) 27(24) 27(24)  6( 5)  1( 0)    0      112
 13 5/24-->5/30      2.06   1.24  63(48) 25(19) 19(14) 22(16)  1( 0)    0      130
 14 5/31-->6/6       4.45   0.86  56(52) 25(23) 18(16)  5( 4)  3( 2)    0      107
 15 6/7-->6/13       2.49   1.12  57(49) 25(21) 20(17)  9( 7)  5( 4)    0      116
 16 6/14-->6/20      3.61   1.31  63(50) 22(17) 20(16) 13(10)  6( 4)    0      124
 17 6/21-->6/27      3.48   1.23  50(45) 26(23) 12(11) 13(11)  8( 7)    0      109
 18 6/28-->7/4       3.08   0.95  42(43) 26(26) 16(16) 10(10)  3( 3)    0       97
 19 7/5-->7/11       2.44   0.93  55(53) 17(16) 15(14) 11(10)  4( 3)    0      102
 20 7/12-->7/18      4.63   0.96  52(55) 14(14) 15(15)  9( 9)  4( 4)    0       94
 21 7/19-->7/25      1.75   0.62  49(53) 24(26) 12(13)  7( 7)  0( 0)    0       92
 22 7/26-->8/1       2.25   0.77  45(50) 18(20) 17(18)  8( 8)  2( 2)    0       90
 23 8/2-->8/8        3.91   0.89  67(63) 14(13) 12(11)  8( 7)  4( 3)    0      105
 24 8/9-->8/15       2.99   0.68  52(58) 19(21)  9(10)  7( 7)  2( 2)    0       89
 25 8/16-->8/22      3.95   0.88  54(52) 20(19) 19(18)  7( 6)  2( 1)    0      102
 26 8/23-->8/29      2.50   0.94  45(45) 21(21) 20(20)  9( 9)  3( 3)    0       98
 27 8/30-->9/5       5.85   0.87  51(56) 13(14) 17(18)  6( 6)  3( 3)    0       90
 28 9/6-->9/12       1.74   0.70  43(50) 20(23) 14(16)  9(10)  0( 0)    0       86
 29 9/13-->9/19      4.63   0.94  53(54) 15(15) 16(16) 11(11)  3( 3)    0       98
 30 9/20-->9/26      3.67   0.67  57(58) 16(16) 20(20)  4( 4)  1( 1)    0       98
 31 9/27-->10/3      2.84   0.61  42(55) 16(21) 10(13)  7( 9)  1( 1)    0       76
 32 10/4-->10/10     2.10   0.73  51(58) 10(11) 12(13) 13(14)  1( 1)    0       87
 33 10/11-->10/17    2.30   0.47  36(59)  5( 8) 15(24)  4( 6)  1( 1)    0       61
 34 10/18-->10/24    1.45   0.48  44(59) 12(16) 14(18)  4( 5)  0( 0)    0       74
 35 10/25-->10/31    2.23   0.39  39(62) 10(16) 12(19)  0( 0)  1( 1)    0       62
 36 11/1-->11/7      1.58   0.34  50(75)  6( 9)  6( 9)  4( 6)  0( 0)    0       66
 37 11/8-->11/14     1.72   0.35  40(65) 12(19)  5( 8)  4( 6)  0( 0)    0       61
 38 11/15-->11/21    1.76   0.41  50(67) 10(13) 12(16)  2( 2)  0( 0)    0       74
 39 11/22-->11/28    1.01   0.20  54(80) 10(14)  2( 2)  1( 1)  0( 0)    0       67
 40 11/29-->12/5     2.59   0.28  42(75)  7(12)  4( 7)  2( 3)  1( 1)    0       56
 41 12/6-->12/12     0.98   0.24  48(77)  8(12)  6( 9)  0( 0)  0( 0)    0       62
 42 12/13-->12/19    1.30   0.24  39(73)  8(15)  4( 7)  2( 3)  0( 0)    1       53
 43 12/20-->12/26    0.83   0.18  42(80)  5( 9)  5( 9)  0( 0)  0( 0)    7       52
 44 12/27-->1/2      1.60   0.24  45(77)  8(13)  3( 5)  2( 3)  0( 0)    7       58
 45 1/3-->1/9        0.82   0.13  32(80)  6(15)  2( 5)  0( 0)  0( 0)    7       40
 46 1/10-->1/16      0.90   0.18  46(79)  8(13)  4( 6)  0( 0)  0( 0)    6       58
 47 1/17-->1/23      0.98   0.21  45(77)  7(12)  6(10)  0( 0)  0( 0)    2       58
 48 1/24-->1/30      0.48   0.14  53(89)  6(10)  0( 0)  0( 0)  0( 0)    2       59
 49 1/31-->2/6       0.70   0.17  35(76)  7(15)  4( 8)  0( 0)  0( 0)    1       46
 50 2/7-->2/13       0.90   0.18  39(78)  7(14)  4( 8)  0( 0)  0( 0)    0       50
 51 2/14-->2/20      1.34   0.31  50(76)  5( 7)  8(12)  2( 3)  0( 0)    0       65
 52 2/21-->2/27      0.85   0.21  48(77) 10(16)  4( 6)  0( 0)  0( 0)    0       62
 53 2/28-->2/29      0.70   0.03   6(75)  0( 0)  2(25)  0( 0)  0( 0)    0        8
 ANNUAL TOTALS       5.85   2628(60)769(17)629(14)277( 6) 66( 1)   63     4369
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 7312
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.70 0.89 2.19 2.94 4.15 4.77 3.66 3.90 3.27 2.22 1.44 1.01 31.14  <-- PRECIP
  
   17.1 23.4 34.4 49.4 61.5 71.3 75.6 73.3 64.2 52.6 36.0 23.0  52.9  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   8     30  1962     5.85
   7     17  1972     4.63
   9     13  1978     4.63
   6      5  1967     4.45
   7     17  1982     3.98
   8     22  1988     3.95
   8      5  1996     3.91
   9     26  1973     3.67
   6     19  1954     3.61
   6     24  1998     3.48
   6     14  1957     3.15
   7      4  1981     3.08
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  7312
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     34      9      5      3    218    117     99     83
 1952     66     34     28     23    393    253    224    200
 1953    158     81     65     51    228    113     94     76
 1954     62     18     13      9    428    277    246    215
 1955    138     73     60     49    537    363    330    298
 1956    121     52     40     31    300    190    167    145
 1957    115     47     34     25    373    242    216    193
 1958     72     27     18      9    342    203    173    145
 1959    101     43     33     24    357    226    197    171
 1960     11      0      0      0    382    238    207    180
 1961     86     33     23     17    251    138    116     96
 1962     40     18     16     14    352    213    183    158
 1963    191    124    112    100    430    273    237    205
 1964     80     30     22     15    363    220    191    164
 1965      6      1      0      0    303    173    149    129
 1966    231    134    112     93    235    125    104     86
 1967    226    148    132    117    389    244    211    182
 1968    300    192    170    150    419    264    231    201
 1969     17      2      1      0    371    221    192    164
 1970     29      2      0      0    389    256    226    200
 1971     92     46     38     30    417    274    244    215
 1972    118     54     43     32    334    195    166    142
 1973    162     64     45     30    351    222    194    167
 1974    169     80     62     47    406    258    223    194
 1975     36      7      4      2    248    126    101     82
 1976    162     98     83     70    471    313    277    242
 1977    211    110     91     72    509    351    317    285
 1978    131     75     64     54    305    176    148    124
 1979     45     11      7      4    253    146    123    105
 1980     62     20     16     13    347    219    192    166
 1981    200     98     80     63    435    280    250    222
 1982     86     31     23     17    310    195    172    152
 1983     91     46     37     31    174    100     87     74
 1984     24      1      0      0    211     97     79     61
 1985    181     89     71     55    429    289    259    231
 1986    189    116    103     91    373    233    203    175
 1987    176     99     85     73    424    287    261    237
 1988    201    117     99     81    323    208    180    155
 1989    120     68     58     48    384    251    219    189
 1990    143     68     54     42    356    223    195    170
 1991    137     65     52     43    340    202    174    148
 1992    142     65     51     39    227    131    115    100
 1993     45     21     16     11    219    119     99     84
 1994    148     79     66     55    337    226    201    176
 1995    121     53     42     32    206    112     92     73
 1996     88     36     28     21    263    161    141    121
 1997    132     65     53     42    256    157    136    115
 1998     85     45     40     35    300    176    151    126
     ****************************  *************************** 
 MEAN  116.5   58.5   48.0   39.0  339.2  210.1  183.4  159.0
 STDV   66.6   43.3   38.3   33.5   83.6   65.2   60.5   56.0
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    717    488    435    386    752    518    462    406
 1952    618    399    352    307   1022    782    723    664
 1953    654    438    394    352    997    759    700    641
 1954    544    365    326    289    968    730    672    616
 1955    785    551    500    454    842    606    550    497
 1956    687    478    432    389   1005    769    711    653
 1957    588    374    330    290    860    621    562    504
 1958    738    524    475    430    778    543    488    436
 1959    682    463    414    366    931    691    632    576
 1960    656    444    398    353    827    588    530    474
 1961    568    371    330    290    864    625    568    516
 1962    820    581    525    471    863    625    567    511
 1963    632    408    360    316    982    742    682    623
 1964    798    563    509    460    893    655    598    544
 1965    776    549    495    444    902    662    602    543
 1966    582    402    364    330    890    650    593    538
 1967    538    353    313    279    864    624    566    509
 1968    516    340    301    265    928    691    634    577
 1969    677    463    414    367    750    524    472    423
 1970    766    546    495    449    938    699    641    585
 1971    595    393    351    312   1014    775    717    659
 1972    672    456    408    363    876    641    586    531
 1973    586    382    339    298    915    675    615    556
 1974    587    384    340    301    813    578    526    476
 1975    724    506    457    411    867    630    574    519
 1976    585    396    354    315    879    647    591    537
 1977    805    575    522    469    905    670    612    555
 1978    620    428    384    342    857    631    580    531
 1979    548    365    327    292    827    593    539    485
 1980    634    443    402    362    839    604    549    498
 1981    524    339    301    267    848    609    550    496
 1982    646    422    371    323    716    486    438    393
 1983    479    312    281    251    852    618    563    510
 1984    572    379    340    302    904    665    606    547
 1985    700    486    442    401    765    536    484    437
 1986    634    422    377    335    919    679    620    562
 1987    764    549    501    455    949    713    655    599
 1988    791    563    516    473    942    703    646    591
 1989    588    405    364    329    787    554    501    450
 1990    495    311    271    235    859    627    571    517
 1991    706    490    442    395    938    698    638    578
 1992    609    420    380    340    785    549    496    445
 1993    540    334    292    253    769    539    486    433
 1994    627    433    392    356    895    658    600    542
 1995    476    282    245    212    836    601    545    491
 1996    486    294    254    217    861    624    569    514
 1997    434    272    239    208    902    663    606    551
 1998    737    502    450    402    774    546    492    441
     ****************************  *************************** 
 MEAN  635.8  430.3  385.7  344.1  874.1  638.1  581.6  526.9
 STDV   99.2   83.1   78.2   73.5   73.6   71.1   69.2   66.7
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    994    746    684    622    961    713    651    589
 1952   1054    806    744    683    957    709    647    587
 1953   1057    809    747    687   1014    766    704    643
 1954   1092    844    782    720    983    735    673    611
 1955   1161    913    851    789   1089    841    779    717
