 
 THIS IS FOR STATION NUMBER  133 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.21   0.34  48(68) 11(15)  9(12)  2( 2)  0( 0)   25       70
  2 3/8-->3/14       2.65   0.44  53(68) 11(14)  9(11)  3( 3)  1( 1)   22       77
  3 3/15-->3/21      1.16   0.33  53(71) 11(14)  8(10)  2( 2)  0( 0)   19       74
  4 3/22-->3/28      1.44   0.50  43(55) 19(24) 10(12)  5( 6)  0( 0)   14       77
  5 3/29-->4/4       1.49   0.54  53(58) 18(20) 15(16)  4( 4)  0( 0)   14       90
  6 4/5-->4/11       2.11   0.47  54(64) 13(15) 14(16)  2( 2)  1( 1)   13       84
  7 4/12-->4/18      2.13   0.68  71(63) 17(15) 19(17)  3( 2)  1( 0)    7      111
  8 4/19-->4/25      3.38   0.83  68(59) 23(20) 14(12)  8( 6)  2( 1)    7      115
  9 4/26-->5/2       2.16   0.73  61(56) 25(23) 14(12)  6( 5)  2( 1)    5      108
 10 5/3-->5/9        1.65   0.73  70(60) 19(16) 17(14)  9( 7)  0( 0)    0      115
 11 5/10-->5/16      2.09   0.87  70(56) 24(19) 21(16)  8( 6)  2( 1)    0      125
 12 5/17-->5/23      3.49   0.87  51(46) 30(27) 18(16)  8( 7)  2( 1)    1      109
 13 5/24-->5/30      2.12   1.01  66(50) 29(21) 27(20)  9( 6)  1( 0)    0      132
 14 5/31-->6/6       3.40   0.92  56(56) 11(11) 22(22)  8( 8)  3( 3)    0      100
 15 6/7-->6/13       2.63   1.04  57(48) 29(24) 15(12) 12(10)  5( 4)    0      118
 16 6/14-->6/20      6.18   1.30  83(56) 19(13) 29(19) 12( 8)  3( 2)    0      146
 17 6/21-->6/27      5.09   1.21  53(48) 19(17) 24(21)  8( 7)  6( 5)    0      110
 18 6/28-->7/4       2.50   0.84  64(58) 20(18) 13(11) 10( 9)  2( 1)    4      109
 19 7/5-->7/11       4.70   1.06  59(53) 13(11) 23(20) 11(10)  4( 3)    7      110
 20 7/12-->7/18      2.12   0.88  47(44) 27(25) 22(20)  8( 7)  1( 0)    7      105
 21 7/19-->7/25      2.03   0.79  69(62) 18(16) 12(10) 10( 9)  1( 0)    7      110
 22 7/26-->8/1       3.70   0.78  57(59) 13(13) 15(15)  8( 8)  3( 3)    8       96
 23 8/2-->8/8        3.10   0.84  43(50) 16(18) 13(15) 10(11)  3( 3)   14       85
 24 8/9-->8/15       1.89   0.51  55(63) 14(16) 15(17)  3( 3)  0( 0)   14       87
 25 8/16-->8/22      5.20   0.80  52(54) 21(21) 14(14)  7( 7)  2( 2)   14       96
 26 8/23-->8/29      3.25   0.89  46(46) 25(25) 19(19)  5( 5)  4( 4)   14       99
 27 8/30-->9/5       7.17   0.73  55(61) 18(20)  9(10)  6( 6)  2( 2)    4       90
 28 9/6-->9/12       2.57   0.63  55(60) 19(20) 10(10)  6( 6)  1( 1)    0       91
 29 9/13-->9/19      4.25   0.74  55(59) 13(13) 16(17)  7( 7)  2( 2)    0       93
 30 9/20-->9/26      3.24   0.80  63(58) 24(22) 10( 9)  8( 7)  3( 2)    0      108
 31 9/27-->10/3      2.06   0.56  42(52) 19(23) 14(17)  4( 5)  1( 1)    3       80
 32 10/4-->10/10     1.94   0.58  50(58) 12(14) 17(20)  6( 7)  0( 0)    7       85
 33 10/11-->10/17    1.78   0.44  40(59) 12(17) 10(14)  5( 7)  0( 0)    7       67
 34 10/18-->10/24    1.42   0.39  38(59) 11(17) 13(20)  2( 3)  0( 0)    7       64
 35 10/25-->10/31    1.41   0.36  40(63) 14(22)  6( 9)  3( 4)  0( 0)    7       63
 36 11/1-->11/7      1.52   0.33  51(73) 10(14)  5( 7)  3( 4)  0( 0)    0       69
 37 11/8-->11/14     2.00   0.37  39(62) 11(17)  7(11)  4( 6)  1( 1)    0       62
 38 11/15-->11/21    1.55   0.44  34(53) 14(21) 11(17)  5( 7)  0( 0)    0       64
 39 11/22-->11/28    1.14   0.23  46(77)  6(10)  5( 8)  2( 3)  0( 0)    0       59
 40 11/29-->12/5     2.42   0.25  39(70) 11(20)  4( 7)  0( 0)  1( 1)    6       55
 41 12/6-->12/12     0.75   0.17  42(80)  7(13)  3( 5)  0( 0)  0( 0)    7       52
 42 12/13-->12/19    0.94   0.20  33(70)  9(19)  5(10)  0( 0)  0( 0)    8       47
 43 12/20-->12/26    0.78   0.17  44(81)  7(12)  3( 5)  0( 0)  0( 0)    8       54
 44 12/27-->1/2      1.03   0.20  28(65)  9(20)  5(11)  1( 2)  0( 0)   14       43
 45 1/3-->1/9        0.60   0.10  38(88)  4( 9)  1( 2)  0( 0)  0( 0)   29       43
 46 1/10-->1/16      1.30   0.18  34(75)  5(11)  5(11)  1( 2)  0( 0)   34       45
 47 1/17-->1/23      0.73   0.16  40(81)  6(12)  3( 6)  0( 0)  0( 0)   31       49
 48 1/24-->1/30      0.68   0.16  58(84)  9(13)  2( 2)  0( 0)  0( 0)   29       69
 49 1/31-->2/6       0.50   0.16  42(76) 11(20)  2( 3)  0( 0)  0( 0)   17       55
 50 2/7-->2/13       1.20   0.13  36(83)  4( 9)  2( 4)  1( 2)  0( 0)   14       43
 51 2/14-->2/20      1.57   0.26  41(70) 11(18)  4( 6)  2( 3)  0( 0)   14       58
 52 2/21-->2/27      1.24   0.22  32(64) 12(24)  5(10)  1( 2)  0( 0)   14       50
 53 2/28-->2/29      0.88   0.04   6(75)  1(12)  1(12)  0( 0)  0( 0)    2        8
 ANNUAL TOTALS       7.17   2623(60)784(18)609(14)248( 5) 60( 1)  478     4324
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1999 FOR STATION NUMBER  133
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.66 0.81 1.83 2.83 3.81 4.76 3.87 3.47 2.89 1.97 1.48 0.83 29.22  <-- PRECIP
  
   15.3 21.8 32.9 48.3 61.1 70.8 74.3 72.0 63.2 51.6 34.8 21.2  51.5  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   8     31  1962     7.17
   6     18  1954     6.18
   8     22  1959     5.20
   6     24  1981     5.09
   7      6  1978     4.70
   9     13  1978     4.25
   8     16  1977     3.87
   7     31  1964     3.70
   5     21  1959     3.49
   4     24  1955     3.38
   6      4  1991     3.40
   6     23  1994     3.40
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER   133
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      5      0      0      0    181     91     75     62
 1952     37     16     13     10    372    236    208    184
 1953    121     49     34     26    183     87     69     54
 1954     34      7      4      2    393    245    214    186
 1955     86     41     30     22    461    301    270    240
 1956     51     15     11      7    252    145    122    100
 1957     88     34     26     18    347    229    206    184
 1958     62     19     10      6    318    185    155    128
 1959     67     22     15      9    334    204    179    155
 1960     18      2      0      0    343    206    181    160
 1961     48     18     13      9    177     82     65     50
 1962     20      5      3      1    277    167    150    136
 1963    159    107     95     83    380    231    197    166
 1964     68     25     17     11    324    192    166    143
 1965      1      0      0      0    249    135    114     94
 1966    203    112     92     75    202    102     83     68
 1967    189    125    112     99    363    223    191    160
 1968    267    171    149    131    396    249    219    190
 1969     11      0      0      0    317    186    159    134
 1970     18      1      0      0    337    215    190    165
 1971     46     19     15     12    384    256    226    199
 1972     83     28     22     17    253    132    107     88
 1973    136     53     38     25    296    176    149    124
 1974    100     32     24     19    352    209    177    151
 1975     23      3      1      0    169     70     53     38
 1976    127     69     58     47    446    292    256    221
 1977    185     89     71     54    513    347    311    280
 1978    112     62     54     46    298    169    141    116
 1979     14      1      0      0    212    112     93     76
 1980     53     15     10      5    341    210    188    167
 1981    215    112     90     72    439    275    242    209
 1982     67     19     12      7    292    182    161    140
 1983    104     44     34     25    201    105     91     78
 1984     22      1      0      0    243    117     93     72
 1985    127     58     44     33    447    296    266    237
 1986    163     94     83     73    348    197    165    137
 1987    150     78     66     54    452    306    275    247
 1988    141     66     52     39    312    189    161    136
 1989     92     47     39     33    329    199    171    146
 1990    147     68     54     42    345    209    181    157
 1991    107     46     36     27    329    191    165    141
 1992    110     46     36     26    230    128    112     97
 1993     10      0      0      0    216    108     90     74
 1994    127     61     50     39    361    242    216    190
 1995    123     50     39     30    216    109     88     69
 1996     79     32     26     21    271    162    139    118
 1997     98     47     38     29    262    149    128    107
 1998     79     41     36     31    294    167    139    116
 1999    110     49     40     31    263    140    115     95
     ****************************  *************************** 
 MEAN   92.2   43.1   34.8   27.7  312.9  187.1  161.8  138.7
 STDV   61.5   38.3   33.3   28.8   83.2   65.5   61.0   56.3
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    673    445    395    347    709    479    423    368
 1952    564    353    307    264    945    707    648    589
 1953    600    391    347    309    935    697    638    579
 1954    487    318    279    243    917    681    625    570
 1955    723    500    452    407    781    552    497    447
 1956    612    418    376    336    940    704    648    592
 1957    553    356    314    274    822    585    528    473
 1958    683    487    440    395    715    489    436    389
 1959    672    459    413    367    907    672    615    558
 1960    612    405    358    315    801    564    511    459
 1961    462    300    266    235    812    580    529    481
 1962    738    516    466    418    833    596    540    486
 1963    587    394    353    312    942    704    646    590
 1964    769    545    494    448    883    653    598    543
 1965    731    508    455    409    893    653    593    537
 1966    567    394    358    324    876    640    582    527
 1967    505    329    293    259    860    622    566    513
 1968    517    344    307    273    891    658    602    548
 1969    647    435    392    352    720    500    450    403
 1970    675    471    425    380    883    649    593    537
 1971    569    383    344    307    959    719    660    601
 1972    645    431    385    340    837    607    555    504
 1973    552    351    310    275    905    665    605    549
 1974    532    343    304    269    791    556    503    455
 1975    695    469    423    380    853    618    562    508
 1976    602    406    360    319    870    633    575    520
 1977    849    610    556    503    893    654    595    537
 1978    658    453    406    363    884    651    594    541
 1979    566    372    334    299    864    625    567    512
 1980    677    461    413    368    880    642    587    534
 1981    576    378    335    296    895    655    595    538
 1982    709    475    421    370    763    528    473    423
 1983    505    330    293    260    868    633    578    525
 1984    542    349    307    269    893    653    596    539
 1985    742    514    465    421    750    528    478    431
 1986    616    404    354    307    891    652    593    535
 1987    786    555    503    452    949    709    650    593
 1988    799    568    515    467    939    701    642    586
 1989    619    413    368    327    828    595    542    490
 1990    516    319    276    239    908    675    617    560
 1991    702    487    438    391    961    721    661    601
 1992    624    421    378    336    821    587    531    476
 1993    537    327    284    242    762    530    475    422
 1994    694    486    440    398    910    672    614    556
 1995    523    319    277    238    887    650    592    536
 1996    509    307    264    225    869    634    577    522
 1997    497    313    274    236    936    696    636    577
 1998    744    510    458    408    768    537    482    427
 1999    599    379    334    291    816    577    522    468
     ****************************  *************************** 
 MEAN  624.0  418.7  373.9  332.1  861.8  626.5  570.2  515.6
 STDV   93.2   78.1   73.9   69.7   66.8   63.7   61.8   59.3
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    951    703    641    579    887    639    577    516
 1952   1006    758    697    636    886    638    577    517
 1953    996    748    686    625    959    711    649    587
 1954   1049    801    739    677    926    678    616    555
 1955   1101    853    791    729   1013    766    706    647
 1956    877    629    567    507    919    682    625    569
 1957   1105    857    795    733    939    693    632    575
 1958    891    644    583    523    966    722    662    606
 1959    959    711    650    593   1041    793    732    671
 1960    954    706    646    588    966    718    656    595
 1961    920    672    611    551    955    707    645    583
 1962    941    693    634    575    933    685    623    564
 1963   1011    763    701    639    921    675    616    560
 1964   1049    801    739    677    861    621    566    512
 1965   1003    755    694    633    879    634    575    519
 1966   1056    808    746    685    863    617    558    503
 1967    926    683    626    570    877    640    586    533
 1968    971    723    662    604    937    691    632    574
 1969   1018    770    708    647    956    708    646    584
 1970    973    726    666    608    932    684    625    567
 1971    898    656    599    543    898    657    601    547
 1972    926    681    623    565    923    678    620    562
 1973    984    736    674    613    986    738    677    616
 1974   1051    803    741    681    858    612    553    500
 1975   1022    774    714    657   1000    752    691    632
 1976   1023    775    714    654    938    691    631    575
 1977   1066    818    756    694    885    638    579    523
 1978    983    735    674    613    958    712    655    599
 1979    970    722    660    599    947    701    642    586
 1980    994    747    687    628   1004    756    695    634
 1981   1009    761    699    637    912    664    602    543
 1982   1065    817    755    693    920    675    616    559
 1983   1085    837    775    713   1082    834    772    710
 1984    973    725    664    604   1007    761    701    643
 1985    939    691    629    568    815    569    509    454
 1986   1026    778    716    654    786    543    485    429
 1987   1063    815    753    691    856    612    553    496
 1988   1010    762    700    638    984    737    678    619
 1989   1016    768    706    644    949    701    639    579
 1990    935    687    625    565    946    698    636    576
 1991    981    733    671    610    925    677    616    555
 1992    801    553    491    431    777    534    478    426
 1993    954    706    644    582    932    684    622    562
 1994    908    660    598    536    861    614    554    497
 1995    995    748    687    626   1075    827    765    703
 1996    922    674    613    552    894    646    584    522
 1997   1002    754    692    633    862    614    552    491
 1998    991    743    681    619    971    723    661    599
 1999   1064    816    754    692    876    628    567    507
     ****************************  *************************** 
