 
 THIS IS FOR STATION NUMBER  600 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.76   0.53  75(68) 19(17) 11(10)  5( 4)  0( 0)    0      110
  2 3/8-->3/14       1.45   0.64  71(63) 15(13) 22(19)  4( 3)  0( 0)    0      112
  3 3/15-->3/21      1.05   0.48  76(69) 18(16) 15(13)  1( 0)  0( 0)    0      110
  4 3/22-->3/28      1.81   0.58  64(60) 23(21) 13(12)  5( 4)  0( 0)    0      105
  5 3/29-->4/4       2.15   0.77  86(65) 26(19) 11( 8)  8( 6)  1( 0)    0      132
  6 4/5-->4/11       1.94   0.58  70(64) 18(16) 14(12)  6( 5)  0( 0)    0      108
  7 4/12-->4/18      2.22   0.88  65(52) 25(20) 27(21)  3( 2)  3( 2)    0      123
  8 4/19-->4/25      2.75   1.02  77(54) 27(19) 29(20)  6( 4)  2( 1)    0      141
  9 4/26-->5/2       2.47   1.03  82(56) 29(20) 20(13) 13( 8)  1( 0)    0      145
 10 5/3-->5/9        3.63   0.80  84(64) 19(14) 22(16)  4( 3)  1( 0)    0      130
 11 5/10-->5/16      2.75   1.04  81(61) 24(18) 12( 9) 10( 7)  5( 3)    0      132
 12 5/17-->5/23      1.77   0.84  80(61) 20(15) 21(16) 10( 7)  0( 0)    2      131
 13 5/24-->5/30      2.22   1.13  82(54) 31(20) 24(16) 11( 7)  2( 1)    0      150
 14 5/31-->6/6       2.82   0.74  82(63) 31(24)  9( 6)  5( 3)  2( 1)    0      129
 15 6/7-->6/13       2.67   1.29  81(53) 28(18) 25(16) 15( 9)  3( 1)    0      152
 16 6/14-->6/20      3.32   1.07  63(51) 22(18) 21(17) 13(10)  3( 2)    0      122
 17 6/21-->6/27      3.28   0.93  64(57) 13(11) 24(21)  7( 6)  4( 3)    0      112
 18 6/28-->7/4       4.26   1.16  55(49) 23(20) 18(16)  9( 8)  7( 6)    0      112
 19 7/5-->7/11       4.75   1.06  60(52) 18(15) 22(19) 11( 9)  3( 2)    0      114
 20 7/12-->7/18      6.38   1.29  55(48) 22(19) 17(14) 13(11)  7( 6)    0      114
 21 7/19-->7/25      2.55   0.74  62(59) 24(22)  9( 8)  9( 8)  1( 0)    0      105
 22 7/26-->8/1       2.65   0.86  58(58) 14(14) 11(11) 12(12)  4( 4)    0       99
 23 8/2-->8/8        5.32   0.96  66(56) 22(18) 16(13) 10( 8)  2( 1)    0      116
 24 8/9-->8/15       3.17   0.92  53(53) 18(18) 14(14) 10(10)  4( 4)    0       99
 25 8/16-->8/22      6.02   1.17  60(53) 13(11) 25(22) 10( 8)  4( 3)    0      112
 26 8/23-->8/29      3.76   1.03  55(55) 11(11) 18(18) 10(10)  5( 5)    0       99
 27 8/30-->9/5       3.05   0.75  57(60) 16(16) 10(10)  9( 9)  3( 3)    0       95
 28 9/6-->9/12       2.79   0.78  47(50) 17(18) 20(21)  7( 7)  2( 2)    0       93
 29 9/13-->9/19      3.41   0.98  65(57) 20(17) 17(14)  6( 5)  6( 5)    0      114
 30 9/20-->9/26      2.89   0.93  56(52) 20(18) 17(16) 10( 9)  3( 2)    0      106
 31 9/27-->10/3      1.65   0.57  45(52) 21(24) 15(17)  4( 4)  0( 0)    0       85
 32 10/4-->10/10     1.96   0.66  61(64) 12(12) 11(11) 11(11)  0( 0)    0       95
 33 10/11-->10/17    2.33   0.52  54(65) 15(18)  9(10)  4( 4)  1( 1)    0       83
 34 10/18-->10/24    2.42   0.65  58(61) 15(15) 13(13)  7( 7)  1( 1)    0       94
 35 10/25-->10/31    1.87   0.54  65(65) 17(17) 12(12)  5( 5)  0( 0)    0       99
 36 11/1-->11/7      2.68   0.54  67(72) 11(11)  5( 5)  8( 8)  1( 1)    0       92
 37 11/8-->11/14     1.24   0.40  54(65) 13(15) 13(15)  3( 3)  0( 0)    0       83
 38 11/15-->11/21    2.88   0.57  62(67) 13(14)  6( 6) 10(10)  1( 1)    0       92
 39 11/22-->11/28    2.08   0.42  77(75) 11(10) 13(12)  0( 0)  1( 0)    0      102
 40 11/29-->12/5     2.06   0.35  83(82)  9( 8)  5( 4)  3( 2)  1( 0)    0      101
 41 12/6-->12/12     1.09   0.32  64(73) 13(14)  9(10)  1( 1)  0( 0)    0       87
 42 12/13-->12/19    1.40   0.27  69(80) 10(11)  6( 6)  1( 1)  0( 0)    0       86
 43 12/20-->12/26    1.26   0.30  66(75) 14(16)  6( 6)  1( 1)  0( 0)    0       87
 44 12/27-->1/2      0.71   0.30  74(77) 13(13)  8( 8)  0( 0)  0( 0)    0       95
 45 1/3-->1/9        1.10   0.23  67(81)  9(10)  4( 4)  2( 2)  0( 0)    0       82
 46 1/10-->1/16      3.25   0.29  77(85)  8( 8)  3( 3)  1( 1)  1( 1)    0       90
 47 1/17-->1/23      0.69   0.28  76(80) 12(12)  7( 7)  0( 0)  0( 0)    1       95
 48 1/24-->1/30      1.47   0.22  94(90)  7( 6)  1( 0)  2( 1)  0( 0)    1      104
 49 1/31-->2/6       0.77   0.20  69(84)  6( 7)  7( 8)  0( 0)  0( 0)    0       82
 50 2/7-->2/13       0.72   0.21  64(82) 12(15)  2( 2)  0( 0)  0( 0)    0       78
 51 2/14-->2/20      0.90   0.27  79(81) 11(11)  7( 7)  0( 0)  0( 0)    0       97
 52 2/21-->2/27      1.81   0.43  65(72) 12(13)  8( 8)  5( 5)  0( 0)    0       90
 53 2/28-->2/29      0.76   0.04   8(72)  1( 9)  2(18)  0( 0)  0( 0)    0       11
 ANNUAL TOTALS       6.38   3530(63)891(16)706(12)320( 5) 85( 1)    4     5532
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1999 FOR STATION NUMBER  600
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   1.11 1.15 2.57 3.72 4.14 4.55 4.28 4.50 3.56 2.57 2.03 1.35 35.53  <-- PRECIP
  
   19.2 25.2 36.1 50.3 62.0 71.4 75.5 73.3 64.8 53.2 38.0 25.2  54.3  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   7     14  1962     6.38
   8     16  1977     6.02
   8      5  1968     5.32
   7     10  1971     4.75
   6     28  1983     4.26
   8     20  1975     4.08
   6     30  1959     3.78
   8     26  1987     3.76
   5      6  1960     3.63
   7      2  1983     3.41
   9     19  1988     3.41
   7     14  1958     3.38
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER   600
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     24      3      2      1    258    140    116     95
 1952     79     37     32     27    401    257    228    201
 1953    146     68     52     38    241    121     95     73
 1954     85     27     19     14    452    278    241    209
 1955    151     79     65     52    499    321    283    247
 1956    108     47     37     29    332    211    184    159
 1957    126     54     41     30    389    236    203    174
 1958     80     27     17     10    362    220    189    159
 1959     91     35     29     24    326    186    159    134
 1960     19      2      0      0    395    244    215    189
 1961     92     39     31     25    226    114     95     78
 1962     58     25     22     19    337    200    174    152
 1963    193    119    106     93    416    260    225    191
 1964     98     45     33     23    359    211    183    157
 1965     10      2      1      0    311    176    148    121
 1966    210    107     86     69    272    143    118     96
 1967    200    123    108     94    371    215    184    155
 1968    270    168    148    129    409    259    228    198
 1969     68     32     25     19    382    225    191    160
 1970     58     13      7      5    389    248    216    188
 1971     88     43     37     31    398    256    224    195
 1972    121     56     47     39    308    171    142    118
 1973    212     88     67     48    308    173    147    123
 1974    136     59     48     39    422    256    219    187
 1975     43     10      5      3    261    143    122    101
 1976    181     97     81     68    446    287    252    217
 1977    244    127    107     90    540    366    327    292
 1978     99     51     41     33    335    197    169    142
 1979     83     36     29     22    263    142    120     99
 1980     94     36     27     20    375    235    209    185
 1981    224    114     93     78    499    322    286    251
 1982     94     36     27     19    305    185    159    136
 1983    142     70     57     46    235    122    104     91
 1984     33      3      0      0    303    161    131    106
 1985    193     95     76     60    521    352    317    284
 1986    225    137    120    105    466    303    269    235
 1987    204    108     91     76    464    306    275    244
 1988    181     94     77     62    356    227    199    174
 1989    137     77     66     57    367    219    187    158
 1990    207    108     89     72    362    225    195    166
 1991    188    101     85     71    396    232    201    171
 1992    178     84     68     53    285    164    141    121
 1993     50     20     15     11    251    126    103     83
 1994    142     64     53     43    357    229    201    176
 1995    179    102     86     71    231    129    105     85
 1996     97     40     30     21    274    162    140    121
 1997    146     71     57     45    256    156    133    112
 1998    121     70     62     54    305    167    142    117
 1999    122     55     44     34    312    172    145    119
     ****************************  *************************** 
 MEAN  129.4   63.6   52.2   42.6  353.9  213.5  184.7  158.3
 STDV   64.3   40.0   35.0   30.3   80.4   62.9   58.6   54.0
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    714    495    443    394    790    555    497    444
 1952    617    400    356    314    985    746    687    630
 1953    632    417    370    327    940    701    642    585
 1954    536    357    319    281    958    723    665    609
 1955    718    492    445    401    796    564    511    460
 1956    700    489    443    400    979    743    686    630
 1957    589    379    336    296    860    622    565    509
 1958    701    495    449    405    774    535    482    431
 1959    720    499    447    396    904    664    605    549
 1960    625    414    363    316    814    578    522    468
 1961    557    362    320    282    865    631    578    528
 1962    812    579    525    473    857    619    563    508
 1963    625    411    365    321    944    705    648    592
 1964    803    566    513    464    878    647    591    535
 1965    764    543    491    441    843    603    545    488
 1966    527    345    309    277    861    627    570    516
 1967    539    354    315    280    875    636    579    524
 1968    552    362    323    287    910    671    613    559
 1969    662    448    400    356    744    518    466    417
 1970    755    532    483    435    880    641    584    528
 1971    545    352    313    276   1019    779    719    660
 1972    684    465    416    370    824    594    541    488
 1973    564    352    307    265    920    680    620    562
 1974    552    348    303    262    795    558    503    451
 1975    736    514    464    419    906    667    608    551
 1976    591    394    350    308    889    650    593    539
 1977    858    625    569    514    942    705    647    590
 1978    653    436    390    345    924    686    630    577
 1979    640    441    396    354    892    655    598    542
 1980    704    491    443    400    892    655    597    540
 1981    608    406    363    322    926    686    626    566
 1982    756    520    465    410    761    524    470    421
 1983    555    351    308    269    931    697    641    588
 1984    573    372    330    291    946    707    648    589
 1985    756    523    471    421    824    588    534    481
 1986    723    492    440    389    935    695    636    578
 1987    791    568    518    472    982    744    685    627
 1988    780    556    507    462    937    702    648    596
 1989    618    422    379    339    838    607    551    499
 1990    541    333    289    250    910    672    615    559
 1991    785    558    506    454    996    756    696    636
 1992    645    446    401    359    845    611    554    499
 1993    625    408    362    316    814    583    526    472
 1994    637    427    384    343    912    675    619    564
 1995    525    312    271    234    892    652    592    534
 1996    497    291    249    211    846    608    550    493
 1997    425    260    225    193    875    636    577    519
 1998    745    502    447    398    790    560    506    453
 1999    635    412    364    318    859    621    564    507
     ****************************  *************************** 
 MEAN  651.1  439.3  393.0  349.4  883.5  646.8  589.9  534.7
 STDV   97.4   84.5   80.2   75.6   64.8   63.1   61.8   59.9
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    991    743    681    621    946    698    636    576
 1952   1047    799    738    678    936    689    631    575
 1953   1029    781    720    661    954    707    648    590
 1954   1070    822    760    698    967    719    657    595
