 
 THIS IS FOR STATION NUMBER 6327 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.50   0.56  56(61) 16(17) 12(13)  7( 7)  0( 0)    5       91
  2 3/8-->3/14       1.97   0.53  53(60) 16(18) 13(14)  5( 5)  0( 0)    2       87
  3 3/15-->3/21      1.71   0.41  47(61) 17(22) 11(14)  2( 2)  0( 0)    0       77
  4 3/22-->3/28      1.32   0.55  55(61) 15(16) 14(15)  6( 6)  0( 0)    1       90
  5 3/29-->4/4       1.69   0.70  62(55) 30(27) 12(10)  7( 6)  0( 0)    1      111
  6 4/5-->4/11       1.67   0.61  51(53) 23(24) 17(17)  4( 4)  0( 0)    1       95
  7 4/12-->4/18      1.92   0.93  54(46) 28(24) 22(19) 11( 9)  0( 0)    0      115
  8 4/19-->4/25      2.52   1.06  65(51) 27(21) 21(16) 11( 8)  2( 1)    5      126
  9 4/26-->5/2       2.59   0.78  66(60) 17(15) 18(16)  8( 7)  1( 0)    2      110
 10 5/3-->5/9        3.41   1.07  74(60) 15(12) 15(12) 15(12)  3( 2)    7      122
 11 5/10-->5/16      2.75   0.84  63(56) 18(16) 18(16) 10( 9)  2( 1)    7      111
 12 5/17-->5/23      2.35   0.93  60(51) 21(17) 25(21) 10( 8)  1( 0)    7      117
 13 5/24-->5/30      2.88   1.19  60(48) 26(20) 26(20)  8( 6)  5( 4)    7      125
 14 5/31-->6/6       3.16   0.69  52(53) 24(24) 15(15)  5( 5)  1( 1)    1       97
 15 6/7-->6/13       2.34   1.10  70(52) 25(18) 24(18) 10( 7)  4( 3)    0      133
 16 6/14-->6/20      2.52   0.95  70(59) 18(15) 15(12) 10( 8)  4( 3)    0      117
 17 6/21-->6/27      2.65   1.01  51(45) 21(18) 26(23) 11( 9)  2( 1)    0      111
 18 6/28-->7/4       3.40   1.30  38(38) 19(19) 22(22) 14(14)  6( 6)    0       99
 19 7/5-->7/11       4.35   1.04  47(47) 19(19) 19(19) 10(10)  4( 4)    0       99
 20 7/12-->7/18      3.22   0.98  44(47) 19(20) 15(16)  9( 9)  6( 6)    0       93
 21 7/19-->7/25      2.56   0.83  52(52) 21(21) 17(17)  8( 8)  2( 2)    0      100
 22 7/26-->8/1       2.10   0.78  42(48) 10(11) 24(27)  9(10)  1( 1)    1       86
 23 8/2-->8/8        5.36   1.00  53(52) 17(16) 17(16) 10( 9)  4( 3)    7      101
 24 8/9-->8/15       4.65   0.83  51(56) 18(20)  8( 8)  8( 8)  5( 5)    7       90
 25 8/16-->8/22      2.28   0.79  51(54) 15(16) 17(18)  9( 9)  1( 1)    7       93
 26 8/23-->8/29      3.64   1.06  35(38) 20(22) 16(17) 16(17)  3( 3)    7       90
 27 8/30-->9/5       1.96   0.76  48(55) 15(17) 12(13) 12(13)  0( 0)    7       87
 28 9/6-->9/12       2.04   0.77  50(51) 22(22) 15(15)  9( 9)  1( 1)    7       97
 29 9/13-->9/19      5.55   1.22  50(47) 17(16) 23(21) 11(10)  5( 4)    7      106
 30 9/20-->9/26      2.64   0.87  55(52) 23(21) 13(12) 11(10)  3( 2)    7      105
 31 9/27-->10/3      2.86   0.58  30(45) 18(27) 13(19)  2( 3)  3( 4)    8       66
 32 10/4-->10/10     3.21   0.76  45(54) 14(16) 12(14)  8( 9)  4( 4)    7       83
 33 10/11-->10/17    2.05   0.59  38(51) 16(21) 13(17)  6( 8)  1( 1)    7       74
 34 10/18-->10/24    3.20   0.78  42(46) 21(23) 17(18)  9(10)  1( 1)    7       90
 35 10/25-->10/31    1.90   0.45  45(58) 19(24) 12(15)  1( 1)  0( 0)    7       77
 36 11/1-->11/7      2.74   0.68  44(55) 13(16) 14(17)  6( 7)  3( 3)    7       80
 37 11/8-->11/14     1.92   0.50  41(53) 18(23) 13(17)  4( 5)  0( 0)    7       76
 38 11/15-->11/21    4.65   0.63  31(44) 19(27) 13(18)  5( 7)  2( 2)    7       70
 39 11/22-->11/28    1.88   0.44  46(59) 16(20) 12(15)  3( 3)  0( 0)    7       77
 40 11/29-->12/5     3.52   0.39  47(68) 11(15)  9(13)  1( 1)  1( 1)    6       69
 41 12/6-->12/12     1.92   0.33  48(68) 14(20)  5( 7)  3( 4)  0( 0)    2       70
 42 12/13-->12/19    1.32   0.26  43(70) 13(21)  4( 6)  1( 1)  0( 0)    7       61
 43 12/20-->12/26    1.35   0.30  51(76)  6( 8)  8(11)  2( 2)  0( 0)    6       67
 44 12/27-->1/2      1.24   0.34  41(63) 11(16) 11(16)  2( 3)  0( 0)    8       65
 45 1/3-->1/9        1.10   0.22  38(73) 10(19)  3( 5)  1( 1)  0( 0)    9       52
 46 1/10-->1/16      1.21   0.24  44(72) 11(18)  4( 6)  2( 3)  0( 0)    6       61
 47 1/17-->1/23      1.05   0.28  56(73) 15(19)  4( 5)  1( 1)  0( 0)    2       76
 48 1/24-->1/30      1.10   0.22  53(80)  7(10)  5( 7)  1( 1)  0( 0)   11       66
 49 1/31-->2/6       0.80   0.21  42(73) 11(19)  4( 7)  0( 0)  0( 0)   17       57
 50 2/7-->2/13       0.96   0.19  47(83)  6(10)  3( 5)  0( 0)  0( 0)   10       56
 51 2/14-->2/20      0.89   0.33  45(63) 14(19) 12(16)  0( 0)  0( 0)   11       71
 52 2/21-->2/27      1.60   0.40  46(60) 17(22) 12(15)  1( 1)  0( 0)    8       76
 53 2/28-->2/29      0.66   0.03   9(90)  0( 0)  1(10)  0( 0)  0( 0)    1       10
 ANNUAL TOTALS       5.55   2597(56)892(19)726(15)335( 7) 81( 1)  271     4631
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1999 FOR STATION NUMBER 6327
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   1.08 1.16 2.35 3.58 4.28 4.39 4.18 3.96 3.86 2.71 2.43 1.34 35.33  <-- PRECIP
  
   21.4 27.5 38.1 51.9 63.2 72.7 77.0 74.6 66.2 54.8 39.8 27.3  55.8  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   9     13  1961     5.55
   8      5  1970     5.36
  11     17  1952     4.65
   8     14  1986     4.65
   7      8  1994     4.35
   8     26  1987     3.64
  11     29  1975     3.52
   7      3  1951     3.40
   5      8  1962     3.41
   8     28  1998     3.41
   9     17  1970     3.34
   7     18  1969     3.22
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  6327
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     59     17     11      8    297    169    145    122
 1952    101     52     44     37    421    273    244    217
 1953    165     81     63     47    275    146    122    100
 1954    117     42     29     20    501    322    282    247
 1955    171     96     81     67    514    338    299    264
 1956    156     75     63     53    369    242    216    190
 1957    153     69     55     42    415    255    221    190
 1958     85     30     20     12    379    219    187    157
 1959    125     62     50     40    362    208    176    150
 1960     28      9      5      2    450    284    249    215
 1961    134     60     48     38    271    148    127    107
 1962     95     48     40     34    375    232    201    173
 1963    221    132    117    102    463    300    264    228
 1964    136     69     57     45    411    249    217    186
 1965     20      6      4      2    365    213    184    156
 1966    247    136    113     91    323    190    163    138
 1967    242    153    133    115    427    253    217    187
 1968    306    184    163    143    447    280    243    211
 1969     90     46     39     32    429    264    228    192
 1970     81     24     16      9    435    281    247    216
 1971    119     56     47     39    455    299    267    237
 1972    167     91     78     67    378    226    195    166
 1973    244    114     89     67    358    209    178    151
 1974    216    122    104     89    490    320    282    244
 1975     83     39     30     21    341    206    179    155
 1976    217    118     98     83    476    316    279    243
 1977    284    161    137    116    584    401    360    322
 1978    113     61     50     41    346    213    187    162
 1979    105     50     40     31    277    154    130    107
 1980    137     59     46     35    418    269    239    210
 1981    264    142    119    100    574    378    337    299
 1982    144     58     44     32    350    208    180    154
 1983    187    102     87     72    259    134    116    101
 1984     44      8      6      4    301    168    140    116
 1985    229    125    105     86    518    352    318    285
 1986    243    149    132    115    450    286    253    220
 1987    213    116     99     85    477    302    270    239
 1988    194    113     96     79    373    240    210    180
 1989    183    111     97     85    409    256    223    194
 1990    234    124    104     86    365    220    190    163
 1991    228    127    109     93    417    247    215    187
 1992    211    109     91     73    311    180    155    133
 1993     84     35     27     20    284    155    129    106
 1994    187     98     81     67    384    248    219    192
 1995    220    136    118    100    277    159    134    111
 1996    114     46     36     27    331    205    178    154
 1997    200    101     82     67    289    168    143    119
 1998    130     76     69     62    323    185    157    131
 1999    150     71     57     44    345    202    174    148
     ****************************  *************************** 
 MEAN  161.0   84.1   70.2   57.9  389.8  240.5  209.9  181.4
 STDV   68.7   44.3   39.4   34.7   80.2   63.1   58.5   53.9
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    728    508    456    405    822    584    526    469
 1952    660    437    389    344   1035    797    738    679
 1953    647    438    391    345    999    759    699    642
 1954    556    374    335    296    984    748    690    634
 1955    706    485    438    395    832    595    539    485
 1956    764    547    497    453   1005    769    711    654
 1957    665    439    392    348    912    674    616    559
 1958    723    513    466    420    805    566    508    456
 1959    746    516    463    411    941    701    641    583
 1960    662    448    396    345    852    613    555    498
 1961    599    399    355    313    890    656    603    552
 1962    899    661    604    547    913    673    615    559
 1963    669    445    393    344    972    733    676    619
 1964    855    611    554    499    902    668    611    554
 1965    840    615    562    509    911    671    611    554
 1966    588    392    351    314    890    656    598    541
 1967    576    385    343    305    919    679    620    564
 1968    595    392    349    308    982    742    683    624
 1969    728    505    453    404    828    597    544    491
 1970    820    591    537    486    946    706    646    587
 1971    609    408    364    322   1074    834    774    714
 1972    728    505    452    404    905    670    613    559
 1973    616    400    352    307    974    734    674    614
 1974    633    415    368    324    836    596    538    483
 1975    758    534    486    441    953    713    654    598
 1976    617    421    377    336    933    693    634    577
 1977    897    659    601    544    965    727    668    609
 1978    638    425    379    336    917    678    621    566
 1979    658    457    412    371    914    679    622    566
 1980    759    536    484    435    938    698    638    579
 1981    649    434    390    346    994    754    694    634
 1982    795    552    494    437    805    566    509    456
 1983    606    391    346    303    974    735    677    619
 1984    571    377    337    300    948    708    648    588
 1985    728    492    445    402    822    585    529    477
 1986    675    443    393    344    952    712    652    594
 1987    807    571    518    470    969    730    671    614
 1988    780    550    498    451    966    727    670    613
 1989    624    420    374    330    831    594    538    483
 1990    544    334    289    247    923    683    625    568
 1991    796    567    512    461    990    750    690    630
 1992    652    443    400    358    849    613    555    500
 1993    669    438    383    334    852    619    562    507
 1994    651    438    395    356    929    690    631    572
 1995    551    332    287    246    905    665    605    546
 1996    569    350    304    261    899    660    601    543
 1997    513    320    281    245    929    690    631    572
 1998    760    519    465    414    816    582    527    473
 1999    648    418    368    321    866    629    574    519
     ****************************  *************************** 
 MEAN  684.5  466.6  418.1  372.5  918.0  679.9  621.8  565.1
 STDV   94.9   84.0   80.0   75.8   64.0   63.0   62.0   60.5
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951   1033    785    723    661    982    734    672    612
 1952   1075    827    765    704    977    729    668    610
 1953   1075    827    765    705   1006    758    697    639
