 
 THIS IS FOR STATION NUMBER 6940 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.58   0.46  67(67) 21(21)  9( 9)  3( 3)  0( 0)    0      100
  2 3/8-->3/14       1.41   0.47  60(66) 15(16) 11(12)  4( 4)  0( 0)    0       90
  3 3/15-->3/21      2.01   0.48  58(66) 15(17)  8( 9)  5( 5)  1( 1)    0       87
  4 3/22-->3/28      1.84   0.56  65(69) 10(10) 13(13)  6( 6)  0( 0)    0       94
  5 3/29-->4/4       1.37   0.61  62(61) 23(22)  6( 5) 10( 9)  0( 0)    0      101
  6 4/5-->4/11       2.31   0.60  57(60) 23(24)  6( 6)  7( 7)  1( 1)    0       94
  7 4/12-->4/18      3.19   0.91  60(54) 20(18) 23(20)  5( 4)  3( 2)    0      111
  8 4/19-->4/25      3.19   0.79  51(52) 16(16) 21(21)  9( 9)  1( 1)    1       98
  9 4/26-->5/2       2.63   1.06  62(52) 17(14) 26(21)  9( 7)  5( 4)    0      119
 10 5/3-->5/9        2.80   1.02  67(53) 22(17) 25(19) 10( 7)  2( 1)    0      126
 11 5/10-->5/16      4.07   0.79  63(55) 24(21) 20(17)  4( 3)  2( 1)    0      113
 12 5/17-->5/23      4.01   1.24  47(38) 32(26) 27(21) 13(10)  4( 3)    0      123
 13 5/24-->5/30      6.50   1.18  80(57) 26(18) 18(13) 11( 7)  3( 2)    0      138
 14 5/31-->6/6       3.35   0.89  59(53) 23(20) 18(16)  9( 8)  1( 0)    0      110
 15 6/7-->6/13       5.95   1.15  73(54) 20(14) 28(20) 11( 8)  2( 1)    0      134
 16 6/14-->6/20      3.92   1.30  47(43) 15(14) 21(19) 19(17)  5( 4)    0      107
 17 6/21-->6/27      3.87   1.36  52(44) 21(17) 23(19) 13(11)  8( 6)    0      117
 18 6/28-->7/4       3.62   1.02  40(47) 11(12) 15(17) 16(18)  3( 3)    0       85
 19 7/5-->7/11       3.28   1.09  55(52) 13(12) 20(19) 12(11)  4( 3)    0      104
 20 7/12-->7/18      2.60   0.95  51(53)  9( 9) 23(23) 10(10)  3( 3)    0       96
 21 7/19-->7/25      2.90   0.94  56(55) 16(15) 10( 9) 16(15)  3( 2)    0      101
 22 7/26-->8/1       4.75   0.87  53(58) 13(14) 10(10) 13(14)  2( 2)    0       91
 23 8/2-->8/8        4.30   1.10  49(48) 19(18) 20(19)  8( 7)  6( 5)    0      102
 24 8/9-->8/15       2.63   0.84  55(55) 20(20) 11(11)  9( 9)  4( 4)    0       99
 25 8/16-->8/22      3.60   0.90  40(43) 16(17) 25(26) 11(11)  1( 1)    0       93
 26 8/23-->8/29      7.60   1.09  45(48) 20(21) 15(16) 10(10)  3( 3)    0       93
 27 8/30-->9/5       3.50   1.13  50(45) 21(19) 20(18) 14(12)  4( 3)    0      109
 28 9/6-->9/12       5.45   0.96  36(45) 18(22) 11(13) 10(12)  5( 6)    0       80
 29 9/13-->9/19      4.03   1.03  48(52)  8( 8) 20(21) 11(11)  5( 5)    0       92
 30 9/20-->9/26      2.90   0.86  56(57) 14(14) 11(11) 13(13)  3( 3)    0       97
 31 9/27-->10/3      1.50   0.49  45(60) 12(16) 12(16)  6( 8)  0( 0)    0       75
 32 10/4-->10/10     2.21   0.62  44(54) 15(18) 13(16)  8( 9)  1( 1)    0       81
 33 10/11-->10/17    2.55   0.59  33(55)  9(15)  6(10)  9(15)  2( 3)    0       59
 34 10/18-->10/24    2.38   0.50  60(70) 12(14)  6( 7)  4( 4)  3( 3)    0       85
 35 10/25-->10/31    2.42   0.50  48(61) 14(17) 10(12)  5( 6)  1( 1)    0       78
 36 11/1-->11/7      1.97   0.53  44(61) 10(14)  8(11)  9(12)  0( 0)    0       71
 37 11/8-->11/14     1.67   0.33  45(69)  8(12)  9(13)  3( 4)  0( 0)    0       65
 38 11/15-->11/21    2.52   0.53  38(56) 11(16) 11(16)  5( 7)  2( 2)    0       67
 39 11/22-->11/28    1.13   0.27  35(63) 12(21)  5( 9)  3( 5)  0( 0)    0       55
 40 11/29-->12/5     1.78   0.29  50(75)  7(10)  6( 9)  3( 4)  0( 0)    5       66
 41 12/6-->12/12     1.00   0.29  50(73) 10(14)  7(10)  1( 1)  0( 0)    7       68
 42 12/13-->12/19    1.28   0.24  45(71) 12(19)  5( 7)  1( 1)  0( 0)    7       63
 43 12/20-->12/26    0.90   0.20  51(79)  9(14)  4( 6)  0( 0)  0( 0)    7       64
 44 12/27-->1/2      1.26   0.28  49(70) 14(20)  5( 7)  2( 2)  0( 0)    9       70
 45 1/3-->1/9        0.92   0.19  45(81)  5( 9)  5( 9)  0( 0)  0( 0)    7       55
 46 1/10-->1/16      0.97   0.17  41(85)  1( 2)  6(12)  0( 0)  0( 0)    7       48
 47 1/17-->1/23      0.84   0.23  52(76) 11(16)  5( 7)  0( 0)  0( 0)    7       68
 48 1/24-->1/30      0.85   0.17  40(76)  8(15)  4( 7)  0( 0)  0( 0)    8       52
 49 1/31-->2/6       1.35   0.27  47(73)  9(14)  7(10)  1( 1)  0( 0)    2       64
 50 2/7-->2/13       0.91   0.17  45(81)  6(10)  4( 7)  0( 0)  0( 0)    0       55
 51 2/14-->2/20      1.41   0.31  57(75) 12(15)  5( 6)  2( 2)  0( 0)    0       76
 52 2/21-->2/27      2.33   0.31  65(81)  8(10)  4( 5)  2( 2)  1( 1)    0       80
 53 2/28-->2/29      0.90   0.04  13(86)  1( 6)  1( 6)  0( 0)  0( 0)    0       15
 ANNUAL TOTALS       7.60   2706(59)757(16)662(14)365( 7) 94( 2)   67     4584
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1999 FOR STATION NUMBER 6940
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.84 1.09 2.23 3.50 4.56 5.16 4.16 4.32 4.02 2.39 1.80 1.08 35.14  <-- PRECIP
  
   21.9 28.2 39.0 52.9 64.3 73.7 78.1 75.7 66.9 54.9 39.4 27.2  56.2  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   8     25  1987     7.60
   8     28  1977     6.90
   5     26  1987     6.50
   6     10  1967     5.95
   9      8  1989     5.45
   7     26  1990     4.75
   8      8  1987     4.30
   9     18  1960     4.03
   5     22  1965     4.01
   5      9  1996     4.07
   6     20  1964     3.92
   6     15  1982     3.92
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  6940
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    101     50     41     34    282    156    132    111
 1952    107     55     46     37    403    260    231    205
 1953    204    102     84     68    316    180    152    127
 1954    133     47     34     23    542    363    324    286
 1955    179     99     83     69    589    403    362    327
 1956    202    110     93     77    398    264    236    210
 1957    161     73     61     51    406    254    225    198
 1958     80     28     19     12    399    241    209    178
 1959    172     87     72     59    384    242    211    185
 1960     36     17     13      9    468    302    266    233
 1961    137     58     42     32    325    190    164    140
 1962    112     56     46     37    420    270    236    205
 1963    245    143    126    112    472    306    268    235
 1964    149     70     56     45    449    279    244    215
 1965     28      7      6      5    422    265    234    205
 1966    276    166    142    121    306    178    152    126
 1967    283    187    166    146    473    299    263    231
 1968    344    221    196    173    467    303    267    232
 1969    103     53     45     38    446    283    250    219
 1970     98     38     29     22    456    305    271    241
 1971    159     92     79     66    490    318    283    251
 1972    243    139    118     98    424    266    234    202
 1973    215     87     67     51    414    266    235    205
 1974    277    162    139    120    512    348    312    278
 1975    117     62     52     42    375    233    201    172
 1976    212    120    103     89    537    360    323    286
 1977    279    167    142    121    555    378    339    304
 1978    139     85     74     63    355    205    174    150
 1979    149     71     57     45    356    219    188    160
 1980    119     56     44     34    413    271    241    215
 1981    252    145    124    104    560    381    343    308
 1982    154     70     58     46    347    230    205    180
 1983    163     89     76     64    252    139    119    102
 1984     63     11      5      3    302    159    134    111
 1985    258    145    121    100    547    365    326    289
 1986    300    189    168    147    486    321    284    250
 1987    267    157    132    112    503    349    317    288
 1988    289    181    158    137    445    299    268    238
 1989    231    146    127    109    520    354    316    280
 1990    240    131    111     92    421    269    235    203
 1991    283    176    153    130    468    290    254    223
 1992    281    150    125    104    395    243    214    190
 1993    133     61     51     42    321    192    165    141
 1994    257    154    135    116    468    315    284    256
 1995    244    142    121    102    333    193    165    140
 1996    148     71     57     45    420    277    246    217
 1997    246    142    118     98    327    197    171    146
 1998    110     57     49     43    340    202    174    147
 1999    178    101     83     65    355    197    169    144
     ****************************  *************************** 
 MEAN  187.0  102.9   87.0   72.9  422.0  269.2  237.3  208.2
 STDV   76.8   53.1   47.5   42.1   80.9   65.4   61.4   57.3
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    730    512    460    410    802    568    511    455
 1952    680    466    419    373   1055    816    758    700
 1953    671    467    421    378   1039    799    740    682
 1954    590    402    361    322   1001    764    705    648
 1955    783    548    495    446    840    604    550    499
 1956    800    574    522    473   1023    790    732    674
 1957    678    457    409    363    905    667    609    552
 1958    766    549    499    450    877    638    583    529
 1959    761    533    479    427    975    735    676    618
 1960    711    500    452    406    888    649    590    532
 1961    625    415    371    327    890    653    599    547
 1962    921    680    621    565    918    678    618    562
 1963    727    500    447    396   1023    783    723    664
 1964    869    630    576    523    933    697    641    587
 1965    845    618    565    512    941    701    641    582
 1966    652    458    418    378    927    690    632    577
 1967    603    405    363    323    913    675    617    561
 1968    604    402    359    321    989    750    691    634
 1969    750    530    481    433    831    606    552    502
 1970    848    623    571    519    952    713    654    596
 1971    626    419    374    331   1052    812    752    692
 1972    723    500    450    403    949    712    655    599
 1973    675    466    418    373    992    752    693    636
 1974    743    521    471    427    881    647    593    541
 1975    778    560    511    465    911    675    620    566
 1976    636    441    398    359    887    656    601    548
 1977    861    625    570    516    893    659    604    549
 1978    627    425    379    333    920    688    634    582
 1979    694    491    445    401    917    682    627    572
 1980    718    508    464    425    954    715    657    602
 1981    640    432    388    346    977    737    677    621
 1982    722    493    442    392    777    554    504    457
 1983    571    368    325    287    925    697    642    587
 1984    634    428    383    339    993    755    696    637
 1985    804    569    514    463    871    634    577    526
 1986    734    510    459    411    998    758    698    639
 1987    827    597    543    491    977    741    683    626
 1988    861    622    569    517   1001    765    707    651
 1989    722    514    465    420    892    655    598    544
 1990    610    398    348    304    995    758    699    640
 1991    861    633    578    523   1016    776    716    656
 1992    730    518    472    427    866    629    572    517
 1993    702    470    421    374    882    647    591    536
 1994    763    544    495    449    984    744    684    625
 1995    578    360    315    273    924    686    628    572
 1996    647    424    374    324    956    720    662    606
 1997    561    366    326    287    923    684    625    568
 1998    791    559    504    451    834    600    545    493
 1999    634    412    364    318    884    646    587    529
     ****************************  *************************** 
 MEAN  716.3  499.1  450.3  403.8  934.0  697.3  640.0  584.3
 STDV   90.8   80.5   76.9   73.1   64.8   62.8   61.3   59.2
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951   1026    778    717    656   1026    778    717    656
 1952   1065    817    755    693    981    733    672    611
 1953   1085    837    775    713   1021    773    711    650
