 
 THIS IS FOR STATION NUMBER 9067 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        2.80   0.44  46(64) 14(19)  8(11)  2( 2)  1( 1)    9       71
  2 3/8-->3/14       1.74   0.46  52(64) 19(23)  6( 7)  4( 4)  0( 0)    9       81
  3 3/15-->3/21      0.87   0.43  35(50) 19(27) 16(22)  0( 0)  0( 0)    7       70
  4 3/22-->3/28      1.14   0.53  41(49) 24(28) 17(20)  1( 1)  0( 0)   11       83
  5 3/29-->4/4       2.05   0.69  54(56) 25(26)  8( 8)  8( 8)  1( 1)    9       96
  6 4/5-->4/11       1.45   0.55  42(53) 16(20) 14(17)  6( 7)  0( 0)    2       78
  7 4/12-->4/18      1.50   0.78  49(46) 26(24) 26(24)  4( 3)  0( 0)    0      105
  8 4/19-->4/25      3.70   1.07  66(54) 22(18) 21(17)  9( 7)  4( 3)    0      122
  9 4/26-->5/2       2.51   0.92  60(54) 25(22) 13(11)  9( 8)  3( 2)    1      110
 10 5/3-->5/9        2.18   0.86  62(57) 15(14) 17(15) 12(11)  1( 0)    1      107
 11 5/10-->5/16      5.38   1.11  51(45) 25(22) 23(20) 10( 9)  2( 1)    0      111
 12 5/17-->5/23      2.90   0.85  50(48) 32(30) 12(11)  9( 8)  1( 0)    0      104
 13 5/24-->5/30      3.10   1.33  48(38) 33(26) 20(16) 20(16)  3( 2)    0      124
 14 5/31-->6/6       1.78   0.72  50(52) 21(22) 15(15)  9( 9)  0( 0)    0       95
 15 6/7-->6/13       2.46   1.23  55(45) 24(19) 24(19) 16(13)  3( 2)    1      122
 16 6/14-->6/20      6.15   1.23  47(45) 20(19) 22(21)  7( 6)  7( 6)    1      103
 17 6/21-->6/27      2.80   1.04  43(43) 21(21) 20(20) 11(11)  4( 4)    0       99
 18 6/28-->7/4       2.47   0.96  31(35) 21(24) 21(24) 12(13)  2( 2)    0       87
 19 7/5-->7/11       2.85   1.17  38(40) 17(18) 19(20) 12(12)  7( 7)    0       93
 20 7/12-->7/18      3.90   1.17  42(43) 19(19) 20(20)  9( 9)  7( 7)    0       97
 21 7/19-->7/25      2.60   0.75  51(52) 23(23) 16(16)  7( 7)  1( 1)    1       98
 22 7/26-->8/1       2.47   0.96  32(39) 16(19) 17(20) 13(15)  4( 4)    1       82
 23 8/2-->8/8        3.05   1.02  38(43) 19(21) 15(17) 11(12)  5( 5)    0       88
 24 8/9-->8/15       4.30   0.97  34(42) 20(25)  8(10) 14(17)  4( 5)    0       80
 25 8/16-->8/22      4.09   0.85  52(55) 13(13) 20(21)  6( 6)  3( 3)    0       94
 26 8/23-->8/29      3.43   1.06  37(43) 17(20) 14(16) 11(12)  6( 7)    0       85
 27 8/30-->9/5       3.12   0.80  38(48) 12(15) 18(23)  8(10)  2( 2)    0       78
 28 9/6-->9/12       3.45   0.74  41(47) 22(25) 14(16)  6( 6)  3( 3)    0       86
 29 9/13-->9/19      4.25   1.22  40(38) 27(26) 18(17) 12(11)  6( 5)    0      103
 30 9/20-->9/26      3.01   0.86  42(44) 26(27) 13(13) 10(10)  3( 3)    0       94
 31 9/27-->10/3      1.60   0.58  37(52) 10(14) 15(21)  8(11)  0( 0)    0       70
 32 10/4-->10/10     2.00   0.66  39(51) 19(25)  5( 6) 12(15)  1( 1)    0       76
 33 10/11-->10/17    1.82   0.58  27(41) 18(27) 12(18)  8(12)  0( 0)    0       65
 34 10/18-->10/24    2.45   0.67  34(43) 22(27) 17(21)  4( 5)  2( 2)    0       79
 35 10/25-->10/31    1.17   0.45  44(55) 23(28) 11(13)  2( 2)  0( 0)    0       80
 36 11/1-->11/7      2.30   0.71  52(60) 11(12) 11(12)  9(10)  3( 3)    0       86
 37 11/8-->11/14     1.85   0.43  36(52) 20(29)  9(13)  3( 4)  0( 0)    0       68
 38 11/15-->11/21    3.00   0.66  33(47) 14(20) 12(17)  7(10)  3( 4)    0       69
 39 11/22-->11/28    1.56   0.44  40(57) 13(18) 14(20)  2( 2)  0( 0)    0       69
 40 11/29-->12/5     1.37   0.32  38(63) 14(23)  5( 8)  3( 5)  0( 0)    2       60
 41 12/6-->12/12     1.25   0.33  42(63) 17(25)  6( 9)  1( 1)  0( 0)    0       66
 42 12/13-->12/19    1.90   0.25  42(70) 12(20)  5( 8)  1( 1)  0( 0)    0       60
 43 12/20-->12/26    1.47   0.31  53(75)  9(12)  5( 7)  3( 4)  0( 0)    1       70
 44 12/27-->1/2      0.97   0.29  40(62) 16(25)  8(12)  0( 0)  0( 0)    3       64
 45 1/3-->1/9        1.27   0.22  33(67) 11(22)  3( 6)  2( 4)  0( 0)    8       49
 46 1/10-->1/16      1.68   0.24  42(76)  8(14)  3( 5)  2( 3)  0( 0)    7       55
 47 1/17-->1/23      1.08   0.28  48(71) 11(16)  7(10)  1( 1)  0( 0)    8       67
 48 1/24-->1/30      1.03   0.20  39(72) 12(22)  2( 3)  1( 1)  0( 0)    7       54
 49 1/31-->2/6       0.64   0.16  36(78)  8(17)  2( 4)  0( 0)  0( 0)   15       46
 50 2/7-->2/13       1.15   0.17  32(72) 10(22)  1( 2)  1( 2)  0( 0)   15       44
 51 2/14-->2/20      0.95   0.24  33(64) 11(21)  7(13)  0( 0)  0( 0)   17       51
 52 2/21-->2/27      1.68   0.34  38(58) 20(30)  5( 7)  2( 3)  0( 0)   15       65
 53 2/28-->2/29      0.35   0.02   6(75)  2(25)  0( 0)  0( 0)  0( 0)    2        8
 ANNUAL TOTALS       6.15   2231(52)944(22)660(15)340( 7) 92( 2)  153     4267
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1999 FOR STATION NUMBER 9067
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   1.04 0.93 2.14 3.52 4.45 4.64 4.35 4.33 3.76 2.54 2.32 1.31 35.33  <-- PRECIP
  
   19.8 25.9 36.9 50.9 62.5 72.0 76.0 73.7 65.3 53.8 38.8 26.0  54.5  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   6     15  1982     6.15
   5     10  1996     5.38
   6     17  1990     5.30
   8     14  1986     4.30
   9     13  1961     4.25
   8     20  1990     4.09
   7     14  1962     3.90
   4     24  1965     3.70
   8     23  1988     3.43
   9      8  1989     3.45
   8     26  1987     3.35
   8     16  1977     3.20
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  9067
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     53     21     17     15    296    171    145    122
 1952     88     44     38     33    413    274    246    219
 1953    160     75     57     42    256    134    109     86
 1954    103     37     27     20    469    294    258    225
 1955    162     92     77     62    505    333    295    259
 1956    116     55     44     34    350    226    199    174
 1957    142     61     46     35    405    252    219    190
 1958     88     34     23     14    378    232    200    169
 1959    111     53     44     36    372    223    193    167
 1960     27      7      3      1    419    271    238    209
 1961    122     53     43     34    251    134    112     92
 1962     86     43     37     32    352    215    188    165
 1963    214    130    117    104    454    299    262    226
 1964    125     65     52     40    396    246    216    189
 1965     15      4      2      1    324    190    162    136
 1966    234    129    107     87    304    175    147    124
 1967    217    137    119    103    402    241    206    175
 1968    297    183    161    140    427    272    240    209
 1969     82     41     34     27    417    257    220    187
 1970     69     18     11      7    418    272    240    208
 1971     99     51     45     39    432    288    256    226
 1972    137     68     56     46    338    194    165    139
 1973    234    104     80     60    328    187    161    135
 1974    169     84     71     61    450    284    246    212
 1975     65     27     20     13    289    164    141    121
 1976    197    102     85     72    468    307    271    236
 1977    253    135    115     98    557    379    338    299
 1978     99     50     41     33    366    221    191    163
 1979     97     47     38     30    271    148    125    104
 1980    110     46     34     26    379    239    211    185
 1981    227    118     98     82    515    340    304    269
 1982     97     32     23     16    305    184    158    134
 1983    158     81     66     52    237    122    104     89
 1984     41      6      2      0    314    171    143    118
 1985    212    105     86     68    524    361    327    294
 1986    240    144    127    111    504    336    299    264
 1987    224    119    100     86    503    341    308    276
 1988    206    108     87     70    388    250    222    195
 1989    135     78     67     57    343    201    171    145
 1990    202    107     87     69    340    205    178    154
 1991    183    101     86     72    367    221    194    169
 1992    188     95     78     64    279    158    134    113
 1993     64     24     17     11    264    139    116     96
 1994    168     82     67     53    367    241    212    185
 1995    206    125    108     93    251    149    125    102
 1996    109     47     35     26    302    180    156    135
 1997    186     94     76     63    277    170    147    125
 1998    147     86     75     66    334    186    157    129
 1999    144     71     56     44    350    195    169    143
     ****************************  *************************** 
 MEAN  145.4   74.1   61.2   50.2  372.7  230.3  200.8  173.5
 STDV   65.6   41.3   36.5   32.0   81.6   65.4   60.9   56.3
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    742    526    475    426    818    583    525    468
 1952    641    423    379    336    991    753    694    637
 1953    633    421    375    334    966    726    667    610
 1954    526    350    312    275    959    724    666    611
 1955    706    484    437    394    792    558    504    454
 1956    715    507    461    417    968    734    678    623
 1957    646    427    380    338    898    661    604    548
 1958    701    499    453    411    809    569    510    457
 1959    753    529    478    427    937    697    638    580
 1960    636    424    374    327    835    597    539    484
 1961    576    382    341    304    878    646    594    545
 1962    842    607    552    498    886    647    590    536
 1963    652    437    389    346    958    721    665    611
 1964    821    586    531    480    899    665    608    552
 1965    774    557    504    454    846    607    550    499
 1966    549    365    330    297    864    632    575    521
 1967    562    377    337    301    902    666    609    554
 1968    577    384    343    304    931    692    633    576
 1969    696    480    431    385    790    560    507    455
 1970    780    556    504    456    901    663    605    549
 1971    579    384    345    308   1048    808    748    688
 1972    696    478    428    381    851    617    563    511
 1973    585    374    326    284    961    721    661    601
 1974    619    408    360    315    826    590    533    479
 1975    755    533    485    438    932    693    635    578
 1976    618    412    366    323    913    673    615    559
 1977    883    646    590    534    944    707    648    591
 1978    659    442    393    350    929    690    633    579
 1979    671    465    418    373    940    701    642    585
 1980    720    499    451    407    890    652    594    537
 1981    615    411    367    325    933    693    633    573
 1982    771    536    480    425    787    550    494    443
 1983    562    353    311    271    956    719    662    605
 1984    578    383    340    299    957    717    658    599
 1985    760    524    473    423    836    598    542    489
 1986    696    467    414    364    970    730    671    613
 1987    823    591    541    492    975    736    677    620
 1988    816    584    535    490    984    747    689    632
 1989    584    391    348    308    825    588    533    479
 1990    503    306    264    228    887    650    592    536
 1991    768    542    490    440    979    739    679    619
 1992    634    437    394    355    833    597    541    488
 1993    655    434    385    338    825    595    538    483
 1994    609    417    377    339    919    679    621    565
 1995    530    322    279    239    914    674    614    555
 1996    527    314    270    230    876    637    579    521
 1997    461    288    252    219    902    662    603    545
 1998    774    531    474    421    828    593    539    487
 1999    663    434    384    338    895    656    599    542
     ****************************  *************************** 
 MEAN  666.4  453.8  406.9  362.8  901.1  663.8  606.3  550.7
 STDV   98.8   85.4   81.1   76.5   61.9   60.6   59.6   57.7
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951   1000    752    690    630    929    682    622    564
 1952   1044    796    735    675    936    689    631    575
 1953   1028    780    720    660    964    717    660    604
