 
 THIS IS FOR STATION NUMBER  576 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.10   0.46  41(53) 18(23) 15(19)  3( 3)  0( 0)    1       77
  2 3/8-->3/14       1.51   0.49  36(50) 19(26)  9(12)  7( 9)  0( 0)    0       71
  3 3/15-->3/21      1.32   0.48  43(55) 16(20) 16(20)  3( 3)  0( 0)    0       78
  4 3/22-->3/28      1.65   0.55  53(63) 12(14) 11(13)  8( 9)  0( 0)    1       84
  5 3/29-->4/4       1.76   0.65  47(51) 19(20) 20(21)  6( 6)  0( 0)    5       92
  6 4/5-->4/11       1.85   0.50  52(61) 14(16) 16(18)  3( 3)  0( 0)    7       85
  7 4/12-->4/18      2.96   0.93  48(45) 23(21) 23(21)  8( 7)  3( 2)    7      105
  8 4/19-->4/25      1.96   0.77  50(51) 20(20) 19(19)  9( 9)  0( 0)    6       98
  9 4/26-->5/2       3.61   1.00  55(47) 22(18) 28(24)  9( 7)  2( 1)    0      116
 10 5/3-->5/9        3.07   1.09  50(42) 24(20) 28(23) 13(11)  2( 1)    2      117
 11 5/10-->5/16      2.01   0.92  50(48) 21(20) 21(20) 11(10)  1( 0)    0      104
 12 5/17-->5/23      3.00   1.16  35(33) 24(22) 28(26) 14(13)  4( 3)    0      105
 13 5/24-->5/30      2.56   1.12  58(48) 23(19) 22(18) 12(10)  5( 4)    0      120
 14 5/31-->6/6       2.50   0.94  48(49) 21(21)  8( 8) 17(17)  3( 3)    6       97
 15 6/7-->6/13       3.35   1.31  47(42) 21(19) 21(19) 15(13)  6( 5)    7      110
 16 6/14-->6/20      3.02   1.15  39(38) 23(22) 18(17) 18(17)  3( 2)    7      101
 17 6/21-->6/27      3.58   1.22  48(45) 16(15) 22(20) 14(13)  6( 5)    7      106
 18 6/28-->7/4       5.31   1.35  34(36) 19(20) 17(18) 15(16)  8( 8)    7       93
 19 7/5-->7/11       3.52   1.11  44(42) 23(22) 18(17) 16(15)  3( 2)    7      104
 20 7/12-->7/18      3.37   0.99  44(51) 11(12) 10(11) 16(18)  5( 5)    1       86
 21 7/19-->7/25      5.73   1.24  40(42) 16(17) 17(18) 14(14)  7( 7)    1       94
 22 7/26-->8/1       2.49   0.77  36(48) 12(16) 13(17) 12(16)  2( 2)    0       75
 23 8/2-->8/8        3.04   0.83  57(59) 15(15)  9( 9) 12(12)  3( 3)    0       96
 24 8/9-->8/15       5.00   1.03  42(44) 18(18) 21(22) 11(11)  3( 3)    2       95
 25 8/16-->8/22      2.35   1.03  32(36) 17(19) 18(20) 17(19)  3( 3)    5       87
 26 8/23-->8/29      2.52   0.87  35(47) 11(14) 14(18)  9(12)  5( 6)    0       74
 27 8/30-->9/5       4.75   1.09  38(41) 18(19) 16(17) 16(17)  4( 4)    0       92
 28 9/6-->9/12       3.92   0.94  33(43) 11(14) 15(19) 12(15)  5( 6)    0       76
 29 9/13-->9/19      2.70   0.80  43(48) 19(21) 14(15) 10(11)  2( 2)    1       88
 30 9/20-->9/26      2.73   0.93  43(44) 22(22) 18(18) 11(11)  3( 3)    0       97
 31 9/27-->10/3      1.78   0.55  26(44) 13(22) 10(16) 10(16)  0( 0)    0       59
 32 10/4-->10/10     2.85   0.87  33(42) 11(14) 19(24) 14(17)  1( 1)    1       78
 33 10/11-->10/17    5.52   0.66  26(40) 16(24) 16(24)  6( 9)  1( 1)    0       65
 34 10/18-->10/24    2.80   0.58  33(47) 19(27) 12(17)  3( 4)  2( 2)    0       69
 35 10/25-->10/31    3.47   0.58  31(46) 19(28) 10(15)  4( 6)  2( 3)    1       66
 36 11/1-->11/7      2.61   0.62  47(58)  9(11) 16(20)  7( 8)  1( 1)    0       80
 37 11/8-->11/14     2.21   0.42  37(58) 11(17) 12(19)  2( 3)  1( 1)    2       63
 38 11/15-->11/21    5.07   0.62  33(50) 12(18) 12(18)  6( 9)  2( 3)    1       65
 39 11/22-->11/28    1.62   0.22  38(73) 11(21)  2( 3)  1( 1)  0( 0)    5       52
 40 11/29-->12/5     1.75   0.31  31(58) 12(22)  7(13)  3( 5)  0( 0)    4       53
 41 12/6-->12/12     1.35   0.29  39(62) 17(27)  4( 6)  2( 3)  0( 0)    3       62
 42 12/13-->12/19    1.70   0.26  41(73) 10(17)  4( 7)  1( 1)  0( 0)    1       56
 43 12/20-->12/26    1.30   0.20  29(65)  8(18)  6(13)  1( 2)  0( 0)    1       44
 44 12/27-->1/2      1.32   0.26  43(69) 13(20)  5( 8)  1( 1)  0( 0)    5       62
 45 1/3-->1/9        1.60   0.20  34(77)  4( 9)  4( 9)  2( 4)  0( 0)   15       44
 46 1/10-->1/16      2.04   0.21  27(72)  4(10)  4(10)  1( 2)  1( 2)   16       37
 47 1/17-->1/23      1.60   0.24  44(75)  9(15)  4( 6)  1( 1)  0( 0)   15       58
 48 1/24-->1/30      0.83   0.18  39(79)  5(10)  5(10)  0( 0)  0( 0)   17       49
 49 1/31-->2/6       1.78   0.24  35(67) 11(21)  5( 9)  1( 1)  0( 0)   17       52
 50 2/7-->2/13       0.56   0.13  35(83)  6(14)  1( 2)  0( 0)  0( 0)   15       42
 51 2/14-->2/20      1.95   0.36  42(64) 12(18)  9(13)  2( 3)  0( 0)   16       65
 52 2/21-->2/27      1.18   0.32  45(69)  8(12) 10(15)  2( 3)  0( 0)   14       65
 53 2/28-->2/29      0.20   0.02  10(**)  0( 0)  0( 0)  0( 0)  0( 0)    2       10
 ANNUAL TOTALS       5.73   2119(51)788(19)702(17)411( 9) 99( 2)  231     4119
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->2000 FOR STATION NUMBER  576
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.94 1.05 2.25 3.32 4.78 5.03 4.65 4.30 3.76 2.86 2.04 1.09 36.06  <-- PRECIP
  
   23.1 29.2 39.8 53.0 63.8 72.9 77.5 75.4 66.9 55.5 40.4 28.0  56.6  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   7     25  1979     5.73
  10     11  1973     5.52
   6     30  1959     5.31
  11     17  1952     5.07
   8      9  1977     5.00
   8     31  1980     4.75
   9      9  1989     3.92
   6     30  1960     3.65
   6     26  1966     3.58
   4     26  1969     3.61
  10     31  1977     3.47
   7      9  1986     3.52
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER   576
               MARCH                       APRIL  
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    116     59     48     41    297    166    142    119
 1952    121     59     47     36    425    278    248    218
 1953    224    121    100     80    338    199    168    142
 1954    143     61     47     36    553    370    329    291
 1955    207    123    105     88    598    406    370    334
 1956    231    133    113     94    424    287    258    231
 1957    181     86     72     60    399    243    211    184
 1958     89     31     21     13    410    252    219    188
 1959    190     96     78     64    380    227    198    175
 1960     42     22     18     14    448    282    246    214
 1961    144     63     47     37    312    177    153    132
 1962    126     64     53     43    416    265    233    203
 1963    272    147    128    111    478    312    274    239
 1964    184     98     80     66    510    340    307    275
 1965     45     12      8      6    441    284    253    223
 1966    297    184    159    134    350    220    192    166
 1967    311    202    179    157    489    308    269    233
 1968    361    236    210    185    481    318    283    248
 1969    129     66     58     50    434    277    244    213
 1970    138     71     59     48    469    312    277    246
 1971    175     95     81     69    480    322    288    256
 1972    241    140    119    100    403    252    220    192
 1973    203     78     57     40    364    220    189    161
 1974    266    154    132    112    467    306    272    239
 1975    118     64     53     44    377    229    196    167
 1976    204    108     90     72    507    335    296    262
 1977    275    152    126    103    553    364    323    286
 1978    150     93     80     67    384    238    206    178
 1979    138     65     50     37    325    192    164    138
 1980    116     58     47     36    409    262    229    201
 1981    263    145    121    100    605    411    368    328
 1982    161     71     54     42    372    233    205    178
 1983    170     94     80     68    239    132    113     98
 1984     59     12      9      6    312    157    132    109
 1985    263    150    125    102    553    368    327    290
 1986    318    197    172    149    505    337    299    264
 1987    267    157    134    112    561    381    344    309
 1988    254    160    138    117    404    270    239    209
 1989    227    139    121    104    498    334    298    263
 1990    225    116     95     76    386    235    202    172
 1991    285    170    147    125    447    272    234    203
 1992    292    158    131    107    376    230    201    177
 1993    123     56     44     35    316    185    158    134
 1994    257    152    131    111    458    312    281    251
 1995    263    157    137    117    340    204    175    148
 1996    148     68     55     43    397    255    224    197
 1997    253    140    117     96    307    177    151    128
 1998    118     66     57     49    329    184    157    131
 1999    156     81     64     50    339    189    161    134
 2000    253    140    118     96    367    225    196    171
     ****************************  ******************* ******** 
 MEAN  196.1  107.6   90.5   75.2  420.9  266.9  234.7  205.2
 STDV   75.7   51.7   46.3   40.8   84.1   67.7   63.3   58.8
 
               MAY                         JUNE   
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    690    473    424    378    765    532    475    420
 1952    694    472    423    375   1060    820    761    702
 1953    664    457    410    368   1024    784    724    665
 1954    591    399    359    320   1005    766    707    650
 1955    771    533    479    430    838    601    546    494
 1956    814    588    537    489   1004    766    709    652
 1957    676    453    404    360    915    676    618    562
 1958    757    528    478    430    863    623    567    515
 1959    752    522    468    417    946    706    647    589
 1960    683    471    425    379    853    613    554    497
 1961    604    396    351    308    876    640    583    531
 1962    915    673    615    558    903    663    603    547
 1963    692    467    413    363    999    759    700    642
 1964    860    621    566    514    910    676    620    565
 1965    862    637    585    533    935    695    635    579
 1966    623    432    390    350    875    642    586    530
 1967    602    406    363    322    884    647    590    534
 1968    612    410    367    327    979    739    680    623
 1969    738    511    460    412    832    605    552    501
 1970    812    584    531    479    945    705    645    585
 1971    616    421    377    333   1027    787    727    668
 1972    660    440    391    348    892    661    607    554
 1973    614    407    359    317    935    695    637    580
 1974    701    488    441    396    823    593    541    490
 1975    756    537    488    440    909    673    616    560
 1976    620    421    377    334    882    651    597    543
 1977    853    617    559    504    965    726    669    612
 1978    653    448    403    360    919    683    625    571
 1979    680    469    422    377    908    670    612    556
 1980    705    491    442    400    929    691    633    577
 1981    604    396    352    310    955    715    655    597
 1982    736    498    441    388    809    574    517    463
 1983    591    379    334    293    918    680    623    568
 1984    598    386    340    297    969    729    669    611
 1985    753    510    456    402    850    612    555    499
 1986    751    512    458    406   1022    782    722    662
 1987    863    621    564    508   1013    773    715    657
 1988    869    627    570    515   1085    845    785    725
 1989    676    468    421    375    865    630    574    520
 1990    575    359    312    267    953    717    658    599
 1991    836    604    548    493   1006    766    706    646
 1992    695    478    430    384    873    635    577    519
 1993    692    458    408    360    888    652    595    538
 1994    726    507    458    414    960    720    660    601
 1995    564    343    299    258    893    653    594    536
 1996    648    422    370    321    934    697    639    582
 1997    557    357    315    278    969    729    670    611
 1998    782    543    488    433    829    592    536    483
 1999    598    372    325    281    873    634    576    519
 2000    732    506    453    405    859    620    562    505
     ****************************  ******************* ******** 
 MEAN  702.5  482.6  433.2  386.5  922.7  685.2  627.4  570.9
 STDV   92.9   82.2   78.5   74.3   69.2   67.4   66.2   64.5
 
               JULY                        AUGUST 
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
