 
 THIS IS FOR STATION NUMBER 4389 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.50   0.59  55(57) 16(16) 18(18)  6( 6)  0( 0)    0       95
  2 3/8-->3/14       1.69   0.54  51(57) 21(23) 14(15)  3( 3)  0( 0)    0       89
  3 3/15-->3/21      1.21   0.43  44(57) 17(22) 12(15)  3( 3)  0( 0)    0       76
  4 3/22-->3/28      1.32   0.58  57(60) 15(15) 19(20)  4( 4)  0( 0)    0       95
  5 3/29-->4/4       2.52   0.85  70(57) 23(19) 18(14)  9( 7)  1( 0)    4      121
  6 4/5-->4/11       1.94   0.73  57(53) 21(19) 21(19)  7( 6)  0( 0)    8      106
  7 4/12-->4/18      1.83   0.87  48(43) 28(25) 26(23)  8( 7)  0( 0)    7      110
  8 4/19-->4/25      4.20   1.03  61(51) 24(20) 18(15) 11( 9)  4( 3)    7      118
  9 4/26-->5/2       2.35   0.76  60(51) 33(28) 19(16)  2( 1)  2( 1)    7      116
 10 5/3-->5/9        2.35   0.94  66(54) 22(18) 23(18)  9( 7)  2( 1)    7      122
 11 5/10-->5/16      3.78   0.98  62(55) 19(16) 18(16) 10( 8)  3( 2)    7      112
 12 5/17-->5/23      2.47   0.83  69(56) 26(21) 20(16)  6( 4)  1( 0)    7      122
 13 5/24-->5/30      2.77   1.24  62(45) 28(20) 29(21) 13( 9)  4( 2)    7      136
 14 5/31-->6/6       4.16   0.88  59(55) 22(20) 14(13)  9( 8)  3( 2)    7      107
 15 6/7-->6/13       2.13   1.20  62(50) 13(10) 28(22) 18(14)  1( 0)    7      122
 16 6/14-->6/20      2.33   0.92  56(56) 14(14) 12(12) 14(14)  4( 4)    7      100
 17 6/21-->6/27      2.84   1.01  49(46) 20(18) 23(21) 11(10)  3( 2)    7      106
 18 6/28-->7/4       3.13   1.13  45(42) 21(20) 19(18) 17(16)  3( 2)    3      105
 19 7/5-->7/11       2.63   0.92  39(43) 16(17) 19(21) 13(14)  2( 2)    0       89
 20 7/12-->7/18      2.32   0.85  52(54) 16(16) 11(11) 15(15)  2( 2)    0       96
 21 7/19-->7/25      5.86   1.27  47(46) 15(14) 16(15) 18(17)  6( 5)    0      102
 22 7/26-->8/1       3.65   0.96  53(53) 17(17) 17(17)  8( 8)  4( 4)    0       99
 23 8/2-->8/8        3.43   1.01  57(52) 17(15) 20(18) 10( 9)  4( 3)    0      108
 24 8/9-->8/15       2.88   0.95  39(43) 14(15) 21(23) 13(14)  3( 3)    0       90
 25 8/16-->8/22      2.22   0.75  55(56) 18(18) 12(12) 12(12)  1( 1)    1       98
 26 8/23-->8/29      3.00   0.80  51(56) 13(14) 13(14) 11(12)  3( 3)    0       91
 27 8/30-->9/5       2.88   0.84  38(44) 17(20) 17(20) 11(12)  2( 2)    0       85
 28 9/6-->9/12       2.53   0.64  47(58) 14(17) 11(13)  8( 9)  1( 1)    0       81
 29 9/13-->9/19      7.15   1.20  52(46) 21(18) 24(21)  9( 8)  5( 4)    0      111
 30 9/20-->9/26      5.09   1.20  53(48) 19(17) 21(19)  9( 8)  7( 6)    1      109
 31 9/27-->10/3      3.05   0.68  37(47) 16(20) 15(19)  8(10)  2( 2)    0       78
 32 10/4-->10/10     3.49   0.95  41(47) 19(22) 10(11) 10(11)  6( 6)    0       86
 33 10/11-->10/17    2.10   0.55  49(62) 11(13) 11(13)  7( 8)  1( 1)    0       79
 34 10/18-->10/24    2.45   0.76  44(49) 18(20) 18(20)  6( 6)  3( 3)    0       89
 35 10/25-->10/31    1.75   0.53  46(53) 22(25) 13(15)  5( 5)  0( 0)    0       86
 36 11/1-->11/7      2.76   0.65  48(55) 14(16) 18(20)  6( 6)  1( 1)    0       87
 37 11/8-->11/14     1.95   0.47  38(52) 16(21) 16(21)  3( 4)  0( 0)    0       73
 38 11/15-->11/21    1.95   0.61  45(57) 15(19)  8(10) 10(12)  0( 0)    0       78
 39 11/22-->11/28    1.34   0.50  59(64) 16(17) 13(14)  3( 3)  0( 0)    0       91
 40 11/29-->12/5     1.50   0.43  52(66) 13(16)  8(10)  5( 6)  0( 0)    0       78
 41 12/6-->12/12     2.10   0.49  55(63) 19(21)  8( 9)  4( 4)  1( 1)    0       87
 42 12/13-->12/19    2.76   0.35  43(67) 14(21)  5( 7)  1( 1)  1( 1)    0       64
 43 12/20-->12/26    2.03   0.35  59(71) 15(18)  5( 6)  2( 2)  1( 1)    0       82
 44 12/27-->1/2      1.53   0.46  47(57) 18(21) 15(18)  2( 2)  0( 0)    0       82
 45 1/3-->1/9        1.86   0.32  41(67) 12(19)  4( 6)  4( 6)  0( 0)    1       61
 46 1/10-->1/16      1.08   0.24  50(78)  9(14)  3( 4)  2( 3)  0( 0)    2       64
 47 1/17-->1/23      1.14   0.37  57(67) 16(18) 11(12)  1( 1)  0( 0)    0       85
 48 1/24-->1/30      1.32   0.30  67(79) 10(11)  6( 7)  1( 1)  0( 0)    0       84
 49 1/31-->2/6       0.96   0.28  51(72) 13(18)  6( 8)  0( 0)  0( 0)    2       70
 50 2/7-->2/13       0.88   0.25  45(71) 13(20)  5( 7)  0( 0)  0( 0)    0       63
 51 2/14-->2/20      1.25   0.36  52(69) 11(14) 11(14)  1( 1)  0( 0)    1       75
 52 2/21-->2/27      2.00   0.43  57(65) 18(20) 11(12)  0( 0)  1( 1)    2       87
 53 2/28-->2/29      0.65   0.03   8(88)  0( 0)  1(11)  0( 0)  0( 0)    0        9
 ANNUAL TOTALS       7.15   2707(55)908(18)774(15)378( 7) 88( 1)  102     4855
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->2000 FOR STATION NUMBER 4389
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   1.40 1.32 2.58 3.60 4.28 4.27 4.71 3.87 4.06 3.01 2.36 1.79 37.25  <-- PRECIP
  
   23.9 30.0 40.5 53.9 64.3 73.4 77.9 75.9 67.6 56.3 41.8 29.1  57.4  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   9     13  1961     7.15
   7     21  1967     5.86
   9     23  1959     5.09
   4     21  1973     4.20
   6      3  1980     4.16
   5      9  1996     3.78
   7     31  1985     3.65
  10      5  1954     3.49
   9     18  1978     3.50
   5     12  1985     3.48
   8      6  1959     3.43
   8      5  1970     3.21
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  4389
               MARCH                       APRIL  
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    101     48     39     30    332    195    169    144
 1952    130     66     54     44    431    283    255    227
 1953    199    102     81     63    317    178    150    124
 1954    144     60     43     30    535    354    313    272
 1955    200    115     98     81    594    406    364    324
 1956    213    118    102     86    406    273    244    217
 1957    165     71     53     40    439    273    237    205
 1958    108     37     25     17    425    262    225    191
 1959    170     85     71     60    417    254    220    189
 1960     54     29     24     19    485    317    280    244
 1961    176     84     69     56    300    164    140    118
 1962    123     67     54     45    406    259    227    198
 1963    267    153    132    116    511    340    302    264
 1964    149     79     66     54    459    288    253    220
 1965     32      7      5      3    420    250    217    184
 1966    301    182    156    132    355    208    177    150
 1967    267    168    147    128    481    305    266    229
 1968    323    195    168    143    460    289    254    222
 1969    116     65     56     48    486    311    272    235
 1970    112     43     30     22    469    314    280    246
 1971    144     66     53     44    489    332    298    265
 1972    184    100     86     75    404    244    211    182
 1973    265    126     99     76    364    211    182    154
 1974    236    134    116    101    498    329    291    257
 1975    121     71     60     50    364    219    187    160
 1976    241    123    101     84    497    329    290    254
 1977    292    163    138    118    627    434    391    349
 1978    126     66     54     43    415    256    225    197
 1979    176     94     82     70    314    182    154    131
 1980    135     57     44     34    403    257    225    198
 1981    260    142    119    100    592    404    362    321
 1982    177     89     71     53    366    235    208    183
 1983    204    115     97     82    268    144    124    107
 1984     69     19     12      7    331    194    166    139
 1985    256    142    119     97    558    390    353    316
 1986    311    183    162    144    528    358    322    288
 1987    267    157    136    116    500    344    312    282
 1988    264    159    135    112    459    308    276    246
 1989    256    162    141    123    490    323    288    253
 1990    302    178    150    126    455    294    259    224
 1991    324    196    168    142    510    331    294    258
 1992    272    148    126    104    417    257    223    196
 1993    129     63     52     43    378    222    191    164
 1994    243    137    118    100    487    331    298    266
 1995    263    171    152    133    392    241    209    180
 1996    143     68     55     43    431    279    246    216
 1997    253    136    113     92    349    219    192    165
 1998    194    119    104     93    413    244    210    178
 1999    205    112     91     73    488    313    277    244
 2000    327    200    175    150    471    308    275    244
     ****************************  ******************* ******** 
 MEAN  200.0  109.7   92.3   77.1  440.0  281.4  248.0  216.7
 STDV   76.1   50.9   45.5   40.2   78.5   64.8   60.7   56.3
 
               MAY                         JUNE   
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    761    541    489    438    847    610    552    494
 1952    686    466    419    373   1040    800    741    682
 1953    678    465    417    373   1029    789    729    670
 1954    584    398    355    313    999    760    702    644
 1955    757    525    477    432    850    611    553    498
 1956    812    593    543    496    996    763    705    648
 1957    693    468    418    372    921    683    625    568
 1958    725    507    461    418    849    609    550    492
 1959    804    573    517    464    976    737    678    620
 1960    670    457    406    357    883    644    586    530
 1961    606    406    362    322    909    673    619    566
 1962    934    693    635    577    934    694    635    579
 1963    697    471    419    372   1009    769    709    652
 1964    880    636    580    526    944    707    649    591
 1965    876    640    587    535    933    693    634    576
 1966    613    411    366    327    904    670    612    554
 1967    578    383    339    301    951    713    655    599
 1968    611    407    363    323    991    751    691    633
 1969    719    498    447    398    840    610    557    505
 1970    823    592    539    488    931    691    631    572
 1971    624    427    382    340   1057    817    757    697
 1972    718    492    440    394    891    658    604    551
 1973    611    396    348    305    965    725    665    605
 1974    672    461    412    367    812    576    523    472
 1975    748    524    475    427    942    704    646    589
 1976    622    427    384    341    901    665    608    552
 1977    876    643    585    528    932    696    638    580
 1978    681    465    419    374    928    690    634    579
 1979    714    512    466    421    925    687    630    574
 1980    737    528    481    438    894    659    605    553
 1981    598    407    363    321    943    703    643    586
 1982    810    571    518    465    790    562    510    462
 1983    604    403    361    322    920    689    634    581
 1984    581    404    365    328    988    752    694    636
 1985    740    517    470    429    803    574    523    478
 1986    726    498    446    395   1000    761    703    645
 1987    828    618    570    522    931    697    641    586
 1988    827    600    551    505    987    749    692    637
 1989    684    481    436    394    909    672    615    558
 1990    631    414    365    323    978    738    679    620
 1991    874    641    585    529   1023    783    723    663
 1992    710    505    461    419    892    656    598    543
 1993    742    512    458    408    923    689    632    575
 1994    706    496    451    408    994    754    695    637
 1995    615    396    348    303    948    708    649    591
 1996    663    444    393    347    936    696    637    579
 1997    583    383    342    302    943    704    646    588
 1998    855    614    555    497    915    678    621    567
 1999    767    533    479    427    955    715    657    600
 2000    846    616    562    510    926    688    630    575
     ****************************  ******************* ******** 
 MEAN  718.3  501.4  452.4  406.1  934.0  696.7  639.1  582.9
 STDV   95.7   83.4   79.8   75.6   59.8   58.0   56.5   54.5
 
               JULY                        AUGUST 
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
