 
 THIS IS FOR STATION NUMBER 5837 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        3.32   0.60  61(62) 18(18) 15(15)  3( 3)  1( 1)    0       98
  2 3/8-->3/14       1.94   0.59  54(56) 26(27) 12(12)  4( 4)  0( 0)    0       96
  3 3/15-->3/21      2.51   0.49  57(62) 19(20) 12(13)  2( 2)  1( 1)    0       91
  4 3/22-->3/28      1.39   0.58  71(63) 22(19) 13(11)  5( 4)  0( 0)    0      111
  5 3/29-->4/4       2.55   0.74  75(60) 23(18) 18(14)  7( 5)  1( 0)    1      124
  6 4/5-->4/11       1.77   0.66  61(57) 26(24) 13(12)  6( 5)  0( 0)    0      106
  7 4/12-->4/18      1.89   0.86  64(52) 27(22) 22(18)  9( 7)  0( 0)    0      122
  8 4/19-->4/25      4.63   1.12  69(53) 25(19) 23(17) 10( 7)  3( 2)    0      130
  9 4/26-->5/2       1.79   0.75  68(56) 25(20) 21(17)  6( 5)  0( 0)    0      120
 10 5/3-->5/9        2.34   0.88  74(56) 22(16) 26(20)  6( 4)  2( 1)    0      130
 11 5/10-->5/16      3.45   0.98  66(54) 21(17) 21(17) 11( 9)  3( 2)    0      122
 12 5/17-->5/23      2.16   0.83  77(63) 20(16) 10( 8) 13(10)  1( 0)    0      121
 13 5/24-->5/30      2.97   1.04  75(55) 25(18) 21(15) 12( 8)  1( 0)    0      134
 14 5/31-->6/6       1.90   0.79  53(51) 26(25) 13(12) 11(10)  0( 0)    0      103
 15 6/7-->6/13       9.51   1.36  63(50) 16(12) 23(18) 21(16)  2( 1)    0      125
 16 6/14-->6/20      4.12   1.02  53(50) 20(19) 11(10) 18(17)  2( 1)    0      104
 17 6/21-->6/27      3.61   0.88  60(57) 14(13) 18(17)  9( 8)  3( 2)    0      104
 18 6/28-->7/4       3.70   1.11  41(40) 26(25) 18(17) 14(13)  3( 2)    0      102
 19 7/5-->7/11       5.75   1.16  40(37) 33(30) 18(16) 13(12)  3( 2)    1      107
 20 7/12-->7/18      4.43   0.99  51(49) 21(20) 22(21)  6( 5)  4( 3)    1      104
 21 7/19-->7/25      2.29   0.86  56(53) 24(22) 15(14)  6( 5)  4( 3)    0      105
 22 7/26-->8/1       2.30   0.91  50(51) 17(17) 14(14) 15(15)  2( 2)    0       98
 23 8/2-->8/8        3.15   0.97  58(52) 24(21) 18(16)  6( 5)  5( 4)    0      111
 24 8/9-->8/15       2.50   0.87  46(46) 21(21) 21(21)  5( 5)  5( 5)    0       98
 25 8/16-->8/22      3.35   0.75  46(52) 17(19) 16(18)  5( 5)  4( 4)    0       88
 26 8/23-->8/29      3.46   0.90  42(48) 15(17) 19(21)  6( 6)  5( 5)    0       87
 27 8/30-->9/5       2.06   0.66  33(43) 19(25) 16(21)  6( 7)  2( 2)    0       76
 28 9/6-->9/12       2.91   0.63  40(48) 24(28) 13(15)  4( 4)  2( 2)    0       83
 29 9/13-->9/19      5.36   0.96  50(48) 22(21) 15(14) 13(12)  3( 2)    0      103
 30 9/20-->9/26      3.70   1.08  53(46) 30(26) 15(13) 14(12)  2( 1)    0      114
 31 9/27-->10/3      2.87   0.58  43(53) 21(26) 12(15)  2( 2)  2( 2)    0       80
 32 10/4-->10/10     5.05   0.76  52(59) 17(19)  8( 9)  8( 9)  3( 3)    0       88
 33 10/11-->10/17    2.03   0.54  53(64) 10(12) 11(13)  7( 8)  1( 1)    0       82
 34 10/18-->10/24    3.13   0.73  53(56) 17(18) 16(17)  5( 5)  3( 3)    0       94
 35 10/25-->10/31    2.82   0.57  56(62) 14(15) 16(17)  3( 3)  1( 1)    0       90
 36 11/1-->11/7      1.80   0.57  62(62) 15(15) 18(18)  5( 5)  0( 0)    0      100
 37 11/8-->11/14     2.36   0.53  48(57) 19(22) 13(15)  3( 3)  1( 1)    0       84
 38 11/15-->11/21    1.86   0.59  51(57) 16(17) 15(16)  7( 7)  0( 0)    0       89
 39 11/22-->11/28    1.80   0.45  59(66) 15(16) 13(14)  2( 2)  0( 0)    0       89
 40 11/29-->12/5     1.73   0.48  61(67) 15(16)  9(10)  5( 5)  0( 0)    1       90
 41 12/6-->12/12     1.18   0.44  53(63) 17(20) 11(13)  3( 3)  0( 0)    0       84
 42 12/13-->12/19    2.47   0.35  48(70) 11(16)  5( 7)  3( 4)  1( 1)    0       68
 43 12/20-->12/26    1.52   0.39  66(74) 12(13)  7( 7)  4( 4)  0( 0)    0       89
 44 12/27-->1/2      1.23   0.41  55(66) 12(14) 15(18)  1( 1)  0( 0)    2       83
 45 1/3-->1/9        1.44   0.28  47(70) 12(17)  6( 8)  2( 2)  0( 0)    7       67
 46 1/10-->1/16      2.36   0.29  55(77) 11(15)  2( 2)  2( 2)  1( 1)    7       71
 47 1/17-->1/23      1.07   0.39  64(69) 20(21)  7( 7)  1( 1)  0( 0)    7       92
 48 1/24-->1/30      0.96   0.26  71(80) 11(12)  6( 6)  0( 0)  0( 0)    8       88
 49 1/31-->2/6       0.86   0.21  60(81) 12(16)  2( 2)  0( 0)  0( 0)    1       74
 50 2/7-->2/13       1.13   0.23  48(71) 15(22)  3( 4)  1( 1)  0( 0)    0       67
 51 2/14-->2/20      1.64   0.37  54(67) 14(17) 10(12)  2( 2)  0( 0)    0       80
 52 2/21-->2/27      1.79   0.46  57(62) 19(20) 14(15)  1( 1)  0( 0)    0       91
 53 2/28-->2/29      0.26   0.01   6(85)  1(14)  0( 0)  0( 0)  0( 0)    0        7
 ANNUAL TOTALS       9.51   2929(57)994(19)731(14)333( 6) 77( 1)   36     5064
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->2000 FOR STATION NUMBER 5837
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   1.33 1.28 2.62 3.54 4.09 4.53 4.26 3.90 3.46 2.77 2.28 1.84 35.90  <-- PRECIP
  
   22.1 28.1 38.8 52.6 63.9 73.3 77.3 75.2 67.1 55.7 40.7 27.7  56.5  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   6      7  1967     9.51
   7     10  1971     5.75
   9     13  1961     5.36
  10     10  1954     5.05
   4     24  1965     4.63
   7     18  1982     4.43
   6     17  1990     4.12
   6     30  1961     3.70
   9     21  1970     3.70
   6     25  2000     3.61
   6     30  1977     3.58
   8     26  1987     3.46
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  5837
               MARCH                       APRIL  
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951     69     24     16     12    315    181    155    130
 1952     99     45     36     28    432    280    249    221
 1953    170     80     62     47    292    159    132    105
 1954    114     41     29     20    494    314    275    239
 1955    162     86     72     58    563    368    328    289
 1956    139     61     48     38    360    228    201    176
 1957    143     55     42     30    431    267    231    200
 1958    103     39     28     18    395    237    203    171
 1959    126     59     49     40    372    218    187    159
 1960     33     15     11      9    447    284    247    214
 1961    136     53     43     33    246    123     99     80
 1962     88     39     31     25    382    233    202    174
 1963    217    120    104     89    457    292    255    220
 1964    107     48     37     27    404    236    202    172
 1965     23      3      2      1    338    187    158    131
 1966    218    106     84     65    318    176    147    121
 1967    197    117     99     81    404    234    199    167
 1968    277    155    134    117    429    267    234    202
 1969    112     51     42     34    428    259    221    185
 1970     82     23     14      8    415    264    230    201
 1971    119     57     49     42    442    287    254    222
 1972    127     59     49     40    324    178    151    126
 1973    246    113     88     65    355    203    175    148
 1974    173     82     70     58    474    302    264    227
 1975     78     35     27     19    288    161    137    116
 1976    199     97     80     66    464    295    259    224
 1977    244    125    106     89    566    386    344    304
 1978    102     52     41     33    384    226    195    166
 1979    124     65     54     44    288    155    130    107
 1980    109     43     33     23    388    244    213    185
 1981    224    114     95     79    503    323    285    248
 1982    114     40     30     23    319    194    168    143
 1983    169     87     72     58    265    136    117    102
 1984     50     12      6      1    313    181    153    125
 1985    207    102     80     61    502    339    305    274
 1986    256    156    137    119    501    332    297    263
 1987    239    129    108     91    504    338    305    274
 1988    205    101     82     66    425    276    244    214
 1989    185    104     89     76    399    254    223    192
 1990    255    136    114     93    416    264    231    202
 1991    239    132    112     95    487    310    274    238
 1992    222    113     93     75    375    223    192    166
 1993     95     44     36     29    341    190    161    136
 1994    200    104     86     71    451    300    266    233
 1995    232    138    120    102    332    190    161    133
 1996    120     49     36     26    384    236    206    180
 1997    208    106     87     71    326    197    170    144
 1998    192    117    103     92    396    225    192    162
 1999    160     76     62     51    437    256    220    186
 2000    296    173    149    126    433    266    235    206
     ****************************  ******************* ******** 
 MEAN  160.4   79.8   65.7   53.5  400.3  245.7  213.9  184.3
 STDV   66.7   41.9   36.9   32.3   75.0   60.6   56.5   52.3
 
               MAY                         JUNE   
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    773    548    496    445    846    609    551    493
 1952    670    449    402    358   1033    793    733    674
 1953    674    451    403    357   1022    782    722    662
 1954    575    384    342    302   1006    767    709    652
 1955    762    529    479    432    858    619    562    506
 1956    759    538    488    441   1009    772    714    658
 1957    676    451    401    354    937    698    641    584
 1958    731    515    469    428    824    584    524    467
 1959    794    566    512    460    975    735    675    616
 1960    632    418    369    323    854    614    556    499
 1961    595    391    347    306    926    687    629    574
 1962    865    622    565    509    919    680    622    566
 1963    661    439    391    345   1004    764    705    647
 1964    848    605    548    493    952    714    656    599
 1965    813    579    524    470    901    661    602    546
 1966    572    375    333    294    919    681    624    567
 1967    553    361    320    284    946    706    647    589
 1968    585    373    328    289    964    724    664    606
 1969    700    482    434    387    793    562    507    453
 1970    799    565    512    461    909    670    611    554
 1971    611    406    362    320   1050    810    750    690
 1972    735    511    458    409    866    632    577    522
 1973    591    373    326    281    962    722    662    602
 1974    627    409    362    317    821    582    524    471
 1975    770    535    482    433    951    711    651    592
 1976    615    407    362    320    925    685    625    567
 1977    902    663    605    549    941    703    644    587
 1978    651    435    389    345    951    711    652    593
 1979    700    488    441    396    930    691    633    575
 1980    738    514    460    410    886    650    595    542
 1981    603    400    355    312    956    716    656    597
 1982    806    566    508    453    808    570    513    464
 1983    587    381    340    301    955    718    662    607
 1984    604    411    370    330    976    737    678    619
 1985    745    513    462    413    833    600    545    491
 1986    716    492    439    389   1005    765    705    645
 1987    853    625    575    527   1042    802    742    684
 1988    838    605    553    504    980    746    690    636
 1989    666    462    416    373    909    670    612    554
 1990    610    388    337    294    961    721    661    602
 1991    867    634    578    525   1044    804    744    684
 1992    718    507    460    414    894    655    596    538
 1993    740    508    455    404    890    658    600    543
 1994    701    483    435    390    969    729    670    612
 1995    619    392    341    293    979    739    679    620
 1996    606    386    336    291    945    705    645    587
 1997    556    351    307    265    952    712    652    593
 1998    864    617    557    500    897    658    602    548
 1999    776    534    480    429    953    713    653    595
 2000    802    569    514    461    895    655    596    537
     ****************************  ******************* ******** 
 MEAN  705.3  484.4  434.8  388.0  934.7  696.1  637.7  580.5
 STDV   97.7   86.2   82.2   77.9   63.4   62.4   61.6   60.2
 
               JULY                        AUGUST 
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
