# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0112] ALBIA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia0112
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  53 -13  65 -19  74 -15  81  19  89  32  88  40 103  49 101  54 101  45  90  27  78  20  66   4
  2  59 -15  64 -27  73   0  85  18  89  31  90  43  98  48 100  53 100  46  96  23  77  11  68   0
  3  57 -14  67 -31  78   2  84  10  89  30  93  43  99  50 102  51  98  38  89  28  78   8  65  -5
  4  57 -16  56 -23  72  -9  81  16  90  30  92  43 100  50 106  49  97  40  91  29  76   2  65  -1
  5  56 -19  56 -15  68 -15  81  23  90  32  96  42  98  45  97  49  96  40  92  29  72  15  71   4
  6  56 -12  56 -21  70  -7  87  14  87  29  96  43 104  52  96  50  96  40  92  23  73  13  67  -4
  7  55 -15  60  -9  73  -5  80  17  90  29  96  47  99  49 100  46  97  40  85  24  79  -4  58 -11
  8  59 -14  60 -14  77  -5  80  18  90  33  96  48  97  55 102  49  97  41  83  25  78  -7  60  -4
  9  68 -16  60 -21  74  -2  84  16  90  34  94  43  97  50  99  49 100  41  83  26  79  13  59 -10
 10  59 -19  60 -16  75   2  82  19  88  32  96  45 100  48  99  53  91  40  88  27  77  14  60  -5
 11  54 -13  66 -16  79   3  84  25  92  33  95  44 103  52  97  50  95  40  86  22  76   2  65  -5
 12  60 -21  71 -18  78  -8  84  20  96  36  97  46 104  52  97  45  95  38  89  27  70  10  61 -15
 13  60 -11  65  -9  74  -5  78  21  92  33  96  44 103  49  96  43  92  38  88  24  72   1  59 -12
 14  65 -18  71  -4  75   4  81  22  90  37  96  48 102  52  97  50  93  38  86  30  78   4  61 -12
 15  59 -19  65  -6  76   9  85  23  89  32  96  47 101  54 103  45  96  39  91  28  73   7  58 -16
 16  61 -19  62 -19  77   0  86  22  88  35  92  44 100  55 103  46  94  34  89  26  74   0  60 -15
 17  60 -14  65 -20  78   8  84  25  88  37  91  44 102  51 105  50  96  39  84  24  76   0  57  -8
 18  60 -18  67  -9  76   7  85  20  91  39 100  48 101  55 104  48  95  37  86  24  75   7  65 -17
 19  60 -20  64  -5  77   6  82  25  90  38 100  49 101  54 102  51  92  31  85  16  75  15  63 -18
 20  52 -21  63   0  75   9  88  25  91  36  98  49 103  52 101  47  90  31  85  19  66  11  59 -14
 21  62 -21  66  -7  73   4  89  27  90  39 100  42 101  52 100  48  89  35  84  27  71   3  59 -20
 22  60 -12  66  -2  83  14  89  26  90  34  97  48 105  51  97  50  88  30  82  21  68   8  60 -22
 23  61 -20  66 -10  80   7  87  24  89  37  94  50 100  55  98  49  86  31  82  21  68   6  60 -26
 24  61 -10  67  -8  81   3  87  25  90  39 100  48  95  57  96  49  88  32  82  25  64   7  58 -20
 25  61  -9  70  -5  79   2  88  32  94  39 101  49  97  56 100  47  90  34  83  22  68   1  58 -16
 26  56  -7  67 -11  85   1  88  33  92  37  96  49 101  50 103  48  93  31  84  23  72   0  53 -10
 27  65 -15  73  -7  80  14  89  31  90  35  97  43 105  54 100  49  92  37  80  16  72   8  57  -9
 28  60 -15  71 -13  80   6  90  32  90  37 100  52 104  53  98  41 101  30  79  17  67  -3  66 -10
 29  57 -22  74  -4  86   8  90  24  92  36 100  52 102  50  99  45  91  25  75  19  65  -4  64  -9
 30  59 -16 *** ***  82  10  89  32  94  42 101  51 106  45 101  51  92  27  77  16  70  -8  63  -8
 31  71 -24 *** ***  81  18 *** ***  90  39 *** *** 104  51 100  45 *** ***  76  18 *** ***  62 -15
