# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0112] ALBIA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia0112   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107           9    28 271          164
   1952   4    15 106          10     6 280          174
   1953   4    20 110          10    27 300          190
   1954   5     4 124          10    30 303          179
   1955   4     7  97          10    24 297          200
   1956   4    24 115          11     8 313          198
   1957   4    14 104          10    25 298          194
   1958   4    29 119          10     1 274          155
   1959   4    22 112          10    12 285          173
   1960   4    10 101          10    19 293          192
   1961   4    16 106          10    26 299          193
   1962   4    16 106          10    24 297          191
   1963   4     4  94          10    29 302          208
   1964   4     9 100          10     9 283          183
   1965   4    19 109          10    24 297          188
   1966   4    21 111          11     1 305          194
   1967   4    24 114          10    27 300          186
   1968   4     6  97          10    25 299          202
   1969   3    31  90          10    14 287          197
   1970   4     5  95          11     3 307          212
   1971   4     6  96          11     4 308          212
   1972   4     8  99          10    15 289          190
   1973   4    13 103          11     3 307          204
   1974   4     8  98           9    22 265          167
   1975   4    12 102          10     2 275          173
   1976   5     3 124          10     8 282          158
   1977   4     6  96          10    16 289          193
   1978   3    27  86          11     7 311          225
   1979   4    10 100          10    13 286          186
   1980   4    14 105          10    12 286          181
   1981   4     6  96          10    22 295          199
   1982   4    21 111          10    21 294          183
   1983   4    20 110          11     5 309          199
   1984   4     1  92           9    29 273          181
   1985   4     9  99          11     4 308          209
   1986   4    22 112          11     2 306          194
   1987   4     4  94          10     3 276          182
   1988   4    24 115          10     5 279          164
   1989   5     7 127          10     4 277          150
   1990   4    18 108          10    19 292          184
   1991   4    24 114          10    15 288          174
   1992   5     6 127          10    17 291          164
   1993   4     6  96          10    10 283          187
   1994   4     7  97          10    25 298          201
   1995   4     5  95           9    22 265          170
   1996   4    23 114          10    31 305          191
   1997   4    17 107          10    21 294          187
   1998   3    25  84          11     5 309          225
   1999   3    27  86          10    18 291          205
   2000   4    13 104          10     7 281          177
   2001   4    19 109          10    17 290          181
   2002   4     6  96          10    13 286          190
   2003   4    10 100          10     2 275          175
   2004   4    14 105          10     2 276          171
             MEAN=104              MEAN=291     MEAN=187
