# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0112] ALBIA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia0112
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1327   1056   1073    565    117     55      0      5    123    351    909   1286
 1952   1199    887    921    411    158      1      0      5     56    428    704   1071
 1953   1194    904    784    551    175      3      0      0     45    203    611   1028
 1954   1288    708    902    307    251     41      0      0     29    347    626   1030
 1955   1275   1092    826    212     86     43      0      0     55    296    932   1228
 1956   1300   1068    829    455     92     11      0     10     65    117    745   1061
 1957   1444    897    836    429    145     10      0      0     83    387    806    947
 1958   1208   1300    882    393     86     28      4     19     61    276    629   1235
 1959   1459   1068    821    430    113      7      6      1     99    416    957    925
 1960   1267   1253   1254    378    154     19      0      0     55    297    663   1149
 1961   1271    907    782    561    203      6      0      2    130    263    736   1287
 1962   1504   1121   1003    451     28     21      2      0    111    288    679   1158
 1963   1608   1184    685    308    140      1      0     20     63     89    632   1531
 1964   1079    974    932    399     63     26      1     29    111    417    637   1239
 1965   1350   1126   1251    433     81      2      0     18    126    317    642    837
 1966   1480   1026    653    482    213     13      0     10    112    297    682   1155
 1967   1158   1103    708    358    271     14     13     13     86    372    792   1047
 1968   1288   1145    606    336    192     15      1      3     55    329    833   1240
 1969   1409   1017   1003    333    136     44      0      0     49    416    721   1193
 1970   1519    976    937    381     81     15      2      0     89    346    775   1087
 1971   1451   1114    878    346    196      0      9      2     83    155    681   1027
 1972   1342   1154    785    420    143     20      5      7     83    405    848   1323
 1973   1246    950    580    461    175      0      0      1     67    191    714   1273
 1974   1324    980    710    301    166     41      0      5    176    318    749   1096
 1975   1209   1153   1044    525    102     18      2      0    143    256    571   1046
 1976   1252    765    687    292    179      6      0      2     75    507    910   1284
 1977   1645    968    592    253     31      7      0      2     33    352    747   1259
 1978   1595   1368    968    379    196      9      0      3     41    353    722   1198
 1979   1710   1363    847    505    152     10      3      7     43    281    755    971
 1980   1240   1207    887    400    100     10      0      0     75    396    675   1102
 1981   1148    911    654    208    191      0     11      6     50    327    627   1241
 1982   1500   1118    871    503     51     32      0     11    120    316    726    963
 1983   1138    875    760    589    203     16      0      0     92    358    678   1627
 1984   1287    812   1015    481    215      1      2      7    155    338    747   1094
 1985   1501   1179    711    318     75     30      0      5    143    347    943   1528
 1986   1144   1164    646    317    121      2      0     23     42    328    882   1078
 1987   1167    791    649    302     76      8      2     25     57    482    597   1021
 1988   1310   1240    759    393     52     11      2      9     34    523    705   1072
 1989    945   1344    810    413    194     31      0      4    140    330    790   1491
 1990    946    899    664    444    217     23      2      3     79    355    580   1263
 1991   1447    862    666    338     99      3      0      3    132    381    977   1037
 1992   1036    850    679    456    175     20      2     39    132    372    872   1154
 1993   1286   1196    943    504    111     53      0      5    190    402    806   1092
 1994   1524   1159    732    390    163     19      0     10     88    309    669    998
 1995   1343   1001    754    493    218     10      8      0    141    358    920   1187
 1996   1389   1120    962    437    236     30      2      1    124    311    943   1222
 1997   1405   1010    709    541    267     18      6      5     72    446    873   1122
 1998   1178    772    965    436     95     69      0      0     44    334    663   1023
 1999   1401    816    893    405    160     25      0      4    151    405    539   1116
 2000   1259    875    645    440    123     41      5      0    117    275    907   1635
 2001   1319   1218   1043    322    157     68      1      2    140    431    456    978
 2002   1061    937    962    479    263      8      0      5     70    530    864   1042
 2003   1407   1219    892    429    204     39      0      0    150    349    813   1049
 2004   1421   1153    706    398    170     41      4     57     67    399    682   1142
 2005   1355    910    873    348    226      3      6      0      0      0      0      0
 MEAN   1319   1041    830    408    151     20      2      7     92    342    747   1157
