# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0112] ALBIA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     5  14  13  13  11  17   9  10   8  13   7  11 131
1952     8   7  14   9  16  13  10  17   4   1   5   6 110
1953     5   5  12  11  12  12   4   3   4   3   1   6  78
1954     2   5   5  10   9  11   4  18   8  13   5   8  98
1955    10   9   5   9  12  10   6   4   8   6   6   4  89
1956     8   7   6   7   7   7  11  14   6   3   8   7  91
1957     7   5   8  20  12  13  10  12  10   6   9   8 120
1958     7   5   5  11   8  13  17  13  12   5   6   4 106
1959     6  10   6  12  14   5   9  10  12  13   7  10 114
1960     9   8  11  15  13  14   7   8   8   7   4   4 108
1961     5   5  14  14   7   8  13   6  13   8   8  10 111
1962     9  12   9  10  11   6  12  10   8  10   5   5 107
1963    10   7  11   7  11   6   7   9   8   8   6   5  95
1964     4   0  10  12   9  12   9  10  13   2   7   5  93
1965     8   7  12  13  12  11   9  14  18   6   4   7 121
1966     5   5   8  11  12  10   9   5   9   5   2   7  88
1967     4   3   6  12  11  18   5   7   6  13   5  12 102
1968     8   4   6  12   9   9   6   9  17   9   5   5  99
1969    12   3   5   9  10  10  14   6  11  10   1   6  97
1970     5   2   0  10   9  11   5   9  15  11   7   6  90
1971     3   6   6   6   9   6  10   4   6  11   7   7  81
1972     7   8   9  18  14   7  10   9  12   8  11   9 122
1973     8   8  18  11  12  12  16  10  16   8   9  15 143
1974    14   5  11   9  16  13   5  12   7   7   9  12 120
1975    12   8   8  11  12  16   4  13   8   2  16   6 116
1976     6   7   9  12  11   9   7   7  10   7   1   4  90
1977     9   6  11  10  14  10   8  16  12  12  11   7 126
1978     7   7   7  15  10  11   9  10   8  10  10   8 112
1979    12   4  12  14   5  14  10   7   4   6   8   5 101
1980    10   8  10  10   5   9   7  13  12   7   6   4 101
1981     1   6   7  14  11  11  10  12   8   7  11   0  98
1982     0   0   0   0  14  10  14   7   7   9   5   7  73
1983     5   4   7  10  16   9   3   8   9   9  13  10 103
1984     2   7  12  14  15  12   5   0   0   0   0   0  67
1985     0   0   0   0   8   8  11   9   9   9  11   7  72
1986     1   7   7  13  16  11  11   9  16  13   6   4 114
1987     4   4   8   9   9  11   7  15  11   7  10  10 105
1988     3   6   4   8   6   4   6   8   8   3  12   4  72
1989     4   7   3   6   9  10   8   8   7   7   1   3  73
1990     6   9  13  15  13  10  13   9   7   7   6   7 115
1991     4   2  11  13  13   7   6   7   6  11  15   7 102
1992     5   8  10  14   5   4  16   6  10   4  14  10 106
1993     8   8  10  11  14  15  19  14  12   4   7   5 127
1994     5   5   4   9   7  11  12   7   6   9  11   4  90
1995     7   4   7  14  13  12   5   8   7  10   8   5 100
1996     9   5   6   7  19  12   7   8   7   9   8   7 104
1997     7   7   4  10  13   7   9  11  11   8   7  12 106
1998     9  12  14  17  15  17   6  11   9  13   6   2 131
1999     7   7   5  14  14  10   6   9   6   4   2   6  90
2000     8   5   4  10  10  15  14   9   8   8   5  13 109
2001     8   9   8   9  20  13   8   6   8  12   4   6 111
2002     6   9  12  13  15   8  12   7   4  16   3   2 107
2003     7   7   7  10  13  11   5   8   7   4  11  10 100
2004     6   8  14   4  14  13  15  13   3  10  11   6 117
2005     9  10   7   9   9   9   6   0   0   0   0   0  59
STDDEV   3   3   4   4   3   3   4   4   4   4   4   3  17
AVG      6   6   8  11  12  11   9   9   9   8   7   7 102
