# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0133] ALGONA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia0133
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.28  2.41  3.77  4.16  3.67  7.06  3.68  5.32  2.28  1.87  0.33  0.78 35.61
 1952  1.98  0.39  1.97  1.11  3.47  5.86  5.24  3.60  0.26  0.00  0.98  0.61 25.47
 1953  0.97  0.75  2.74  2.19  1.97  5.54  3.89  4.19  0.87  0.30  1.77  0.88 26.06
 1954  0.43  1.39  2.18  3.66  5.16 10.57  3.16  5.12  2.00  3.70  0.07  0.78 38.22
 1955  0.11  0.79  0.54  3.88  2.08  3.93  3.24  3.37  1.37  0.81  0.28  0.56 20.96
 1956  0.38  0.13  1.81  0.00  3.44  3.58  3.44  2.21  0.55  1.37  2.58  0.35 19.84
 1957  0.56  0.25  0.78  0.82  4.75  2.45  2.48  3.14  1.80  1.39  2.87  0.57 21.86
 1958  0.00  0.00  0.00  1.55  1.85  3.50  4.33  2.06  1.09  0.51  0.57  0.21 15.67
 1959  0.50  1.81  2.72  1.92 10.07  2.56  0.43  8.60  3.08  1.63  1.65  1.41 36.38
 1960  0.48  0.72  1.43  1.84  6.18  3.35  0.91  4.57  2.66  0.54  0.84  1.01 24.53
 1961  0.11  2.32  5.23  1.96  2.66  3.42  4.95  5.03  4.30  3.33  0.89  0.00 34.20
 1962  0.00  2.51  0.15  2.49  3.08  3.38  5.66  9.13  2.69  1.77  0.30  0.18 31.34
 1963  0.99  0.77  1.39  1.82  3.20  2.90  7.40  1.54  2.31  0.83  0.46  0.32 23.93
 1964  0.00  0.15  0.95  7.17  3.33  3.94  5.55  4.18  7.39  0.48  0.99  1.20 35.33
 1965  0.53  2.35  4.15  3.70  4.60  3.62  2.42  6.14 11.47  0.96  1.06  0.61 41.61
 1966  0.96  0.69  1.81  1.75  3.29  4.94  3.01  1.83  1.03  0.74  0.13  1.18 21.36
 1967  0.67  0.51  0.43  2.09  3.18  7.65  1.35  2.39  1.61  1.46  0.13  0.84 22.31
 1968  0.92  0.17  0.40  4.93  1.82  3.67  3.82  2.15  4.82  5.27  3.32  2.76 34.05
 1969  1.87  0.94  1.05  0.84  3.96  6.55  6.93  2.54  1.43  2.89  0.70  1.74 31.44
 1970  0.66  0.03  1.26  1.21  5.02  1.69  1.68  1.84  4.16  4.64  2.12  0.40 24.71
 1971  0.17  3.45  0.98  0.71  2.54  6.18  2.62  0.69  1.26  5.47  2.91  1.06 28.04
 1972  0.47  1.05  0.00  2.44  3.70  2.25  4.89  2.13  6.35  3.21  1.53  1.92 29.94
 1973  0.00  0.83  3.36  3.36  5.79  3.65  5.32  0.95  7.21  1.72  4.53  0.50 37.22
 1974  0.09  0.04  1.27  2.81  4.77  3.72  2.15  4.65  0.80  1.28  1.18  0.45 23.21
 1975  2.45  0.87  1.34  5.07  3.30  4.90  1.30  4.39  1.00  0.27  3.29  0.68 28.86
 1976  0.17  0.46  3.85  1.31  2.97  3.17  2.70  1.02  0.95  0.00  0.02  0.21 16.83
 1977  0.47  0.00  2.57  2.83  3.26  3.07  2.20  6.77  2.64  2.77  0.89  0.54 28.01
 1978  0.53  0.95  0.55  2.69  2.24  2.19  8.97  3.45  5.77  1.12  1.28  0.56 30.30
 1979  0.00  0.43  4.68  1.72  1.53  2.52  4.42  0.00  0.56  2.97  2.17  0.63 21.63
 1980  0.88  0.94  0.98  0.85  4.30  1.29  0.00  0.00  2.63  1.29  0.60  0.30 14.06
 1981  0.00  0.90  0.66  1.61  3.12  8.93  3.40  2.81  1.16  2.63  0.58  0.93 26.73
 1982  1.71  0.25  1.19  2.35  7.77  4.91  4.60  3.62  4.08  3.10  2.42  3.41 39.41
 1983  0.53  0.90  3.88  1.91  3.47  8.14  1.82  1.75  5.97  2.82  3.63  0.82 35.64
 1984  0.47  0.62  0.73  5.66  3.81  8.79  3.43  0.71  0.79  4.71  2.39  2.23 34.34
 1985  0.41  0.00  1.99  4.89  2.57  3.01  2.10  5.92  6.68  1.16  0.53  0.26 29.52
 1986  0.36  0.34  2.03  4.71  3.44  2.58  6.69  3.56  3.66  4.62  1.09  0.39 33.47
 1987  0.06  0.07  1.70  2.24  2.77  1.98  6.48  3.65  2.30  1.16  2.43  0.67 25.51
