# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0133] ALGONA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia0133
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     4     1     0     5        0     0     6     5     0    11
 1952     1    12     5     1     4    23        3    47    23     2    11    86
 1953     2     9     4     8     2    25        6    44    12    29    12   103
 1954     0     6    11     1     0    18        0    24    47     2     0    73
 1955     3     2    19    21     7    52        5    11   136   166    41   359
 1956     2    18     6     8     6    40        4   105    24    42    24   199
 1957     0     5    22     8     0    35        0    14   149    34     0   197
 1958     0     4     3    16     1    24        0    18     9    72     2   101
 1959     3    11     9    19     3    45        9    49    33    71    12   174
 1960     0     2    14    12     7    35        0     4    55    34    31   124
 1961     0     9     6    10     3    28        0    39    25    29     6    99
 1962     7     5     5     6     2    25       10    18    14    16     3    61
 1963     0    17    11    11     2    41        0    98    40    32     5   175
 1964     7    12    22     6     1    48       25    58   141    30     2   256
 1965     1     8    15     9     0    33        2    20    73    54     0   149
 1966     2    11    18     8     0    39        7    48   122    32     0   209
 1967     3     1    12     4     0    20       31     6    35     6     0    78
 1968     1    13     8    15     0    37        1    73    29    81     0   184
 1969     3     2    11     8     0    24       10    10    49    18     0    87
 1970     6    10    18    11     4    49       16    57    77    30    24   204
 1971     0    16     5     9     5    35        0    73    12    38    31   154
 1972     5     7     5    13     0    30        9    15    23    63     0   110
 1973     0    12    13    11     0    36        0    45    50    36     0   131
 1974     0    10    20     2     0    32        0    36   120     3     0   159
 1975     4     6    18    13     2    43       19    21    88    41     4   173
 1976     2    10    18    15     4    49        3    39    89    72    24   227
 1977     9     8    23     5     1    46       15    64   165     8     1   253
 1978     4     7    12    12     8    43       14    28    45    46    47   180
 1979     4     9     8     9     1    31       15    38    19    43     2   117
 1980     3     8    21    14     3    49        8    46   134    50     6   244
 1981     0     7    12     0     2    21        0    32    63     0     4    99
 1982     1     4    16     4     0    25        4    12    73    17     0   106
 1983     0    10    21    25     7    63        0    45   109   173    36   363
 1984     0     4    10    20     7    41        0    14    26   106    28   174
 1985     2     4     6     3     4    19        6    35    18     4     9    72
 1986     1     6     8     1     1    17        1    32    21     1     1    56
 1987     9    15    14     5     1    44       45    84    55    16     1   201
 1988     6    14    13    14     4    51       19    75    71   107    12   284
 1989     1     6    10     3     0    20        3    20    66    14     0   103
 1990     1     8     7     5     4    25        4    30    29    10     9    82
 1991     1    10     9     4     0    24        4    58    49     4     0   115
 1992     1     2     0     1     0     4        4     3     0     1     0     8
 1993     0     1     2     2     0     5        0     2     4     3     0     9
 1994     3     5     1     2     4    15       14    16     1     5    13    49
 1995     0     8    11    12     0    31        0    34    70    38     0   142
 1996     3     9     2     1     0    15       11    39     6     2     0    58
 1997     0     6    12     1     1    20        0    24    22     3     1    50
 1998     4     2     5     4     9    24       12     9    12     5    41    79
 1999     1     7    17     2     4    31        1    19    75     5     9   109
 2000     1     3     3     3     7    17        1    15     7     7    20    50
 2001     2     9     8     6     0    25       13    40    20    20     0    93
 2002     1    12    20     2     5    40        5    48    81     5    18   157
 2003     0     3     5     9     2    19        0     5    14    36     6    61
 2004     0     2     0     0     2     4        0     8     0     0     4    12
 2005     0     7    10     0     0    17        0    25    28     0     0    53
 **************************************************************************************
MEANS   2.0   7.5  10.7   7.5   2.4  30.1      6.5  34.0  50.3  32.1   9.1 132.0
