# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0157] ALLISON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia0157
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  26  10  26   8  38  18  51  32  67  43  75  53  83  61  84  60  79  56  71  46  53  35  35  20
  2  25  10  25   7  37  19  53  32  67  43  75  52  84  61  84  62  80  57  71  45  51  33  36  21
  3  26   8  26   8  36  20  53  32  67  44  77  52  83  61  84  62  80  57  69  45  51  32  36  20
  4  24   7  27   8  37  19  51  30  70  45  79  54  83  62  82  61  79  56  67  43  49  31  36  19
  5  25   7  28  10  37  20  53  32  69  46  80  56  83  61  82  60  78  54  67  44  48  30  36  19
  6  24   7  27  10  37  18  55  32  68  44  80  57  84  60  83  61  79  55  65  43  48  30  32  16
  7  22   4  27   9  37  16  56  33  69  44  80  58  84  62  83  61  80  55  65  42  49  29  32  17
  8  24   5  27  10  37  18  53  33  69  46  80  57  84  62  83  61  78  55  65  43  49  29  30  16
  9  23   6  29  10  38  20  54  32  69  46  80  56  83  61  82  60  78  56  63  41  47  29  31  14
 10  23   5  30  13  40  21  55  32  70  46  81  57  84  61  82  60  77  53  64  40  47  28  30  13
 11  25   6  28  11  41  23  56  34  70  47  80  59  84  62  82  58  77  52  65  42  47  28  30  13
 12  26   9  30  12  40  24  56  35  70  46  81  58  85  63  82  59  77  52  66  42  46  28  29  13
 13  26  10  32  13  40  24  57  35  71  46  83  58  84  62  82  60  75  52  65  42  47  29  29  12
 14  26  10  32  13  42  23  58  36  72  48  81  59  83  62  82  59  72  52  65  42  45  28  29  14
 15  25   6  31  13  41  24  60  36  72  48  80  58  84  61  82  60  73  50  65  42  47  28  29  13
 16  24   6  30  12  42  24  60  38  74  49  80  57  85  62  83  60  72  49  64  40  47  27  30  12
 17  25   7  33  14  42  25  62  37  74  50  82  57  85  64  83  60  73  50  62  40  46  28  28  13
 18  26   8  34  18  42  25  63  39  74  50  81  60  86  65  82  60  74  52  60  38  45  28  28  12
 19  25   7  33  16  43  26  63  40  74  50  83  59  85  64  82  60  73  51  59  37  44  26  29  12
 20  24   6  34  16  44  25  62  41  75  50  81  59  84  63  82  58  71  49  60  37  42  26  26  11
 21  26   8  33  16  43  24  63  39  75  50  82  59  84  62  81  59  70  47  62  38  42  23  26  10
 22  27  10  34  16  46  25  63  38  74  52  81  59  84  63  81  59  69  47  62  39  42  23  27  12
 23  27   7  35  18  46  26  63  40  73  51  81  59  84  62  81  59  67  44  59  39  40  23  28  12
 24  26   8  35  16  46  24  64  40  73  50  82  59  85  61  80  58  69  45  59  37  40  21  27  10
 25  24   7  35  16  46  26  65  41  73  51  83  60  85  62  82  58  72  46  58  36  39  24  26  10
 26  24   6  35  18  47  26  67  42  72  52  83  60  84  62  82  60  72  47  58  36  38  22  27  10
 27  24   6  36  19  50  29  66  43  73  52  84  61  84  62  82  61  71  45  59  37  37  20  27  12
 28  24   7  36  19  50  31  65  41  73  53  85  62  84  61  82  59  70  45  56  34  32  17  29  13
 29  24   7  38  17  48  29  65  42  75  53  84  62  84  60  82  60  70  46  56  34  34  18  29  11
 30  25   5 *** ***  50  30  66  42  77  53  84  61  84  61  81  60  71  46  56  36  36  18  27  10
 31  27   6 *** ***  52  32 *** ***  76  53 *** ***  84  61  80  58 *** ***  55  36 *** ***  27  11
