# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0157] ALLISON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia0157   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    26 116           9    28 271          155
   1952   4    15 106          10     5 279          173
   1953   5    13 133          10    27 300          167
   1954   5     7 127          10    18 291          164
   1955   4     7  97          10    15 288          191
   1956   4    30 121          10     9 283          162
   1957   5     4 124          10    11 284          160
   1958   5     5 125          10     1 274          149
   1959   4    13 103          10    12 285          182
   1960   4    18 109          10    19 293          184
   1961   5     2 122           9    28 271          149
   1962   4    16 106          10    23 296          190
   1963   5    22 142          10    29 302          160
   1964   4     9 100          10     9 283          183
   1965   4    19 109          10    13 286          177
   1966   5    10 130          10     1 274          144
   1967   5     6 126           9    28 271          145
   1968   4    25 116          10     4 278          162
   1969   4    29 119          10    14 287          168
   1970   5     2 122          10    10 283          161
   1971   4    24 114          10    31 304          190
   1972   4    25 116           9    30 274          158
   1973   4    28 118          11     3 307          189
   1974   5     6 126           9    22 265          139
   1975   4    12 102          10     2 275          173
   1976   5     3 124          10     6 280          156
   1977   4     8  98          10     6 279          181
   1978   4    21 111          10     8 281          170
   1979   4    28 118          10     7 280          162
   1980   4    24 115          10     5 279          164
   1981   5    11 131          10     2 275          144
   1982   4    21 111          10    16 289          178
   1983   5     8 128           9    23 266          138
   1984   4    30 121           9    26 270          149
   1985   4     9  99          10     1 274          175
   1986   4    22 112          10    14 287          175
   1987   4     5  95          10     3 276          181
   1988   4    19 110          10     5 279          169
   1989   5     7 127           9    24 267          140
   1990   4    18 108          10    11 284          176
   1991   4    10 100           9    20 263          163
   1992   4    13 104           9    29 273          169
   1993   4    21 111          10    10 283          172
   1994   4     7  97          10    26 299          202
   1995   4    10 100          10    15 288          188
   1996   4    23 114          10     8 282          168
   1997   5    13 133          10    20 293          160
   1998   4     5  95          11     3 307          212
   1999   3    27  86          10     4 277          191
   2000   4    12 103          10     6 280          177
   2001   4    18 108          10     6 279          171
   2002   4    26 116          10    13 286          170
   2003   4    10 100          10     1 274          174
   2004   5     3 124          10     2 276          152
             MEAN=113              MEAN=282     MEAN=169
