# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0213] ANAMOSA-1-WNW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia0213
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  36   3  40   3  42   5  42   6  42  10  41   6  42  10  40  10  42   6  55   8  46   3  35   3
  2  38   3  42   5  42   5  55   5  39   7  39   6  38   8  40  11  39   9  49   8  42   5  35   3
  3  38   5  39   3  35   4  40   4  40   9  42  10  41  12  37  10  41   8  43   7  42   4  32   4
  4  46   4  45   3  36   6  47   5  40   6  41  10  40  10  35  10  45  12  43   7  39   3  31   7
  5  38   2  37   1  39   3  44   5  44   8  42  13  43   8  36   8  40  14  44   6  42   2  34   3
  6  34   1  40   3  47   6  52  10  46   6  43  13  40  15  41   9  45   8  45   5  39   4  36   3
  7  32   2  39   3  42   6  46  12  42   5  48   6  39   9  39  13  40  15  43   5  39   5  31   2
  8  40   2  36   3  45   5  40   5  45   6  44  10  36  13  42   7  47   7  44   9  35   4  35   4
  9  35   5  37   4  45   5  47   5  47   8  43  11  37  10  37  13  42   6  43   5  38   5  32   5
 10  36   6  40   3  38   4  47   6  46   7  40   8  39   9  38  13  45  13  47   7  44   5  41   3
 11  45   4  47   3  44   5  44   2  41  12  45   5  35   9  38  11  46   6  45   9  40   5  33   4
 12  43   2  46   4  30   5  42   3  41   7  41   8  38  14  40   8  48  11  46  11  46   5  30   3
 13  37   2  43   2  35   4  48   5  48   9  39   5  37  14  40   9  37  11  45   7  41   4  41   5
 14  39   5  46   2  37   5  40   6  48  10  41  13  41   7  42  11  42  10  48   8  45   4  46   1
 15  45   3  37   5  44   4  44   7  46  14  35  10  41  10  36  13  42   7  45   5  39   6  32   4
 16  37   3  38   6  39   5  43   6  47   5  44  14  39  12  37   7  43  11  46   7  38   6  35   4
 17  37   4  41   3  37   4  47   7  44   9  39  12  40  13  35  15  38   7  37   9  39   4  34   2
 18  50   4  40   3  38   2  40   9  47   7  39  10  38   8  34   9  42   9  52  10  46   6  39   3
 19  52   3  44   3  44   3  41   6  44   5  36  11  36   7  36   8  41   6  42   8  43   5  39   3
 20  45   2  35   6  40   3  38   9  44   9  43   9  34  15  38   6  38   7  44   5  34   5  29   4
 21  48   3  40   4  37   6  44   6  44  11  40   7  38  11  36   7  39   8  41   6  38   4  43   3
 22  47   2  38   6  42   3  43   8  40   8  37  11  36  12  36  12  54   9  46   3  34   2  32   3
 23  38   4  35   2  44   2  47   9  41  10  37  16  36   8  34  12  44   5  39   6  33   3  33   2
 24  40   6  40   4  41   7  42   6  39   9  39  10  40  12  37  10  48   9  51   4  40   3  42   4
 25  43   2  37   7  46   8  49   6  41   6  36  15  38  13  41   8  40   8  43   7  34   4  33   3
 26  41   7  36   5  47   5  44   9  43   7  37  13  37  11  36   9  50   6  44   4  35   3  38   4
 27  38   4  42   5  43   7  41   5  40   4  36  12  42  12  36   9  44  12  46   5  40   3  37   4
 28  49   5  42   5  44   5  41   5  43   5  43  10  37  11  38  11  52   5  42   6  38   4  40   3
 29  35   2  39   8  44   8  43   6  43   6  35  14  35   9  40   9  42  11  43   9  34   3  43   4
 30  39   4  **  **  44   7  43  10  41  11  36  11  35  10  37  10  46   9  44   5  41   4  39   5
 31  38   5  **  **  41   5  **  **  43  14  **  **  41   8  42  10  **  **  42   3  **  **  32   3
