# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0213] ANAMOSA-1-WNW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia0213   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113          10     8 281          168
   1952   4    16 107          10     3 277          170
   1953   4    21 111           9    22 265          154
   1954   5    20 140          10    18 291          151
   1955   4     7  97          10    16 289          192
   1956   4    30 121           9    20 264          143
   1957   4    14 104          10    10 283          179
   1958   5     7 127          10     1 274          147
   1959   4    21 111          10    12 285          174
   1960   4    18 109          10    20 294          185
   1961   4    29 119          10     2 275          156
   1962   4    20 110           9    20 263          153
   1963   5    23 143          10    28 301          158
   1964   4    15 106          10     9 283          177
   1965   4    19 109          10    24 297          188
   1966   5    14 134          10     6 279          145
   1967   5     7 127           9    29 272          145
   1968   4    15 106          10    25 299          193
   1969   4    29 119          10    17 290          171
   1970   5     2 122          10    16 289          167
   1971   5     3 123          10    12 285          162
   1972   4    26 117           9    30 274          157
   1973   4    28 118          10    30 303          185
   1974   4    24 114           9    22 265          151
   1975   4    13 103           9    26 269          166
   1976   5     8 129           9    24 268          139
   1977   4    29 119          10    13 286          167
   1978   5     3 123          10     8 281          158
   1979   5     1 121          10     7 280          159
   1980   4    14 105          10    12 286          181
   1981   4    15 105          10    19 292          187
   1982   4    28 118          10    21 294          176
   1983   4    25 115           9    22 265          150
   1984   4    24 115           9    26 270          155
   1985   4    10 100          10     6 279          179
   1986   4    23 113          10    15 288          175
   1987   4     7  97          10     3 276          179
   1988   4    24 115          10     5 279          164
   1989   4    19 109           9    24 267          158
   1990   4    18 108          10    11 284          176
   1991   4    22 112           9    20 263          151
   1992   5     6 127          10    17 291          164
   1993   4    22 112          10    10 283          171
   1994   5     2 122          10    10 283          161
   1995   4    25 115           9    23 266          151
   1996   5     2 123          10    19 293          170
   1997   5    16 136          10    22 295          159
   1998   3    24  83          10    22 295          212
   1999   4    19 109          10    14 287          178
   2000   4    22 113          10     7 281          168
   2001   4    19 109          10     6 279          170
   2002   5    21 141          10    16 289          148
   2003   4    22 112          10     1 274          162
   2004   5     4 125          10     5 279          154
             MEAN=115              MEAN=281     MEAN=166
