# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0213] ANAMOSA-1-WNW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    5    0    0    0
 Sep 14    5    0    0    0
 Sep 16    9    0    0    0
 Sep 18    9    0    0    0
 Sep 20   16    5    0    0
 Sep 22   31   12    1    0
 Sep 24   35   16    1    0
 Sep 26   38   20    3    0
 Sep 28   50   22    5    0
 Sep 30   57   27    7    0
 Oct 02   64   31   12    3
 Oct 04   74   33   16    5
 Oct 06   81   44   22    7
 Oct 08   83   50   27    9
 Oct 10   87   59   31   14
 Oct 12   88   66   38   16
 Oct 14   94   70   42   16
 Oct 16   96   77   53   16
 Oct 18   98   83   61   22
 Oct 20   98   88   66   24
 Oct 22   98   92   74   29
 Oct 24   98   94   77   42
 Oct 26   98   96   81   44
 Oct 28  100   98   85   48
 Oct 30  100  100   88   53
 Nov 01  100  100   90   62
 Nov 03  100  100   94   68
 Nov 05  100  100   98   77
 Nov 07  100  100   98   83
 Nov 09  100  100  100   87
 Nov 11  100  100  100   88
 Nov 13  100  100  100   92
 Nov 15  100  100  100   94
 Nov 17  100  100  100   94
 Nov 19  100  100  100   98
 Nov 21  100  100  100  100
 Nov 23  100  100  100  100
 Nov 25  100  100  100  100
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
