# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0241] ANKENY-3-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia0241
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.37  2.30  4.19  4.19  5.06  5.12  5.03  6.23  2.44  2.79  1.15  0.89 39.76
 1952  0.92  0.44  3.35  1.31  4.67  9.20  4.18  4.71  0.35  0.00  2.71  0.69 32.53
 1953  0.52  1.56  1.94  3.06  3.81  3.77  3.70  0.81  0.63  0.09  1.20  0.80 21.89
 1954  0.07  1.21  1.57  2.82  6.01  8.55  4.24 12.38  2.52  4.15  0.00  0.41 43.93
 1955  0.68  0.90  0.72  3.32  2.32  1.77  3.98  0.61  3.92  0.87  0.04  0.40 19.53
 1956  0.00  0.25  0.43  1.85  2.06  2.24  5.32  3.54  2.24  1.63  1.73  0.24 21.53
 1957  0.26  0.15  1.53  2.41  4.99  3.55  1.60  2.86  1.87  3.66  2.08  0.59 25.55
 1958  0.51  0.36  0.41  1.12  3.18  3.07  9.90  0.94  3.37  1.52  1.64  0.17 26.19
 1959  0.80  0.90  3.75  4.45  6.54  3.55  1.57  1.57  2.85  2.13  2.83  1.31 32.25
 1960  2.42  0.94  0.72  2.86  6.21  4.56  3.34  7.54  2.70  1.42  0.54  0.36 33.61
 1961  0.25  2.60  4.46  1.97  1.32  3.90  5.94  1.99  7.85  2.51  2.59  1.09 36.47
 1962  0.21  1.06  1.15  1.44  5.22  2.55  3.05  2.30  1.98  3.70  0.40  0.36 23.42
 1963  0.50  0.39  2.96  5.27  3.63  1.17  3.14  6.79  1.72  0.61  1.33  0.36 27.87
 1964  0.42  0.37  0.76  3.82  3.61  7.12  2.85  4.04  3.66  0.22  0.90  0.77 28.54
 1965  1.26  1.02  2.27  4.62  3.74  3.29  3.50  3.32  6.44  0.74  1.78  2.04 34.02
 1966  0.94  0.23  1.59  1.09  4.63  8.89  2.82  2.13  0.91  0.58  0.47  0.46 24.74
 1967  0.62  0.19  1.48  2.64  2.30 10.72  0.70  0.58  1.91  1.97  0.30  0.58 23.99
 1968  0.70  0.00  1.02  4.82  1.66  4.17  4.65  3.15  3.74  2.25  0.96  2.39 29.51
 1969  0.73  0.52  0.89  3.67  5.38  4.91  7.15  0.87  2.89  3.16  0.18  0.60 30.95
 1970  0.18  0.07  2.95  1.92  6.88  2.80  3.29  3.92  4.58  4.29  1.59  1.05 33.52
 1971  0.29  1.97  0.32  1.25  4.08  3.94  2.30  1.12  2.21  3.41  2.79  1.02 24.70
 1972  0.29  0.59  0.71  2.75  3.32  5.37  2.90  5.52  5.67  3.60  2.18  1.68 34.58
 1973  0.00  2.01  3.72  0.00  0.00  0.00  0.00  0.00  7.59  3.15  1.42  2.46 20.35
 1974  1.09  0.48  1.94  5.65  7.35  6.35  0.49  3.05  2.43  3.35  1.48  0.92 34.58
 1975  1.26  1.45  1.44  1.43  3.54  7.98  0.54  5.50  1.99  0.34  3.01  0.39 28.87
 1976  0.11  2.54  3.29  7.74  1.29  4.88  3.00  0.66  0.55  1.22  0.00  0.00 25.28
 1977  0.60  0.37  3.49  2.34  2.63  2.99  1.79 12.02  5.46  4.64  0.18  0.42 36.93
 1978  0.33  0.91  0.53  4.49  3.02  3.91  4.07  2.69  6.73  1.12  3.06  0.19 31.05
 1979  0.20  0.00  0.00  0.00  0.00  4.99  2.86  5.33  2.82  3.86  1.53  0.18 21.77
 1980  1.57  0.58  0.80  1.08  2.57  4.72  1.31  6.65  1.29  2.09  0.29  0.85 23.80
 1981  0.15  1.05  0.64  1.77  3.48  4.08  4.07  4.80  1.98  1.59  2.16  0.97 26.74
 1982  2.40  0.66  2.98  3.80  6.32  3.47  9.65  5.13  1.96  3.22  3.60  3.68 46.87
 1983  1.09  1.63  4.13  3.39  4.35 10.08  3.49  4.41  3.72  5.27  5.88  1.06 48.50
 1984  0.89  1.11  1.86  6.15  5.33  8.70  7.95  1.22  2.29  4.47  2.34  2.02 44.33
 1985  0.51  1.89  2.30  0.33  1.73  2.75  1.51  2.44  4.71  2.55  1.03  1.52 23.27
 1986  0.13  1.18  1.94  8.17  6.01  8.30  6.81  3.69  6.13  4.31  0.64  0.79 48.10
 1987  0.28  0.76  2.26  1.59  3.64  2.01  6.33  9.75  1.60  0.69  2.33  2.10 33.34
 1988  0.33  0.45  0.62  0.89  1.31  1.54  3.71  2.31  2.43  0.23  3.35  0.35 17.52
 1989  0.42  0.69  0.43  1.35  4.03  3.67  4.39  4.23  0.01  3.12  0.00  0.07 22.41
 1990  0.23  0.35  7.87  2.66  4.71  9.93  8.99  2.32  0.85  1.51  1.87  0.45 41.74
 1991  0.83  0.07  4.04  6.89  6.18  4.33  1.05  6.40  2.18  3.51  3.95  1.39 40.82
 1992  0.89  1.40  2.77  3.36  1.05  1.51  9.16  1.16  3.67  0.25  3.80  1.88 30.90
 1993  1.08  1.24  2.92  2.93  7.16  5.73 11.13 12.87  5.14  1.66  0.99  0.68 53.53
 1994  1.09  0.98  0.13  1.91  3.67  5.75  1.71  4.18  4.13  1.31  1.99  1.50 28.35
 1995  0.88  0.57  3.22  6.92  5.04  4.19  2.94  2.87  3.24  1.07  1.49  0.38 32.81
 1996  2.15  0.24  0.87  1.24  8.47  4.35  2.51  2.14  3.72  2.65  2.30  0.57 31.21
 1997  0.78  0.71  1.01  2.04  4.32  3.27  4.10  1.36  2.43  4.32  1.16  1.04 26.54
 1998  1.00  1.38  2.96  1.77  6.46 11.07  5.70  4.96  0.70  3.58  1.54  0.29 41.41
 1999  0.98  0.91  0.82  4.27  6.46  4.54  4.45  6.55  2.37  0.20  1.09  0.53 33.17
 2000  0.51  1.58  0.73  1.40  5.40  5.80  3.16  1.78  1.02  1.80  1.50  1.74 26.42
 2001  1.63  1.97  1.38  4.44  5.72  3.87  2.05  1.92  4.44  2.56  0.93  0.70 31.61
 2002  0.23  0.63  0.92  4.33  2.91  2.78  5.34  4.00  1.19  3.00  0.13  0.01 25.47
 2003  0.34  1.38  0.91  4.44  6.90  4.45  3.92  0.20  2.27  1.44  5.66  0.75 32.66
 2004  0.97  1.22  3.57  2.90  8.52  3.52  4.96  4.59  1.80  1.53  2.79  0.47 36.84
 2005  0.89  1.78  1.34  4.31  6.24  6.14  4.77 -9.99 -9.99 -9.99 -9.99 -9.99      
 MEAN  0.71  0.95  1.95  3.07  4.30  4.83  4.06  3.85  2.95  2.24  1.72  0.90 30.84
 PRECIPITATION MEANS AND TOTALS ARE BASED ON DATA AVAILABLE
 NO ATTEMPT WAS MADE TO ESTIMATE MISSING PRECIPITATION DATA
 *****************************************************************************************
 *****************************************************************************************
