# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0241] ANKENY-3-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia0241
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0      8     44    100    255    214     17     27      0      0
 1952      0      0      0     12     43    297    316    173     81      6      0      0
 1953      0      0      0      2     58    232    287    243     98     39      0      0
 1954      0      0      0     14     13    276    356    190    102     12      0      0
 1955      0      0      0      9     52    113    438    376    141     13      0      0
 1956      0      0      0      8     86    311    241    263     71     20      0      0
 1957      0      0      0     10     20    148    414    264     25      0      0      0
 1958      0      0      0      5     43     80    157    276     68     14      0      0
 1959      0      0      0      1     58    209    232    358     97      0      0      0
 1960      0      0      0     25     27    106    229    257    115      5      0      0
 1961      0      0      0      0     30    135    236    225     87      8      0      0
 1962      0      0      0     14    146    172    241    247     51     45      0      0
 1963      0      0      2     13     54    307    336    223    104     78      0      0
 1964      0      0      0     12    142    181    358    187     99      1      0      0
 1965      0      0      0      8    141    153    280    239     51     19      0      0
 1966      0      0      0      2     52    182    395    176     49     23      0      0
 1967      0      0      9     18     77    153    229    172     25     18      0      0
 1968      0      0      0      8     15    228    245    225     28     32      0      0
 1969      0      0      0      0     55     80    280    221     54     12      0      0
 1970      0      0      0     29    109    194    292    210     91     10      0      0
 1971      0      0      0      4     25    343    195    169    148     32      0      0
 1972      0      0      0      1     77    153    245    234     96      3      0      0
 1973      0      0      0      0     12    211    279    246     57     15      0      0
 1974      0      0      0      7     26     98    406    138     38      0      0      0
 1975      0      0      0      0     81    158    310    285     48     21      0      0
 1976      0      0      0     12     24    161    336    210     85     20      0      0
 1977      0      0      0     33    139    240    427    165     59      0      0      0
 1978      0      0      0      0     81    210    302    252    203      2      0      0
 1979      0      0      0      0     40    174    259    260     89      9      0      0
 1980      0      0      0     19     83    173    409    301    118      2      0      0
 1981      0      0      0     33     36    212    306    198     91      0      0      0
 1982      0      0      0      2     41     77    317    214     95      8      0      0
 1983      0      0      0      0     13    213    418    453    144     16      0      0
 1984      0      0      0      6     21    210    266    322    107      2      0      0
 1985      0      0      0     48     68    144    299    182    185      0      0      0
 1986      0      0     13     18     41    243    376    151    128      0      0      0
 1987      0      0      0     31    118    275    374    212     46      0      1      0
 1988      0      0      0      0     93    322    373    408     94      2      0      0
 1989      0      0      5     32     53    149    328    228     52      4      0      0
 1990      0      0      0     25      6    183    242    222    154     12      1      0
 1991      0      0      4     18    133    245    294    211    107      4      0      0
 1992      0      0      0      1     47    110    135     84     48      7      0      0
 1993      0      0      0      0     17    127    215    240     13     14      0      0
 1994      0      0      0     16     41    195    189    152     78     10      0      0
 1995      0      0      0      0      4    162    299    370     48      8      0      0
 1996      0      0      0      1     38    180    199    173     45      4      0      0
 1997      0      0      0      0      9    175    295    155     74     54      0      0
 1998      0      0      2      0     83    139    303    265    155      4      0      0
 1999      0      0      0      0     37    179    425    175     58      1      0      0
 2000      0      0      3      0     70    154    258    285    151     16      0      0
 2001      0      0      0     21     51    175    361    288     49      8      0      0
 2002      0      0      0     19     34    265    399    216    124     16      0      0
 2003      0      0      0     24     13    145    288    341     67     17      0      0
 2004      0      0      1     12     77    132    213    137    110      0      0      0
 2005      0      0      0     12     32    269    359      0      0      0      0      0
 MEAN      0      0      1     11     55    187    300    235     86     13      0      0
