# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0364] ATLANTIC-1-NE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia0364 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     70     28     23     18    260    138    116     98
 1952     95     47     40     34    360    234    206    181
 1953    186     96     77     60    274    153    128    104
 1954    108     37     24     17    506    337    298    261
 1955    159     85     72     59    527    369    336    303
 1956    153     76     63     51    353    230    205    180
 1957    133     63     52     44    351    219    190    166
 1958     68     24     14      8    362    211    179    148
 1959    145     72     58     48    342    212    187    164
 1960     23      8      5      2    423    269    236    207
 1961    123     49     37     29    286    166    143    124
 1962     82     40     33     28    381    238    205    177
 1963    210    122    109     96    437    279    244    211
 1964    132     64     53     42    403    241    208    181
 1965     17      6      5      4    378    237    208    181
 1966    254    149    127    106    266    150    126    104
 1967    261    172    152    134    420    265    232    201
 1968    309    202    180    159    405    255    222    192
 1969     66     28     21     14    391    241    210    180
 1970     69     20     14      8    424    279    250    222
 1971    127     69     58     49    429    275    245    215
 1972    188    104     87     71    373    227    197    171
 1973    164     57     41     28    339    208    180    154
 1974    199    113     96     83    436    292    260    228
 1975     82     42     33     26    327    190    163    140
 1976    179    105     90     75    491    317    281    246
 1977    250    140    118     99    538    363    323    289
 1978    128     76     66     56    357    209    180    155
 1979    109     47     36     29    312    182    158    135
 1980    103     47     36     26    394    259    231    203
 1981    229    119     99     81    598    404    363    325
 1982    107     40     29     21    313    194    169    145
 1983    122     66     54     44    207    114     97     83
 1984     46      4      3      2    257    135    112     90
 1985    217    115     93     73    497    328    292    259
 1986    253    153    135    121    423    262    228    198
 1987    216    123    106     91    460    310    282    255
 1988    235    146    127    108    395    254    225    196
 1989    177    110     96     83    463    309    275    242
 1990    203    110     92     78    377    236    204    176
 1991    237    143    122    103    405    246    215    185
 1992    241    128    108     90    321    188    163    142
 1993     97     48     41     34    269    157    135    114
 1994    224    136    118    101    380    248    221    195
 1995    206    117     99     82    264    148    126    104
 1996    137     66     54     43    344    221    193    166
 1997    206    112     93     76    258    157    134    113
 1998    245    140    121    105    686    389    329    274
 1999    186    103     84     66    353    198    171    145
 2000    279    161    138    117    409    264    233    204
 2001     71     27     20     13    492    323    287    252
 2002    127     60     47     37    418    267    237    209
 2003    219    137    121    106    434    282    252    223
 2004    222    120     97     78    454    294    262    231
 2005    212    113     91     72    478    307    266    225
     ****************************  ****************************
 MEAN  161.9   87.0   72.9   60.5  390.9  245.1  214.9  186.8
 STDV   70.6   47.7   42.6   37.8   90.7   66.3   60.9   55.6

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    683    468    417    369    742    512    455    403
 1952    613    407    362    321   1010    774    717    660
 1953    628    434    392    351    983    748    690    632
 1954    518    349    310    273    947    707    650    595
 1955    730    510    464    420    781    560    509    459
 1956    694    482    436    393    955    723    665    608
 1957    594    378    334    294    854    618    560    502
 1958    715    509    463    420    806    575    521    472
 1959    717    494    442    391    919    680    621    564
 1960    630    423    377    335    832    596    540    486
 1961    571    380    338    297    828    606    556    508
 1962    855    622    567    514    846    610    554    500
 1963    669    445    394    347    981    742    684    627
 1964    802    568    514    464    874    646    592    538
 1965    784    556    501    448    881    644    588    533
 1966    578    409    370    333    863    633    578    525
 1967    549    369    329    289    841    611    556    502
 1968    543    361    323    285    932    697    642    589
 1969    687    471    423    376    761    542    492    444
 1970    790    574    524    474    907    671    615    561
 1971    554    355    313    274   1015    775    717    659
 1972    631    417    372    330    872    641    586    534
 1973    610    404    358    316    905    667    610    556
 1974    635    431    388    347    818    601    551    503
 1975    780    565    516    468    944    707    650    593
 1976    616    422    376    335    899    662    606    553
 1977    854    615    559    504    916    683    626    571
 1978    635    435    390    347    899    672    619    566
 1979    677    473    427    384    914    680    624    570
 1980    674    478    436    395    925    686    627    570
 1981    613    411    370    330    940    701    642    586
 1982    702    470    415    364    762    535    486    438
 1983    511    328    289    255    888    664    609    555
 1984    563    369    326    284    949    712    653    595
 1985    752    524    473    427    807    572    520    472
 1986    681    457    407    358    976    736    676    616
 1987    793    565    513    462    975    738    679    621
 1988    840    605    551    500    977    743    688    633
 1989    647    459    416    374    845    610    554    499
 1990    548    343    300    258    929    693    634    576
 1991    787    561    507    456    964    724    664    604
 1992    654    455    410    365    822    589    534    482
 1993    633    415    368    322    856    619    561    505
 1994    692    489    446    404    924    686    627    568
 1995    531    320    278    238    879    642    586    531
 1996    566    350    305    262    916    679    622    566
 1997    521    341    303    267    927    691    635    580
 1998   1593   1111    993    882   1694   1223   1111   1002
 1999    644    418    369    324    886    648    589    532
 2000    764    539    488    440    864    631    575    522
 2001    685    455    406    359    888    654    597    543
 2002    601    407    363    320   1010    772    714    657
 2003    585    378    336    298    832    597    541    490
 2004    736    515    462    410    829    596    542    492
 2005    636    434    390    347    986    746    686    627
     ****************************  ****************************
 MEAN  678.1  464.1  416.3  370.9  908.6  670.4  613.2  557.7
 STDV  154.8  118.1  108.3   99.1  126.8   98.9   92.1   85.0

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    965    718    657    597    972    725    664    604
 1952   1020    773    713    654    919    673    616    560
 1953   1039    791    731    671    975    733    677    625
 1954   1104    856    794    732    934    687    626    566
 1955   1151    903    841    779   1026    782    724    670
 1956    939    692    633    574    982    743    685    627
 1957   1128    880    818    756   1019    773    713    653
 1958    944    696    634    572    993    750    692    634
 1959    954    708    649    592   1105    857    795    735
 1960    959    715    655    596   1008    760    698    637
 1961    991    743    682    622    941    693    634    579
 1962    988    744    685    626    978    735    677    620
 1963   1079    831    769    707    987    741    681    622
 1964   1086    838    776    714    864    627    570    516
 1965   1012    764    702    641    920    675    616    559
 1966   1086    838    776    715    863    628    576    526
 1967    917    682    629    578    890    665    614    564
 1968   1021    776    717    659    989    747    689    633
 1969   1051    803    741    679    968    720    658    597
 1970    997    754    695    639    998    753    695    637
 1971    932    693    634    577    937    698    642    586
 1972    980    735    675    616    929    682    623    565
 1973    989    741    679    621   1009    763    703    643
 1974   1090    842    781    722    873    635    582    532
 1975   1042    796    738    680   1063    815    754    693
 1976   1053    805    744    687    977    735    676    617
 1977   1053    805    746    688    840    603    548    494
 1978    995    747    685    625    917    684    629    574
 1979   1017    769    708    647    984    736    675    615
 1980   1112    864    802    741   1073    825    763    701
 1981   1015    767    705    643    904    666    609    553
 1982   1057    809    747    687    929    685    626    568
 1983   1108    860    798    736   1128    880    818    756
 1984   1017    770    709    649   1011    767    708    650
 1985   1005    757    696    636    876    629    570    512
 1986   1083    835    773    711    859    615    557    501
 1987   1086    838    776    714    898    651    592    534
 1988   1037    789    727    666   1070    831    772    713
 1989   1036    788    726    664    965    720    661    602
 1990    979    731    671    612    993    747    688    629
 1991   1015    767    706    645    974    726    664    603
 1992    904    656    594    533    811    574    520    468
 1993   1025    777    715    653   1001    753    691    631
 1994    946    699    639    580    905    661    604    548
 1995   1042    795    734    673   1104    856    794    732
 1996    965    718    657    597    952    704    643    582
 1997   1044    798    737    676    938    692    633    575
 1998    101     77     71     65      0      0      0      0
 1999   1131    883    821    759    949    701    639    579
 2000   1027    779    718    657   1054    806    744    682
 2001   1107    859    797    735   1008    760    700    641
 2002   1106    858    796    734    990    742    682    623
 2003   1050    802    742    682   1030    782    720    658
 2004    968    720    660    601    854    615    561    509
 2005   1059    811    749    689      0      0      0      0
     ****************************  ****************************
