# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0364] ATLANTIC-1-NE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia0364   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113           9    28 271          158
   1952   4    25 116          10     3 277          161
   1953   4    27 117           9    22 265          148
   1954   5    10 130          10    18 291          161
   1955   4     8  98           9    12 255          157
   1956   4    30 121           9    30 274          153
   1957   5     6 126          10    18 291          165
   1958   4    29 119          10     1 274          155
   1959   5    15 135          10     9 282          147
   1960   5    12 133          10    16 290          157
   1961   5     2 122           9    28 271          149
   1962   4    23 113           9    20 263          150
   1963   5    23 143          10    28 301          158
   1964   4    10 101           9    28 272          171
   1965   4    28 118           9    24 267          149
   1966   5     9 129          10     1 274          145
   1967   5     9 129           9    28 271          142
   1968   5     5 126          10     3 277          151
   1969   5    12 132          10    14 287          155
   1970   5     2 122          10    10 283          161
   1971   5     3 123           9    24 267          144
   1972   4    25 116           9    30 274          158
   1973   5    15 135          10    29 302          167
   1974   4    24 114           9    22 265          151
   1975   4    20 110           9    25 268          158
   1976   5     8 129          10     6 280          151
   1977   4    26 116          10     3 276          160
   1978   5     3 123          10     4 277          154
   1979   5    12 132          10     5 278          146
   1980   5    14 135           9    26 270          135
   1981   5    11 131          10     2 275          144
   1982   4    27 117           9    21 264          147
   1983   5    15 135           9    22 265          130
   1984   4    24 115           9    26 270          155
   1985   4    15 105          10     1 274          169
   1986   4    22 112          10    13 286          174
   1987   4    12 102          10     3 276          174
   1988   4    28 119          10     4 278          159
   1989   5     7 127           9    24 267          140
   1990   5     2 122          10    10 283          161
   1991   4    24 114           9    19 262          148
   1992   5     6 127           9    29 273          146
   1993   4    21 111          10    10 283          172
   1994   4     9  99          10    25 298          199
   1995   4     5  95           9    22 265          170
   1996   4    27 118          10     8 282          164
   1997   5    16 136          10    20 293          157
   1998   4    17 107          12     1 335          228
   1999   4    18 108           9    21 264          156
   2000   4    12 103           9    21 265          162
   2001   4    24 114           9    25 268          154
   2002   5    19 139          10     7 280          141
   2003   4    22 112           9    29 272          160
   2004   5     3 124          10     2 276          152
             MEAN=119              MEAN=276     MEAN=157
