# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0364] ATLANTIC-1-NE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia0364
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    15    10     0    25        0     0    47    50     0    97
 1952     1    20    18     2     8    49        3    88    85     7    14   197
 1953     3    15    20    18    11    67        9    67   109   100    71   356
 1954     0    11    20     6     5    42        0    44   169    23    10   246
 1955     2     3    28    21    12    66        3     8   163   160    78   412
 1956     3    19    12    13     4    51       12    80    59    60    13   224
 1957     0     3    24    14     0    41        0     5   137    73     0   215
 1958     2     5     3    13     1    24        4    23     7    50     3    87
 1959     1     9     9    20     4    43        2    25    37    91    15   170
 1960     0     3    16    11     7    37        0     6    53    40    34   133
 1961     0     5    15    16     4    40        0    15    71    52    11   149
 1962     5     5    13    15     2    40       10     8    36    39     3    96
 1963     2    17    25    11     3    58        4    79   114    57     4   258
 1964     4     5    23     5     4    41        6    11   138    32    10   197
 1965     1     0     9    12     0    22        2     0    32    54     0    88
 1966     4     3    19     7     0    33       18     8   116    16     0   158
 1967     6     0    12     5     0    23       48     0    42    11     0   101
 1968     3    20    16    15     0    54        7    75    62    82     0   226
 1969     1     6    12     8     1    28        2    36    44    15     2    99
 1970     3     7    19    15     9    53        7    36    99    56    36   234
 1971     0    16     7    13    12    48        0    87    32    49    40   208
 1972     0    10     6    11     3    30        0    44    18    51     8   121
 1973     0    12     9     8     0    29        0    44    20    12     0    76
 1974     1    10    28     7     0    46        2    78   270    20     0   370
 1975     7    13    20    21     3    64       36    46   104   134    19   339
 1976     1     7    17    13     5    43        1    23    82    34    12   152
 1977     2    13    23     2     0    40        3    99   155     2     0   259
 1978     1    13    17     9     5    45        1    57    70    27    20   175
 1979     3    15     9    11     1    39        5    41    45    40     2   133
 1980     2    10    23    20     8    63        3    71   192    88    30   384
 1981     0    11    11     2     5    29        0    57    74     3    13   147
 1982     0     2    19     5     0    26        0     5    81    34     0   120
 1983     1    10    25    28    12    76        1    26   159   240    84   510
 1984     0     9    18    21     8    56        0    22   105   113    40   280
 1985     1     7    14     7     8    37        2    41    71    17    33   164
 1986     0    12    14     2     1    29        0    48    52     2     1   103
 1987     5    16    17     4     1    43       15    75    79    29     1   199
 1988     6    17    19    19     5    66       20   138   102   160    12   432
 1989     4     3    11     4     0    22       21    15    58    15     0   109
 1990     0     9     7    11    12    39        0    41    57    56    53   207
 1991     2    12    13     8     5    40        4    57    74    28    10   173
 1992     1     4     2     2     0     9        3     9     9     2     0    23
 1993     0     4     4    11     1    20        0     9    14    33     4    60
 1994     3    10     7     5     4    29       11    28    16    20    16    91
 1995     0    10    19    18     2    49        0    36   111    93     2   242
 1996     3    11     6     3     1    24        8    37    19     6     1    71
 1997     1    10    18    11     3    43        3    33    89    46    16   187
 1998     7    14     2     0     0    23       32    69     2     0     0   103
 1999     0     8    18     7     5    38        0    24   115    15    15   169
 2000     4     8     8    15    10    45       20    26    25    76    79   226
 2001     2    10    18    15     5    50        5    31   104    79    17   236
 2002     2    18    24    12    10    66        9    98   166    46    47   366
 2003     1     8    14    22     6    51        3    16    87   156    16   278
 2004     1     4     5     3     4    17        4    12    14     8     5    43
 2005     3    11    17     0     0    31        3    52    89     0     0   144
 **************************************************************************************
MEANS   1.9   9.3  14.9  10.7   4.0  40.8      6.4  40.2  79.6  50.9  16.4 193.5
