# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0364] ATLANTIC-1-NE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   7  11  16   9  11   7   7   8   8   3   6  97
1952     5   7  13   9  10  11   9  18   5   0   4   4  95
1953     4   7  11  11   9  10   7   5   3   4   2   0  73
1954     0   3   4   9   8  11   3  15   3   8   0   0  64
1955     4   0   0   5   5   8   2   5   5   2   1   1  38
1956     3   1   3   5  10   8   9  11   3   7   5   2  67
1957     5   3   6   8  13  11   7  11   7   9   8   3  91
1958     6   4   5   9   6   7  13   8   7   1   3   2  71
1959     4   3   5   7  17   7   4   9   9  10   4   5  84
1960     7   8   9   8  11  11   5   9   8   4   3   2  85
1961     2   6  11  10  10   8   6   8  10   4   3   7  85
1962     5  10   9   6  10   6   8   8   8   7   5   6  88
1963     6   5   9   7   5   7   6  11   9   4   2   3  74
1964     3   2   6  12  13  13   0   9   8   2   6   6  80
1965     6   9   8   7   0  12  13   9  14   3   3   3  87
1966     4   5   6   4   7  10   4   5   8   3   5   3  64
1967     3   1   3   8   7  14   6   6   7   8   2   5  70
1968     3   0   5  10  12   7  10  11  11   8   5   7  89
1969     8   6   5   8   9  10  11   7   3  10   2   6  85
1970     0   2   5   7   8   6  10   7  12   9   6   3  75
1971     3   5   4   5  12   7   8  10   6   9   8   5  82
1972     3   3   9   8  14   5   7  11  11   9  11   5  96
1973     4   4  14  11  14   7  14   8  14   6   4   5 105
1974     7   2   9   9  12   8   6  11   5   8   0   7  84
1975     9   5  10  11  12  13   4   8   9   1   9   3  94
1976     3   4   8  12   5   8   7   0   7   8   0   3  65
1977     6   0  10   9  11   8   9  16  10   7   7   7 100
1978     4   6   5   0  12   4  10   7   7   6   8   7  76
1979     9   4  11   7   7   9   7   7   4   5   6   3  79
1980     5   6   6   7   7   8  13  11   5   3   1   4  76
1981     2   0   0   8   8  10  11  12   6  11   7   5  80
1982     6   0  10   9  19   8   8  14  10  10   5   8 107
1983     5   5  12  10  13  13   3   4   7  12  12  10 106
1984     3   3   6  13  13  12   7   3   8  12   4   9  93
1985     5   5   6  10   9   9   6   8  11   7   7   4  87
1986     0   5   5  13  10   9  10   7  16  10   0   3  88
1987     0   1  12   4  13   7  12  11   7   6   6   8  87
1988     2   5   2   9  11   4   7   8   8   2  10   3  71
1989     5   4   3   8   7  11   7   8   6   8   3   7  77
1990     2   4  10   5  13  13  16  10   6   6   5   5  95
1991     5   2   9  15  15  11   7   7   6   8   9   4  98
1992     7   5  10  12   8   5  19   8  11   5   8   9 107
1993     7  10   9  13  19  13  20  15   8   6   4   5 129
1994     8   5   3  11   8  11  10  10   8   9   8   6  97
1995     3   5   9  16  15  10   6   4  12   9   4   4  97
1996     9   2   6   5  19  11  12   8   8   6  10   8 104
1997     6   8   5  12  11   9   8   8   9   7   8  11 102
1998    19  25  26  29  22  35   1   0   0   0   0   0 157
1999     5  11   4  16  16  13  10   6   8   4   4   6 103
2000     4   8   5   8  14  15  13   9   7   9   6  13 111
2001    13  12   5  17  17   9   8   6   9   7   6   5 114
2002    10   6  11  16  13   5  12  13  14  17   7   6 130
2003    10   9  12  15  15  14  12   9   5  11  11  11 134
2004    10  11  15   9  20  13  17  11   5  13  11   6 141
2005    14  11   7   9  14  13   7   0   0   0   0   0  75
STDDEV   4   4   4   4   4   4   4   4   3   4   3   3  21
AVG      5   5   8  10  11  10   9   8   8   7   5   5  91
