# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0385] AUDUBON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        2.10   0.26   66(67)   16(16)   12(12)    3( 3)    1( 1)    0       98
  2 3/8-->3/14       1.56   0.28   58(65)   18(20)   10(11)    3( 3)    0( 0)    0       89
  3 3/15-->3/21      1.87   0.23   72(76)   13(14)    5( 5)    5( 5)    0( 0)    0       95
  4 3/22-->3/28      1.90   0.36   55(60)   13(14)   14(15)   10(11)    0( 0)    0       92
  5 3/29-->4/4       3.39   0.31   68(60)   27(24)   11(10)    5( 4)    2( 2)    0      113
  6 4/5-->4/11       2.05   0.31   65(66)   12(12)   15(15)    6( 6)    1( 1)    0       99
  7 4/12-->4/18      1.76   0.31   78(64)   19(16)   15(12)    9( 7)    0( 0)    0      121
  8 4/19-->4/25      2.70   0.39   64(50)   28(22)   25(20)   10( 8)    1( 1)    0      128
  9 4/26-->5/2       2.60   0.41   76(55)   22(16)   27(20)   11( 8)    2( 1)    0      138
 10 5/3-->5/9        2.51   0.40   75(55)   29(21)   19(14)   10( 7)    4( 3)    0      137
 11 5/10-->5/16      2.48   0.39   65(53)   26(21)   23(19)    6( 5)    2( 2)    0      122
 12 5/17-->5/23      3.60   0.39   68(54)   20(16)   27(21)    9( 7)    2( 2)    0      126
 13 5/24-->5/30      2.60   0.45   82(57)   19(13)   19(13)   19(13)    4( 3)    0      143
 14 5/31-->6/6       3.09   0.37   75(58)   24(18)   22(17)    7( 5)    2( 2)    0      130
 15 6/7-->6/13       2.55   0.49   57(43)   22(17)   36(27)   15(11)    2( 2)    0      132
 16 6/14-->6/20      3.87   0.52   65(53)   13(11)   25(20)   17(14)    3( 2)    0      123
 17 6/21-->6/27      2.37   0.49   59(52)   19(17)   17(15)   18(16)    1( 1)    0      114
 18 6/28-->7/4       12.53   0.59   54(50)   20(18)   15(14)   17(16)    3( 3)    0      109
 19 7/5-->7/11       2.85   0.57   46(40)   27(24)   21(18)   16(14)    4( 4)    0      114
 20 7/12-->7/18      3.27   0.46   51(48)   23(22)   18(17)   11(10)    3( 3)    0      106
 21 7/19-->7/25      2.50   0.37   61(58)   20(19)   14(13)    8( 8)    2( 2)    0      105
 22 7/26-->8/1       2.40   0.38   60(57)   20(19)   14(13)    9( 8)    3( 3)    0      106
 23 8/2-->8/8        3.50   0.48   65(56)   14(12)   18(16)   16(14)    3( 3)    0      116
 24 8/9-->8/15       3.50   0.41   54(53)   18(18)   20(20)    7( 7)    3( 3)    0      102
 25 8/16-->8/22      2.55   0.43   53(49)   26(24)   18(17)   10( 9)    2( 2)    0      109
 26 8/23-->8/29      4.10   0.48   54(50)   24(22)   17(16)    8( 7)    4( 4)    0      107
 27 8/30-->9/5       2.95   0.50   48(49)   23(23)   10(10)   13(13)    4( 4)    0       98
 28 9/6-->9/12       5.57   0.58   46(51)   10(11)   19(21)   12(13)    3( 3)    0       90
 29 9/13-->9/19      4.63   0.40   53(50)   25(24)   17(16)   10( 9)    1( 1)    0      106
