# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0385] AUDUBON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia0385
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  52 -19  57 -21  75 -23  85  14  90  27  88  40 100  44 100  51  96  38  90  28  76  19  62  -5
  2  55 -13  64 -27  75  -5  87  15  91  23  93  41  98  47  98  52  94  44  92  25  78   6  65  -5
  3  52 -12  50 -27  78  -3  82   5  87  27  95  40  98  47  98  49 101  36  89  28  78   6  62  -1
  4  50 -15  53 -23  72 -15  79  18  88  27  95  39  97  41  96  45  95  41  93  22  76  -1  59  -1
  5  63 -19  57 -19  71 -23  84  17  91  29  98  43  98  43  97  44  93  33  92  22  69   9  65  -8
  6  46 -14  59 -12  74 -10  88   9  90  26  97  41 100  50  98  47  95  35  91  23  76   4  65 -11
  7  51 -18  64 -12  74  -8  82  11  94  26  96  42  98  49  98  44  96  35  89  23  77 -12  62 -10
  8  62 -17  59 -20  76 -10  81  16  89  28 101  43  98  51  97  46  96  38  83  19  74  -6  60 -13
  9  61 -19  60 -20  74  -9  87  15  90  29  96  42  98  47  95  46  99  37  85  16  78  14  53 -13
 10  55 -25  62 -20  73  -3  86  17  87  30  97  40  99  46  98  48  93  37  87  16  71   5  59  -7
 11  54 -14  69 -21  68  -5  89  21  90  32  97  44 102  52  94  47  92  34  87  19  71  -6  63 -17
 12  55 -24  69 -24  73 -16  89  15  94  31  96  44 103  50 100  45  94  30  87  21  69   0  62 -16
 13  61 -19  62 -10  72 -12  78  15  88  27  98  41 104  50  95  42  91  36  86  24  70  -5  55 -15
 14  51 -28  65 -11  70  -9  84  19  91  35 100  44 100  49  99  46  97  35  87  27  78  -7  53 -11
 15  60 -20  62 -12  72   5  88  18  90  31  98  44  96  50 101  44  96  31  87  22  69   7  55 -16
 16  60 -22  63 -23  77   9  88  19  90  32  95  43  98  50 100  48  93  34  85  24  73  -2  61 -18
 17  59 -19  65 -29  76   2  84  20  90  36  94  43 102  51 101  49  94  34  83  19  76  -5  58 -13
 18  54 -17  63 -10  78   0  91  18  93  37  98  47 102  53 100  45  94  36  79  22  72   6  66 -17
 19  52 -22  64 -10  78   0  88  16  90  35  99  47 104  53  99  45  92  29  83  14  70   7  58 -20
 20  58 -22  65  -5  70   2  88  23  90  33 101  42 100  50  97  42  90  28  86  10  65   5  57 -19
 21  57 -24  64 -12  70  -4  91  23  90  36 101  40 106  48 100  46  88  29  84  18  70  -2  56 -23
 22  57 -16  65  -9  80   7  93  24  93  28 100  43 101  50  97  48  87  27  82  19  68   2  56 -26
 23  62 -25  60 -17  77   4  90  21  92  29  98  44  96  51  96  43  82  29  81  18  65   4  58 -29
 24  67 -20  67 -13  82   0  89  18  99  40 100  46  94  53  96  46  87  28  79  15  60   2  52 -21
 25  54 -16  66  -1  79   3  91  26  99  40  99  41  96  52  99  43  87  31  79  16  71  -5  50 -21
 26  59 -17  62 -25  82  -7  93  28  96  37  99  47 102  44 100  46  91  29  82  19  68  -1  57 -17
 27  65 -21  67 -10  79   7  90  27  90  33  98  44 102  45 103  43  89  30  80  13  64   0  55  -9
 28  57 -18  69 -18  84   7  90  27  92  34  98  51 102  46 101  39  98  27  82  12  67  -6  63  -8
 29  54 -25  66 -11  90   2  91  23  91  37  97  49 102  46 100  40  92  28  79  19  60  -2  59  -9
 30  54 -21 *** ***  86   5  90  26  91  37  98  48 105  43  97  49  89  26  75  13  69  -7  59 -14
 31  58 -21 *** ***  83  16 *** ***  89  39 *** *** 107  44  97  40 *** ***  81  13 *** ***  58 -17
