# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0385] AUDUBON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia0385   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113           9    28 271          158
   1952   4    16 107          10     6 280          173
   1953   4    26 116          10    27 300          184
   1954   5     4 124          10    30 303          179
   1955   3    28  87          10     8 281          194
   1956   4    30 121           9    30 274          153
   1957   4    14 104          10    18 291          187
   1958   4    29 119          10    11 284          165
   1959   4    22 112          10     9 282          170
   1960   4    30 121          10    16 290          169
   1961   5     2 122           9    28 271          149
   1962   4    17 107           9    20 263          156
   1963   5    22 142          10    29 302          160
   1964   4     9 100          10     9 283          183
   1965   4    28 118          10    24 297          179
   1966   5     1 121          10    16 289          168
   1967   5     2 122          10    11 284          162
   1968   4    25 116          10     4 278          162
   1969   4     6  96          10    14 287          191
   1970   4     4  94          10    16 289          195
   1971   4    14 104          10    31 304          200
   1972   4     8  99          10    18 292          193
   1973   4    13 103          10    29 302          199
   1974   4     8  98          10     2 275          177
   1975   4    12 102          10    25 298          196
   1976   5     3 124          10     8 282          158
   1977   4     6  96          11     9 313          217
   1978   4    21 111          10    28 301          190
   1979   4    28 118          10    13 286          168
   1980   5     8 129          10    12 286          157
   1981   4    15 105          10    19 292          187
   1982   4    22 112          10    20 293          181
   1983   4    19 109          11    10 314          205
   1984   4     1  92           9    29 273          181
   1985   4     9  99          11     2 306          207
   1986   4    22 112          10    14 287          175
   1987   4     5  95          10     3 276          181
   1988   4    24 115          10     5 279          164
   1989   5     7 127           9    24 267          140
   1990   5     2 122          10    10 283          161
   1991   4    24 114           9    20 263          149
   1992   5     6 127          10    17 291          164
   1993   4    22 112          10    10 283          171
   1994   4     9  99          10    25 298          199
   1995   4     5  95           9    22 265          170
   1996   4    27 118          10    24 298          180
   1997   5    13 133          10    20 293          160
   1998   4     6  96          11     5 309          213
   1999   3    30  89          10     4 277          188
   2000   4    13 104           9    22 266          162
   2001   4    24 114          10     6 279          165
   2002   4     6  96          10     7 280          184
   2003   4    10 100           9    29 272          172
   2004   5     5 126          10     2 276          150
             MEAN=110              MEAN=286     MEAN=176
