# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0576] BEDFORD-1-NNW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia0576   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    20 110           9    28 271          161
   1952   4    15 106          10     6 280          174
   1953   4    20 110          10     7 280          170
   1954   5     4 124          10    30 303          179
   1955   4     7  97          10    15 288          191
   1956   4    24 115          11     8 313          198
   1957   4    14 104          10    25 298          194
   1958   4    29 119          10    26 299          180
   1959   4    22 112          10     9 282          170
   1960   4    10 101          10    19 293          192
   1961   5     2 122          10    20 293          171
   1962   4    17 107          10    25 298          191
   1963   3    22  81          10    29 302          221
   1964   4     9 100           9    28 272          172
   1965   4    19 109           9    24 267          158
   1966   5     2 122          10     1 274          152
   1967   5     2 122          10    11 284          162
   1968   4    25 116          10     4 278          162
   1969   4     6  96          10    14 287          191
   1970   5     2 122          10    10 283          161
   1971   5     3 123          10    10 283          160
   1972   4    25 116           9    30 274          158
   1973   4    28 118          10    29 302          184
   1974   4    15 105           9    29 272          167
   1975   4    20 110          10     2 275          165
   1976   5     3 124          10     6 280          156
   1977   4    26 116          10    16 289          173
   1978   5     3 123          10     7 280          157
   1979   4     9  99          10    10 283          184
   1980   5     8 129          10     3 277          148
   1981   4    15 105          10    19 292          187
   1982   4    22 112          10    20 293          181
   1983   4    19 109          10    13 286          177
   1984   4     1  92           9    29 273          181
   1985   4     9  99          10     1 274          175
   1986   4    22 112          10    14 287          175
   1987   4     4  94          10     3 276          182
   1988   4    28 119          10     5 279          160
   1989   5     6 126          10     7 280          154
   1990   4    30 120          10    10 283          163
   1991   4    10 100           9    19 262          162
   1992   4    22 113          10    17 291          178
   1993   4     9  99          10    10 283          184
   1994   4     7  97          10    25 298          201
   1995   4    13 103           9    22 265          162
   1996   4    16 107          10    30 304          197
   1997   5     1 121          10    22 295          174
   1998   4    17 107          10    22 295          188
   1999   4    18 108          10     4 277          169
   2000   4    13 104          10     6 280          176
   2001   4    19 109          10    17 290          181
   2002   4     5  95          10    13 286          191
   2003   4    10 100          11     5 309          209
   2004   5     3 124          10     2 276          152
             MEAN=109              MEAN=285     MEAN=176
