# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0600] BELLE-PLAINE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia0600
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1470   1178   1141    602    120     56      6      7    158    412   1027   1356
 1952   1362    984    997    446    200      9      0     15     93    565    786   1158
 1953   1282   1017    868    616    197     14      6      5    111    276    735   1132
 1954   1392    795   1005    382    291     42      0      3     63    409    711   1144
 1955   1352   1179    917    282    110     55      0      1     80    381   1002   1347
 1956   1403   1191    960    534    159     19      3     18    126    191    825   1149
 1957   1539    971    904    452    210     30      0      6    133    478    871   1053
 1958   1280   1334    956    463    128     56      8     27     95    328    719   1373
 1959   1554   1191    952    499    138     18      9      0    129    509   1089   1002
 1960   1338   1286   1341    448    188     34      2      2     99    398    750   1274
 1961   1363    988    875    648    269     31      0      3    171    330    812   1373
 1962   1576   1226   1107    536     81     35     12      2    169    346    784   1269
 1963   1714   1309    773    392    201     14      5     18     80    108    668   1567
 1964   1181   1076    987    448     78     36      0     36    135    452    696   1310
 1965   1449   1225   1251    497    104     17      0     26    156    373    761    976
 1966   1606   1151    759    573    303     32      0     15    139    402    785   1237
 1967   1264   1256    815    443    302     15     33     36    138    467    883   1143
 1968   1373   1229    693    403    248     27      6     18    104    398    856   1303
 1969   1499   1110   1114    408    182     86      1      0     90    492    809   1286
 1970   1642   1115   1007    454    122     29      8      3    128    392    826   1202
 1971   1562   1202    983    446    270      5     19     11    110    213    791   1124
 1972   1484   1340    929    531    176     49     19     20    110    518    921   1427
 1973   1327   1051    635    531    231      4      0      2    109    243    757   1331
 1974   1410   1090    860    393    264     49      0     23    206    377    810   1173
 1975   1319   1175   1161    610    116     22     13      0    195    348    647   1117
 1976   1353    897    803    370    214      7      2     12    124    578   1024   1446
 1977   1764   1052    662    285     49      8      0     13     52    448    849   1380
 1978   1698   1444   1032    458    210     10      0      5     60    453    820   1355
 1979   1799   1476    966    578    195     16      6     15     90    398    843   1068
 1980   1329   1321    976    463    143     20      0      0     93    516    758   1190
 1981   1263   1026    743    299    210      2      9     11     90    460    711   1256
 1982   1713   1221    971    589     74     52      1     15    131    370    819   1016
 1983   1215    955    835    604    237     20      0      0    117    406    732   1651
 1984   1419    922   1088    513    229      4      5      9    169    344    747   1116
 1985   1543   1217    728    322     74     33      0      9    163    395    995   1637
 1986   1302   1245    730    354    112      6      0     33     66    393    968   1152
 1987   1206    835    719    367     92      5      2     33     83    544    665   1108
 1988   1473   1306    826    472     67      8      0     14     70    596    803   1178
 1989   1069   1413    943    495    228     44      0     10    179    378    891   1573
 1990   1101   1003    747    505    250     31      4      3    114    442    666   1375
 1991   1570    986    774    396    135      0      0      7    175    471   1045   1134
 1992   1177    957    796    545    190     28     19     55    182    444    949   1291
 1993   1453   1266   1063    602    177     64      1      6    241    499    918   1222
 1994   1695   1360    870    487    191     26      3     32    123    345    758   1152
 1995   1486   1152    861    645    253     29      9      0    199    461   1077   1285
 1996   1518   1300   1138    607    319     51      6      3    188    437   1088   1375
 1997   1583   1127    881    639    379     12     21     13    106    508    952   1182
 1998   1289    831    996    491    100     86      0      0     58    401    773   1120
 1999   1523    903    960    465    175     41      2      5    171    448    685   1260
 2000   1455    969    673    485    123     37      8      4    146    328    977   1726
 2001   1407   1319   1127    401    181     79      2     12    187    502    539   1062
 2002   1125   1010   1060    540    303     18      1     20     98    571    942   1152
 2003   1463   1318   1003    487    247     60      3      0    191    439    893   1144
 2004   1484   1250    784    486    191     48     13     76     77    458    748   1235
 2005   1449    974    948    372    277      4      8      0      0      0      0      0
 MEAN   1430   1140    922    479    188     30      5     13    127    416    833   1253
