# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0600] BELLE-PLAINE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    1    0    0    0
 Sep 14    1    0    0    0
 Sep 16    1    0    0    0
 Sep 18    3    0    0    0
 Sep 20    7    1    0    0
 Sep 22   14    1    0    0
 Sep 24   18    3    0    0
 Sep 26   24    3    0    0
 Sep 28   31    5    0    0
 Sep 30   38   12    3    0
 Oct 02   44   18    7    1
 Oct 04   51   22    9    1
 Oct 06   64   31   14    3
 Oct 08   68   33   20    5
 Oct 10   77   37   24    7
 Oct 12   81   42   29    7
 Oct 14   87   44   29    7
 Oct 16   90   51   35    7
 Oct 18   90   62   44    9
 Oct 20   96   68   50   14
 Oct 22   96   72   57   18
 Oct 24   96   75   64   22
 Oct 26   96   83   72   31
 Oct 28   98   85   72   35
 Oct 30  100   88   79   40
 Nov 01  100   90   83   48
 Nov 03  100   96   87   55
 Nov 05  100  100   92   61
 Nov 07  100  100   94   66
 Nov 09  100  100   98   72
 Nov 11  100  100  100   77
 Nov 13  100  100  100   85
 Nov 15  100  100  100   88
 Nov 17  100  100  100   90
 Nov 19  100  100  100   96
 Nov 21  100  100  100   96
 Nov 23  100  100  100   96
 Nov 25  100  100  100   98
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
