# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0608] BELLEVUE-L-AND-D-12
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia0608   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113           9    29 272          159
   1952   4    16 107          10     3 277          170
   1953   4    21 111          10     7 280          169
   1954   5     7 127          10    18 291          164
   1955   4     8  98          10    19 292          194
   1956   4    30 121          10     9 283          162
   1957   4    15 105          10    11 284          179
   1958   5     7 127          10     1 274          147
   1959   4    22 112          10    12 285          173
   1960   4    18 109          10    20 294          185
   1961   4    29 119          10     2 275          156
   1962   4    16 106          10    24 297          191
   1963   5    23 143          11     2 306          163
   1964   4    15 106          10     6 280          174
   1965   4     3  93          10    24 297          204
   1966   5    10 130          10     6 279          149
   1967   5     7 127           9    29 272          145
   1968   4    15 106          10     5 279          173
   1969   4    29 119          10    14 287          168
   1970   4    12 102          10    16 289          187
   1971   4    24 114          11     1 305          191
   1972   4    26 117          10    15 289          172
   1973   4    13 103          11     5 309          206
   1974   5     6 126           9    23 266          140
   1975   4    21 111          10     2 275          164
   1976   5     8 129           9    24 268          139
   1977   4    29 119          10    13 286          167
   1978   5     2 122          10    17 290          168
   1979   5     1 121          10    13 286          165
   1980   5     9 130          10     5 279          149
   1981   4    21 111          10     3 276          165
   1982   4    21 111          10    21 294          183
   1983   5     9 129          10    13 286          157
   1984   4    24 115           9    26 270          155
   1985   4     9  99          10     6 279          180
   1986   4    23 113          11     2 306          193
   1987   4     5  95          10     3 276          181
   1988   4    25 116          10     6 280          164
   1989   5     8 128           9    24 267          139
   1990   4    19 109          10    11 284          175
   1991   4     2  92           9    28 271          179
   1992   5     7 128          10    17 291          163
   1993   4    23 113           9    30 273          160
   1994   4    24 114          10    27 300          186
   1995   4     6  96           9    23 266          170
   1996   4    27 118          10    11 285          167
   1997   5    17 137          10    15 288          151
   1998   4    18 108          10    22 295          187
   1999   4    20 110          10    14 287          177
   2000   4    13 104          10     7 281          177
   2001   4    19 109          10     6 279          170
   2002   4     7  97          10    20 293          196
   2003   4    11 101          10     1 274          173
   2004   5     4 125          10     5 279          154
             MEAN=113              MEAN=283     MEAN=170
