# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0753] BLOOMFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia0753 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     53     12      7      3    303    173    149    126
 1952    108     51     40     33    402    258    228    200
 1953    169     79     63     49    286    151    126    104
 1954    117     44     31     20    528    345    302    262
 1955    177     95     80     65    553    363    321    283
 1956    178     94     79     65    370    243    215    188
 1957    148     63     48     38    413    252    219    188
 1958    100     35     26     18    377    222    190    161
 1959    142     66     52     43    390    229    197    168
 1960     38     16     12      8    400    245    215    187
 1961    164     78     65     54    282    154    131    110
 1962    113     59     48     39    384    241    211    184
 1963    238    131    115    100    470    305    268    234
 1964    149     79     66     54    427    273    241    210
 1965     24      8      6      4    376    223    191    162
 1966    280    173    148    124    322    186    157    132
 1967    275    176    154    134    440    273    236    203
 1968    307    183    157    134    452    274    237    205
 1969    101     57     49     42    418    262    227    195
 1970    113     49     38     28    451    300    266    234
 1971    146     69     57     47    471    312    279    247
 1972    190    108     94     81    398    239    207    178
 1973    244    114     88     66    344    195    166    141
 1974    231    123    104     86    479    309    272    236
 1975    103     59     49     40    341    200    171    145
 1976    241    126    104     86    492    324    285    249
 1977    279    159    135    114    557    368    325    284
 1978    113     59     49     41    403    248    215    184
 1979    154     80     66     54    309    175    149    125
 1980    127     53     41     30    407    254    223    194
 1981    254    138    115     96    598    409    366    325
 1982    157     71     53     38    347    216    188    162
 1983    198    111     94     78    252    129    110     95
 1984     64     15      9      6    336    184    156    128
 1985    272    150    123     99    573    388    350    313
 1986    296    168    147    129    530    357    319    283
 1987    272    152    129    109    536    354    317    285
 1988    277    174    150    127    447    296    264    234
 1989    255    161    140    121    469    307    272    239
 1990    283    164    139    115    441    279    244    211
 1991    317    187    158    133    487    308    270    235
 1992    268    141    118     98    399    240    207    179
 1993    121     58     47     37    351    199    169    142
 1994    246    137    117     99    456    305    273    243
 1995    263    167    148    129    364    211    180    152
 1996    143     66     53     42    413    263    232    203
 1997    259    137    114     93    332    198    171    145
 1998    143     85     74     65    342    190    162    136
 1999    150     74     59     46    387    223    193    165
 2000    260    151    130    110    367    225    195    170
 2001     70     22     16     10    501    330    291    254
 2002    143     70     54     42    377    234    204    177
 2003    176    100     87     76    405    260    231    203
 2004    219    112     91     71    433    271    234    201
 2005    148     75     62     52    455    283    246    212
     ****************************  ****************************
 MEAN  183.2   97.9   81.8   67.7  415.3  259.2  226.6  196.6
 STDV   76.7   50.4   44.5   39.0   77.5   62.9   58.3   53.7

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    738    511    460    410    815    579    521    465
 1952    672    449    401    353   1022    782    722    662
 1953    647    443    398    354   1020    780    721    662
 1954    577    384    342    302    989    750    691    633
 1955    775    534    481    432    846    606    549    495
 1956    791    568    519    472   1001    767    710    653
 1957    689    460    411    367    943    704    646    588
 1958    747    520    471    424    839    599    539    482
 1959    766    536    481    427    960    720    661    602
 1960    640    428    379    333    865    627    569    512
 1961    590    387    341    302    900    664    608    554
 1962    868    630    574    520    879    641    586    532
 1963    649    431    383    340    965    726    668    611
 1964    854    610    554    503    910    675    618    561
 1965    800    574    521    469    869    630    572    516
 1966    580    388    349    316    842    611    554    501
 1967    567    376    337    299    907    668    610    554
 1968    584    377    334    294    967    727    668    611
 1969    677    464    415    369    785    559    506    457
 1970    802    567    514    463    909    669    609    551
 1971    613    406    361    318   1049    809    749    689
 1972    723    494    443    395    889    654    600    546
 1973    613    395    346    303    966    726    666    606
 1974    669    458    411    364    805    568    514    462
 1975    722    505    458    413    887    648    591    538
 1976    604    401    357    315    902    662    603    546
 1977    874    636    579    522    959    721    663    606
 1978    660    442    395    351    944    704    645    587
 1979    692    477    429    385    941    701    642    585
 1980    765    538    485    438    918    678    618    560
 1981    617    407    362    318    967    727    667    607
 1982    792    548    492    437    827    589    532    476
 1983    591    379    335    293    966    727    669    611
 1984    610    400    359    320   1003    763    704    645
