# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0753] BLOOMFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia0753   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    31 304          197
   1952   4    15 106          10     6 280          174
   1953   4    21 111          11     5 309          198
   1954   4     4  94          10    30 303          209
   1955   3    28  87          10    31 304          217
   1956   4    24 115          11     9 314          199
   1957   4    14 104          10    25 298          194
   1958   4    29 119          11     6 310          191
   1959   4    13 103          11     5 309          206
   1960   4    10 101          10    20 294          193
   1961   4    16 106          10    20 293          187
   1962   4    16 106          10    24 297          191
   1963   4     4  94          10    29 302          208
   1964   4     4  95          10     9 283          188
   1965   3    31  90          10    24 297          207
   1966   5    10 130          11     2 306          176
   1967   4    24 114          10    11 284          170
   1968   3    23  83          10    25 299          216
   1969   4     6  96          10    14 287          191
   1970   4     5  95          10    16 289          194
   1971   4     6  96          11     4 308          212
   1972   4     8  99          10    15 289          190
   1973   4    13 103          11     5 309          206
   1974   4    24 114          10     2 275          161
   1975   4    11 101          10     2 275          174
   1976   4    12 103          10     8 282          179
   1977   4     6  96          11    10 314          218
   1978   3    27  86          11     7 311          225
   1979   4     6  96          10    13 286          190
   1980   4    12 103          10    26 300          197
   1981   4     6  96          10    23 296          200
   1982   4    11 101          10    22 295          194
   1983   4    19 109          11     5 309          200
   1984   3    29  89          11     2 307          218
   1985   4     9  99          11     4 308          209
   1986   4    22 112          11    10 314          202
   1987   4     3  93          10    11 284          191
   1988   3    21  81          10    12 286          205
   1989   4    13 103          11     2 306          203
   1990   4    12 102          10    22 295          193
   1991   3    30  89          10    19 292          203
   1992   4     2  93          10    17 291          198
   1993   4     5  95          10    30 303          208
   1994   4     7  97          10    26 299          202
   1995   4     5  95          11     3 307          212
   1996   4     9 100          11     1 306          206
   1997   4    14 104          10    22 295          191
   1998   3    25  84          11     5 309          225
   1999   3    27  86          10    24 297          211
   2000   4    12 103          10     7 281          178
   2001   3    28  87          10    27 300          213
   2002   4     6  96          10    16 289          193
   2003   4    12 102          10     2 275          173
   2004   4    14 105          11    12 317          212
             MEAN= 99              MEAN=297     MEAN=198
