# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0753] BLOOMFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia0753
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.68  2.37  2.68  3.88  5.04  8.92  3.51  4.98  1.16  4.31  1.39  1.15 40.07
 1952  0.83  0.56  2.13  3.75  2.70  7.66  2.42  6.75  0.71  0.00  2.22  2.37 32.10
 1953  0.91  3.17  5.28  2.33  1.52  6.59  2.74  0.32  1.15  0.30  0.61  2.12 27.04
 1954  0.05  1.26  3.49  4.79  3.18  3.97  2.25  6.14  0.52  8.98  0.25  1.16 36.04
 1955  2.35  1.78  0.68  4.93  4.21  4.93  2.41  2.05  2.82  2.14  0.23  0.13 28.66
 1956  0.38  1.38  0.74  2.14  0.97  1.94  2.90  7.97  0.03  0.93  0.68  0.61 20.67
 1957  0.68  0.34  2.56  4.30  2.78  3.57  5.80  0.13  4.52  3.13  2.67  0.00 30.48
 1958  0.75  0.35  0.47  2.10  3.95  5.10  9.37  4.35  2.89  0.97  3.95  0.26 34.51
 1959  1.64  0.86  1.11  3.52  4.87  3.83  2.71  7.25  7.15  3.59  0.25  2.44 39.22
 1960  4.24  1.90  1.99  2.85  5.85  7.83  1.85  3.36  1.79  3.49  0.52  0.75 36.42
 1961  0.55  2.14  5.20  2.90  1.99  1.34  5.17  0.88 10.14  4.44  4.00  1.61 40.36
 1962  2.02  1.92  0.97  0.96  5.98  2.33  3.84  4.23  2.47  3.97  1.21  0.45 30.35
 1963  0.60  0.43  3.83  2.54  2.85  0.93  4.06  3.21  3.04  0.92  2.50  0.42 25.33
 1964  0.25  0.61  1.96  4.76  1.33  7.87  5.10  2.37  3.91  0.05  1.00  0.63 29.84
 1965  3.20  0.41  2.68  5.80  3.76  3.61  2.98  4.72  7.08  0.88  1.70  2.12 38.94
 1966  0.78  0.50  1.39  3.10  3.25  4.18  4.19  1.48  2.43  2.15  0.40  1.71 25.56
 1967  0.92  0.91  2.46  6.33  3.73  5.41  2.40  0.97  5.68  8.24  0.96  1.50 39.51
 1968  0.34  0.49  2.65  3.67  2.81  2.21  2.28  4.56  3.32  1.63  2.01  1.41 27.38
 1969  3.10  1.12  1.28  4.30  3.69  4.32  6.30  3.49  4.04  4.82  0.05  0.94 37.45
 1970  0.36  0.11  1.88  3.90  5.38  4.27  1.39 14.31  9.70  3.68  1.30  2.58 48.86
 1971  0.98  1.46  0.98  1.68  2.50  1.04  4.28  2.88  3.64  2.93  2.62  5.33 30.32
 1972  0.49  0.71  2.27  5.09  3.96  2.21  3.59  3.83  2.99  1.63  3.41  1.58 31.76
 1973  3.26  1.24  4.32 10.24 10.08  2.54  6.55  3.60  8.04  4.01  1.62  2.16 57.66
 1974  2.43  0.77  2.74  1.19  7.16  6.11  6.73  4.23  3.45  3.08  1.75  1.06 40.70
 1975  1.05  1.15  2.13  3.02  3.83  2.89  0.41  5.65  4.20  0.55  2.49  0.25 27.62
 1976  0.53  1.24  3.98  6.53  4.31  3.89  3.02  2.90  2.90  3.03  0.41  0.16 32.90
 1977  0.57  0.50  4.22  2.51  2.75  1.65  0.79 12.21  6.63  4.49  1.45  1.10 38.87
 1978  0.76  1.31  0.97  6.63  5.31  5.20  4.75  4.69  7.70  1.24  2.92  0.67 42.15
 1979  1.73  0.55  4.43  3.57  3.41  5.75  4.94  5.69  0.65  2.90  2.66  1.22 37.50
 1980  1.33  0.80  1.97  1.60  0.87 10.87  3.41 13.21  4.88  2.51  0.68  2.93 45.06
 1981  0.00  1.54  0.43  3.69  5.11  8.95  7.54  4.66  3.26  3.60  3.37  1.27 43.42
 1982  2.89  0.79  4.45  3.36  7.15  3.09 13.37  5.72  2.97  3.23  3.08  3.99 54.09
 1983  0.53  1.11  2.52  4.11  2.56  2.92  0.75  2.74  3.34  4.05  7.79  1.79 34.21
 1984  0.40  1.06  2.14  3.85  4.70  5.79  9.02  0.39  3.47  7.30  2.43  1.64 42.19
 1985  0.96  1.64  3.37  0.50  2.66  4.88  6.06  1.86  4.80  6.42  4.07  1.65 38.87
 1986  0.01  1.38  1.64  2.99 10.23  2.87  7.45  5.29 11.60  5.23  0.83  0.86 50.38
 1987  0.53  0.57  3.36  2.23  3.01  3.54  1.71  4.82  3.43  0.41  4.45  3.03 31.09
 1988  1.01  0.51  0.90  0.75  2.51  3.24  2.90  4.31  2.63  0.41  2.53  0.72 22.42
 1989  0.89  0.83  0.97  1.12  4.18  2.69  2.08  3.49  4.17  2.39  0.02  0.37 23.20
 1990  1.02  2.10  3.57  2.49  5.58  7.36  9.13  3.03  0.84  1.34  3.30  1.74 41.50
 1991  1.06  0.58  4.92  4.22  6.68  2.33  2.82  3.08  2.07  3.90  4.99  1.32 37.97
 1992  0.77  1.91  2.93  4.55  1.05  0.60  8.06  1.94  4.89  0.43  5.91  1.87 34.91
 1993  2.25  1.44  3.52  4.29  5.24 10.36 13.71  4.41  6.07  1.11  1.55  0.52 54.47
 1994  0.38  1.78  0.35  4.56  3.58  5.24  3.97  1.63  2.73  2.24  3.66  1.81 31.93
 1995  1.33  0.91  1.49  5.45 10.11  4.86  4.77  5.94  2.60  1.41  1.89  0.36 41.12
 1996  2.16  0.80  1.50  1.56 10.89  3.58  2.95  4.30  3.77  1.74  1.07  0.12 34.44
 1997  1.07  3.45  1.00  3.20  4.56  3.22  4.36  4.69  2.92  3.87  1.26  2.02 35.62
 1998  1.88  2.00  4.51  4.33  4.57  4.99  1.79  6.92  4.88  5.57  3.38  0.87 45.69
 1999  1.47  0.89  0.96  5.02  5.06  3.23  1.16  2.63  3.86  1.67  0.79  1.16 27.90
 2000  0.83  1.34  0.87  1.62  2.33  8.67  4.67  2.37  3.41  1.87  1.39  1.39 30.76
 2001  1.95  3.82  3.27  2.29  9.62  5.97  3.41  5.88  4.36  3.71  0.59  1.34 46.21
 2002  1.16  0.78  1.94  4.61  6.06  2.41  5.94  2.91  1.30  3.41  0.15  0.10 30.77
 2003  0.49  1.07  0.79  4.89  5.21  4.26  4.27  1.93  5.30  1.17  2.68  2.40 34.46
 2004  1.51  0.72  4.22  1.23  6.92  2.42  4.89 13.37  0.94  5.08  2.05  1.03 44.38
 2005  2.54  1.65  0.71  3.84  2.12  6.48  1.47 -9.99 -9.99 -9.99 -9.99 -9.99      
 MEAN  1.22  1.22  2.36  3.56  4.47  4.49  4.37  4.46  3.87  2.90  2.06  1.37 35.73
 PRECIPITATION MEANS AND TOTALS ARE BASED ON DATA AVAILABLE
 NO ATTEMPT WAS MADE TO ESTIMATE MISSING PRECIPITATION DATA
 *****************************************************************************************
 *****************************************************************************************
