# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0923] BRITT
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia0923
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     1    15     3     0    19        0     2    39    10     0    51
 1952     3    15    12     5     6    41        6    58    45    12    15   136
 1953     2    13    14     9     3    41       10    70    49    43    15   187
 1954     1    10    18     2     2    33        2    39    92     8     6   147
 1955     5     3    22    25     7    62       13    10   144   169    51   387
 1956     6    20     7    12     4    49       16   114    25    51    17   223
 1957     0     4    20    10     0    34        0    15   128    33     0   176
 1958     0     5     2    19     1    27        0    14     6    86     1   107
 1959     3    11     9    19     3    45       12    47    24    79    12   174
 1960     0     3    14     7     7    31        0     7    54    28    47   136
 1961     2     9     6     6     2    25        5    45    15    13     4    82
 1962     6     6     5     6     1    24       11    15    11    10     2    49
 1963     0    10     7     3     0    20        0    44    24    12     0    80
 1964     4    10    18     5     2    39       15    39    79    22     3   158
 1965     1     2     6     6     1    16        2     4    30    35     3    74
 1966     2     7    12     4     0    25        2    17    60     7     0    86
 1967     3     1    11     1     0    16       24     4    28     2     0    58
 1968     1     9     4    11     0    25        2    56    11    50     0   119
 1969     2     2     8     4     0    16        8     5    29     7     0    49
 1970     3     9    14     7     4    37        7    36    51    16    10   120
 1971     0    12     5     7     5    29        0    65    13    25    25   128
 1972     6     2     7    11     1    27       17     8    20    46     1    92
 1973     0    10    11     9     0    30        0    40    44    14     0    98
 1974     0     2    18     1     0    21        0     8    88     1     0    97
 1975     4     5    19    12     1    41       14    16    72    31     2   135
 1976     0    10    15    13     5    43        0    21    70    51    13   155
 1977    10    13    18     4     1    46       37    83   142     8     4   274
 1978     3     8    11    10     9    41       13    31    45    41    36   166
 1979     3     8     8     8     3    30       11    34    21    29     6   101
 1980     5    11    17    10     8    51       20    65    96    29    33   243
 1981     0    10    11     4     3    28        0    31    53     6    11   101
 1982     0     3    12     6     1    22        0     9    55    23     1    88
 1983     0     8    14    22     9    53        0    44    59   165    38   306
 1984     0     8     8    13     5    34        0    19    16    62    19   116
 1985     4     4     6     3     6    23        8    32    15     6    19    80
 1986     0     8    11     2     2    23        0    44    36     3     3    86
 1987     7    18    18     6     2    51       24   112    86    39     5   266
 1988     4    16    11    15     2    48       15   105    54   123     6   303
 1989     1     3    11     2     1    18        4    18    66     8     2    98
 1990     1     6     6     6     4    23        2    22    28    15    12    79
 1991     2     9    11     4     0    26        6    50    59     7     0   122
 1992     2     3     1     2     0     8        7     6     1     3     0    17
 1993     0     0     1     3     1     5        0     0     4     6     1    11
 1994     1     5     0     3     3    12        6    15     0     6    12    39
 1995     0     8    10    13     0    31        0    37    58    50     0   145
 1996     1     8     2     1     0    12        3    32     6     3     0    44
 1997     0     5     9     3     0    17        0    16    24     5     0    45
 1998     5     6     4     2     6    23       16    14    13     2    26    71
 1999     0     6    15     1     2    24        0    10    73     3     5    91
 2000     0     2     1     1     3     7        0    12     5     2     8    27
 2001     2     9     6     7     0    24        9    30    18    28     0    85
 2002     1     8    18     2     3    32        5    28    64     5    13   115
 2003     0     2     4    10     2    18        0     4    11    33     3    51
 2004     0     2     2     0     0     4        0    10     3     0     0    13
 2005     0     7    11     0     0    18        0    24    39     0     0    63
 **************************************************************************************
MEANS   1.9   7.2  10.1   6.9   2.4  28.5      6.4  31.6  43.7  28.6   8.9 119.1
