# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0923] BRITT
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     2   7   9  18  11  12   7  10   8   7   7   6 104
1952     8   2   7   4   9   9   6  10   4   0   5   3  67
1953     6   4   8  10  11   6   8   7   2   0   4   7  73
1954     4   7  11   8   9  12  12  11   7  10   3   5  99
1955     5   4   6   6   7  10   8   5   6   8   5   7  77
1956     6   1   9   8  10   6  10  11   6   5   8   2  82
1957     4   2   9   4  13  14   7   7   8   6   7   7  88
1958     4   1   3   8   9  14  10   6   4   2   4   2  67
1959     6   5   9   5  14   7   4   9  10   9   6   6  90
1960     3   4  11   9  11   8   5  10   9   2   4   6  82
1961     4   5   8   9   9   5  12   5  12   5   7   9  90
1962     4  11   7   9  11   7  12  10   8   7   2   2  90
1963     6   8   8   8  10   6  11   7   8   4   3   3  82
1964     6   3  10  12   7   9   9   9   7   2   7   8  89
1965     4   5  16  13  12   8  10  12  18   4   4   6 112
1966     6   5   7   6   0  12  11   9   6   3   2   4  71
1967     7   9   4   9   4  17   5   4   5   8   6   4  82
1968     7   0   2  13  11  10  14  10  12  10   7  11 107
1969    13   6   4   9  15  11  11   5   7  13   4   9 107
1970     4   1   6   7  12   7  10   6  13  12  12   4  94
1971     4   8   0   5   9   7   8   4   8   9  10   7  79
1972     3   7   4  10  12  10   9  12  12  10   8   4 101
1973     7   7   0   9  16  10   7   5  12   7   6  10  96
1974     3   7  10   9   9   0   7  11   6   4   6   7  79
1975    10   5  10  14   8  14   1   8   4   1  12   2  89
1976     3   3   0   6   8   8   5   2   6   4   0   6  51
1977     9   3  13  12   7   5   7  15  12   0   9   5  97
1978     8   8   4  11   7   8  10   7   0   4   5   8  80
1979     0   0  10  10  11   7  11  15   3   6   6   2  81
1980     8   4   6   5   7   4   7  17   5   6   2   2  73
1981     0   8   2   9  11  11  11   6   1   8   4   6  77
1982     9   4   0   0  13  10  14   4   6   2   5   4  71
1983     2   0   0   0   0  10   0   0   3   6   0   0  21
1984     0   0   0   0   0   0   7   5   6  11   5   6  40
1985     2   1   7   6   7   6   7   7   8   5   6   3  65
1986     1   3   4  10  10   5   9   7  14   6   4   1  74
1987     1   0   0   0   0   0   0   0   0   5   8   5  19
1988     2   5   3  11   5  10   6   6  10   5   9   2  74
1989     5   6  11   7  10   9   6   6   6   5   7   3  81
1990     6   3   9  12  10  15  13  10   5   6   5  10 104
1991     6   5  12  15  16   6  10  10  11  10  14   5 120
1992     9   6  11   9   9   7  16   5  10   4   9  15 110
1993     7   8   9  12  18  15  13  16   9   2   6   9 124
1994    14   6   4  12   7  13  15   8  10   6   4   7 106
1995     3   1  12  13  10  10  10   8  12  10   4   5  98
1996    10   4   5   7  17  14   8   9   8   7  14   7 110
1997     8   4   8   7  12  11  13  12   9   5   7   8 104
1998    12  10  13  14  12  16   7  13   4  10   4   7 122
1999    13   5   4  16  16  16  16   8   8   4   3   6 115
2000     7   7  10   7  12  18   9   6   8  13  10  14 121
2001    14   7   3  14  18  13   9   8   6   6   7   5 110
2002    11   8   8  14  11  12  10  14  13  18   5   5 129
2003     9   8  13  14  13  15  12   7   4   7  13   9 124
2004     9  10  17   5  17  18  13   9   8  18   9  10 143
2005    13  11   7  11  19  15   7   0   0   0   0   0  83
STDDEV   4   3   4   4   4   4   4   4   4   4   3   3  24
AVG      6   5   7   9  10  10   9   8   7   6   6   6  90
