# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1233] CARROLL-2-SSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia1233   BASE TEMP=32
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    26 116           9    28 271          155
   1952   5    29 150           9    23 267          117
   1953   5    13 133           9    13 256          123
   1954   5    20 140           9    22 265          125
   1955   4     7  97           9    12 255          158
   1956   5     4 125           9    20 264          139
   1957   5     6 126          10    10 283          157
   1958   5     8 128           9    28 271          143
   1959   5    15 135           9    11 254          119
   1960   5    12 133          10     7 281          148
   1961   5     2 122           9    28 271          149
   1962   4    19 109           9    20 263          154
   1963   5    23 143          10    28 301          158
   1964   4    10 101           9    28 272          171
   1965   4    28 118           9    24 267          149
   1966   5    10 130           9    15 258          128
   1967   5     9 129           9    24 267          138
   1968   5    10 131          10     4 278          147
   1969   5    12 132          10    12 285          153
   1970   5     2 122          10    10 283          161
   1971   5    28 148           9    16 259          111
   1972   4    25 116           9    22 266          150
   1973   4    28 118          10    16 289          171
   1974   4    24 114           9     3 246          132
   1975   5     1 121           9    22 265          144
   1976   5     8 129          10     6 280          151
   1977   4    26 116          10     3 276          160
   1978   5     6 126          10    26 299          173
   1979   5    12 132          10     5 278          146
   1980   5     9 130           9    17 261          131
   1981   5    11 131          10     2 275          144
   1982   4    27 117           9    21 264          147
   1983   5    15 135           9    21 264          129
   1984   5     9 130           9    26 270          140
   1985   4     9  99           9    29 272          173
   1986   4    22 112          10     6 279          167
   1987   4     6  96          10     2 275          179
   1988   4    24 115          10     4 278          163
   1989   5     7 127           9    23 266          139
   1990   5     2 122          10     9 282          160
   1991   5     7 127           9    19 262          135
   1992   5     6 127           9    29 273          146
   1993   4    26 116           9    15 258          142
   1994   5     1 121          10    12 285          164
   1995   5     2 122           9    22 265          143
   1996   4    27 118          10     3 277          159
   1997   5    13 133          10    20 293          160
   1998   4    18 108          11     3 307          199
   1999   4    19 109           9    21 264          155
   2000   4    21 112          10     6 280          168
   2001   4    24 114          10     6 279          165
   2002   5     2 122          10     7 280          158
   2003   4    23 113           9    29 272          159
   2004   5    15 136          10     2 276          140
             MEAN=122              MEAN=272     MEAN=150
