# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1257] CASCADE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia1257
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     1     0     5     2     0     8        1     0    13     6     0    20
 1952     3    15    17     3     8    46        9    61    75     8    23   176
 1953     2     8    11    11     6    38        9    42    30    73    41   195
 1954     0    14    14     6     7    41        0    64    65    18    34   181
 1955     1     2    26    24     9    62        1     5   165   165    45   381
 1956     1    15    12     9     1    38        5    61    46    32     1   145
 1957     0     5    17    12     1    35        0    12    89    43     2   146
 1958     1     2     1    13     0    17        1     2     1    50     0    54
 1959     3     7     7    19     5    41        4    14    18    63    21   120
 1960     0     1     8     5     8    22        0     3    22    17    52    94
 1961     1     6     4     8     5    24        1    23     9    20    15    68
 1962     4     4     3     9     1    21        9     9     9    18     1    46
 1963     1    12    11     5     1    30        1    65    33    18     2   119
 1964     3     9    18     5     6    41        4    30    87    21    15   157
 1965     0     3     6     7     0    16        0     8    33    26     0    67
 1966     0     7    16     7     1    31        0    18    86    21     3   128
 1967     4     2    10     1     0    17       14     6    32     2     0    54
 1968     0     9     8     9     1    27        0    37    23    50     1   111
 1969     1     2     7     8     0    18        2     3    18    27     0    50
 1970     2     3    15     8     2    30        4    19    72    21     3   119
 1971     1    14     5     6     9    35        2    61     6    22    27   118
 1972     5     7     8    11     4    35       12    22    32    51     8   125
 1973     0     8    13    15     1    37        0    38    59    53     3   153
 1974     0     1    20     4     0    25        0     6   111    10     0   127
 1975     5    11    17    10     1    44       21    44    80    52     2   199
 1976     0     8    15    15     2    40        0    31    88    46     5   170
 1977     8     9    16     3     0    36       21    41   119     8     0   189
 1978     3     7     7     7     8    32       11    27    20    20    42   120
 1979     4     3     7     6     1    21        4    10    15    25     1    55
 1980     4     5    20    11     1    41        5    17    90    45     6   163
 1981     0     4     9     3     1    17        0     9    30     6     1    46
 1982     0     0    10     7     0    17        0     0    36    22     0    58
 1983     0     9    26    23     7    65        0    43   148   163    37   391
 1984     0     5    12    15     5    37        0    12    40    88    26   166
 1985     2     5    16     6     8    37        8    23    70    22    31   154
 1986     0     9    16     2     2    29        0    35    66     2     3   106
 1987     3    12    16     7     0    38        6    55    91    53     0   205
 1988     3    17    21    18     1    60        7    96   139   168     6   416
 1989     2     4    14     3     0    23        2     9    95    11     0   117
 1990     0     3     4     4     5    16        0     6    32    12    22    72
 1991     4    11    14    10     1    40       15    35    79    43     1   173
 1992     1     6     1     3     0    11        1    19     3     8     0    31
 1993     0     1     3     4     0     8        0     2     5     7     0    14
 1994     1     8     3     2     3    17        3    32     7     4     8    54
 1995     0    11    12    18     1    42        0    46    64    78     1   189
 1996     1     7     4     3     0    15        3    27     8     9     0    47
 1997     0     6     9     3     0    18        0    12    38    10     0    60
 1998     5     6    10     5     5    31       18    27    30     7    17    99
 1999     0     8    17     2     3    30        0    22    90     6    10   128
 2000     0     3     3     2     6    14        0     9     7     4    31    51
 2001     2     9    11    10     1    33        3    22    44    48     2   119
 2002     0     9    16     4     4    33        0    24    54    14    12   104
 2003     0     5     8    13     3    29        0    17    26    65     8   116
 2004     0     3     2     0     0     5        0     6     7     0     0    13
 2005     0    12    18     0     0    30        0    41    90     0     0   131
 **************************************************************************************
MEANS   1.5   6.8  11.3   7.7   2.6  29.9      3.8  25.6  51.7  34.2  10.3 125.6
