# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1277] CASTANA-EXP-FARM
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia1277
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     8     4     0    12        0     0    18    15     0    33
 1952     1    14    12     1     2    30        3    64    41     1     7   116
 1953     1    15    14    10     5    45        3    70    66    50    24   213
 1954     0     8    21     4     4    37        0    31   120     8    18   177
 1955     2     4    24    20    10    60        4    12   190   173    65   444
 1956     3    20     8    14     8    53        5   135    30    77    35   282
 1957     0     4    19    11     0    34        0     7    92    39     0   138
 1958     0     5     1    12     2    20        0    22     1    43     4    70
 1959     1     7     7    16     3    34        4    29    20    56    12   121
 1960     0     1    10     6     7    24        0     4    20    22    27    73
 1961     0     6     9     5     3    23        0    20    43    21     5    89
 1962     1     1     7     6     1    16        5     1    20    17     1    44
 1963     2    11    13     6     1    33        3    33    43    19     2   100
 1964     5     2    20     5     1    33        9     3   111    35     3   161
 1965     1     2     8    10     0    21        1     5    38    42     0    86
 1966     5     4    17     6     0    32       17     6    91    15     0   129
 1967     5     1     8     3     0    17       45     1    31     4     0    81
 1968     1    19     9     9     0    38        1    73    35    56     0   165
 1969     3     3    10    12     0    28        8    15    52    27     0   102
 1970     7    11    18    17    11    64       16    41    98    97    49   301
 1971     0    16     8    12     4    40        0    67    33    42    28   170
 1972     2     7     8    12     2    31        2    44    19    53     6   124
 1973     2    14    15    15     0    46        8    47    58    42     0   155
 1974     0     7    26     4     0    37        0    45   203     8     0   256
 1975     5     4    20    15     4    48       16     8    96    84    17   221
 1976     2     6    21    23     9    61        4    29   109   134    32   308
 1977     0    10    19     5     0    34        0    64   115    15     0   194
 1978     1    14    18    11     9    53        1    54    83    41    36   215
 1979     2    12    12    13     4    43        2    45    51    74     9   181
 1980     2     8    23    13     7    53        2    40   168    54    29   293
 1981     0    13    12     3     4    32        0    75    66     5    12   158
 1982     0     1    13     5     0    19        0     1    45    23     0    69
 1983     2     7    18    25     9    61        4    27    86   163    45   325
 1984     0     4    13    14     3    34        0     8    41    56    14   119
 1985     0     4    15     5     3    27        0    22    60    15    12   109
 1986     0    10    16     3     0    29        0    34    52     7     0    93
 1987     7    16    16     5     0    44       17    77    67    31     0   192
 1988     7    18    16    18     6    65       14   157    87   157    20   435
 1989     4     4    17     5     1    31       19    18   104    33     4   178
 1990     0    10     8    10    14    42        0    44    49    33    43   169
 1991     2     8    14    16     5    45        5    32    51    54     8   150
 1992     2     0     1     1     0     4        3     0     1     1     0     5
 1993     1     4     3     8     0    16        2    11     4    13     0    30
 1994     4     7     3     5     3    22       13    23     5    11     6    58
 1995     0     9    14    18     2    43        0    21    84    95     2   202
 1996     3    11     3     2     0    19       10    36    11     2     0    59
 1997     4    10    12    12     4    42        4    34    46    29    10   123
 1998     4     6    12    10    12    44        7    11    44    28    40   130
 1999     0     3    21     4     1    29        0     5    86     6     1    98
 2000     3     7    11    17    12    50        8    34    19    67    82   210
 2001     2     5    14    11     0    32        6    17    42    63     0   128
 2002     1    12    21     3     6    43        5    34    99    13    22   173
 2003     0     5     9    13     3    30        0    10    47    86     5   148
 2004     0     2     5     4     8    19        0     2    20    12    14    48
 2005     0     8    14     0     0    22        0    20    68     0     0    88
 **************************************************************************************
MEANS   1.8   7.6  13.0   9.4   3.5  35.3      5.0  32.1  61.4  43.0  13.6 155.3
