# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1277] CASTANA-EXP-FARM
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     2   8  11  15   9  10   8   7   6   6   2   6  90
1952     5   6   7   7  12   8   9  13   4   0   3   5  79
1953     7  10   9  11  12   9   5   8   1   3   2   2  79
1954     1   6   8   7   8  10   8  11   6  12   2   1  80
1955     5   4   8   9   5  12   8   5   6   4   2   2  70
1956     7   5   3   7   9   7  12  13   4   6   5   4  82
1957     6   2   9   8  15  11  12   8  13   9   9   5 107
1958     4   4   7  10   7  10  16   7   3   2   6   2  78
1959     5   5  11   5  18   6   4  12   8   9   5   5  93
1960     6   9  15   8  10  13   5  10   7   1   2   4  90
1961     3   4  12  11  10   8   8  11  17   3   6   5  98
1962     5  10  11   8  14  11  11   9   8   7   4   5 103
1963    11   6   9   9   8  12   9  12   9   5   3   4  97
1964     5   5   7  14   7  14   8  14  12   3   5   5  99
1965     6   6   9  11  12  10  12   7  19   1   3   4 100
1966     5   4   5   9  10  14   6   8   8   3   2   5  79
1967     7   2   5   7   6  16   4   7   4  10   1   5  74
1968     6   4   2  11  10   9   8  10   8   6   3   4  81
1969     7   4   4   6   6   7   8   6   4   6   1   4  63
1970     4   1   5   6   9   7  10   5   9   8   4   2  70
1971     1   6   2   4  11   6  10   4   4   5   5   5  63
1972     2   4   7   8  12   8  10   8  10   4   5   6  84
1973     4   4  10   8   9   7   9   6  10   5   6   3  81
1974     5   1   4   6  14   9   6  10   3   5   3   3  69
1975     9   3   6   8   7  14   5   9   6   1   5   1  74
1976     2   4   6   6   4   3   4   3   6   5   1   4  48
1977     4   2   9   9  11   9   7   9   9   9   6   7  91
1978     4   6   4  15  11   9   8   7   8   6   5   7  90
1979     6   6  10   5   5   8   5   8   4   5   6   3  71
1980     5   7   6   5  10   9   8  14   3   3   2   3  75
1981     1   5   4   9   6   8   6   8   4   8   7   6  72
1982     8   5  11  13  18   8   7   9   8  10   4   5 106
1983     8   5  13   9  10  13   7   6   9   8  10   7 105
1984     4   4  11  16  15  15   8   3   9  17   6   8 116
1985     6   5   9  10  10  13   5  13  16   8   8   7 110
1986     0   5   8  16  11   9   8   6  16   9   6   3  97
1987     1   4  12   6  14   8  13  16   7   3   6   8  98
1988     3   4   1   7   9   5   7   5  10   4   7   2  64
1989     6   6   6   7   8  12   3   8   5   3   2   7  73
1990     2   2  10   9  11  11  12   9   2   5   3   6  82
1991     6   3   8  11  15  11   8   7   7   7   9   3  95
1992     7   6   6   8   7   7  14   6   9   4   5   8  87
1993     9   8   8  12  17  14  18  12   9   4   6   5 122
1994     5   5   0   6   5  11  10   9   9   9   9   5  83
1995     3   2  12  14  17  13   8   8  10  11   3   3 104
1996    10   2   5   7  19  12   6   8   8   2   8  10  97
1997     6   3   4  11   6   7   9   6   8   7   6   6  79
1998     5   7  12  13  12  21   9  11   4  12   4   2 112
1999     6   6   5  13  13  10   9   8   5   1   2   5  83
2000     5   6   7   7   8  13  13   8   6   9   7   8  97
2001     9   6   4   9  13   9  12   9   9   4   4   4  92
2002     7   3   9  15  12  10   7   8   9  14   4   1  99
2003    10   5   9  12  18   9   9   5   7   4   9   8 105
2004     7   8  14   7  19  13  13   6   6  11   8   2 114
2005    13   9   8  10  13  20   7   0   0   0   0   0  80
STDDEV   3   2   3   3   4   3   3   3   4   4   2   2  16
AVG      5   5   8   9  11  10   9   8   7   6   5   5  88
