# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1319] CEDAR-RAPIDS-1
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.53   0.24   78(70)   16(14)   13(12)    5( 4)    0( 0)    0      112
  2 3/8-->3/14       1.68   0.25   64(64)   27(27)    5( 5)    4( 4)    0( 0)    0      100
  3 3/15-->3/21      1.10   0.23   63(62)   24(24)   12(12)    2( 2)    0( 0)    0      101
  4 3/22-->3/28      1.62   0.25   69(63)   24(22)   14(13)    2( 2)    0( 0)    0      109
  5 3/29-->4/4       2.61   0.32   74(61)   26(21)   15(12)    5( 4)    2( 2)    0      122
  6 4/5-->4/11       1.37   0.27   79(65)   23(19)   16(13)    4( 3)    0( 0)    0      122
  7 4/12-->4/18      2.79   0.33   71(54)   28(21)   27(20)    5( 4)    1( 1)    0      132
  8 4/19-->4/25      2.43   0.35   88(55)   31(19)   30(19)    8( 5)    2( 1)    0      159
  9 4/26-->5/2       2.49   0.35   83(56)   33(22)   17(12)   12( 8)    2( 1)    0      147
 10 5/3-->5/9        2.27   0.35   81(56)   28(19)   27(19)    8( 6)    1( 1)    0      145
 11 5/10-->5/16      2.83   0.44   84(54)   27(17)   24(15)   16(10)    4( 3)    0      155
 12 5/17-->5/23      2.38   0.34   95(64)   21(14)   21(14)    9( 6)    3( 2)    0      149
 13 5/24-->5/30      3.40   0.41   90(57)   26(17)   27(17)    9( 6)    5( 3)    0      157
 14 5/31-->6/6       4.76   0.39   78(58)   27(20)   18(13)    9( 7)    3( 2)    0      135
 15 6/7-->6/13       3.60   0.49   81(50)   28(17)   32(20)   16(10)    5( 3)    0      162
 16 6/14-->6/20      4.52   0.43   78(57)   20(15)   23(17)   12( 9)    3( 2)    0      136
 17 6/21-->6/27      3.59   0.48   61(50)   24(20)   21(17)   11( 9)    4( 3)    0      121
 18 6/28-->7/4       4.19   0.42   70(58)   16(13)   22(18)    8( 7)    4( 3)    0      120
 19 7/5-->7/11       6.63   0.57   63(52)   18(15)   24(20)   12(10)    5( 4)    0      122
 20 7/12-->7/18      3.88   0.54   52(47)   22(20)   18(16)   13(12)    6( 5)    0      111
 21 7/19-->7/25      3.73   0.35   69(54)   32(25)   17(13)    7( 6)    2( 2)    0      127
 22 7/26-->8/1       3.06   0.47   58(55)   12(11)   22(21)    9( 9)    4( 4)    0      105
 23 8/2-->8/8        4.71   0.52   49(42)   37(31)   13(11)   14(12)    5( 4)    0      118
 24 8/9-->8/15       2.68   0.41   49(51)   18(19)   20(21)    8( 8)    1( 1)    0       96
 25 8/16-->8/22      3.41   0.45   63(51)   22(18)   23(19)   13(10)    3( 2)    0      124
 26 8/23-->8/29      4.21   0.47   56(53)   15(14)   19(18)   13(12)    3( 3)    0      106
 27 8/30-->9/5       2.95   0.45   46(52)   18(20)   13(15)    8( 9)    4( 4)    0       89
 28 9/6-->9/12       2.08   0.37   57(55)   22(21)   14(13)    9( 9)    2( 2)    0      104
 29 9/13-->9/19      5.06   0.54   68(52)   19(15)   26(20)   10( 8)    7( 5)    0      130
 30 9/20-->9/26      2.11   0.39   66(53)   27(22)   18(15)   11( 9)    2( 2)    0      124
 31 9/27-->10/3      2.41   0.37   47(56)   16(19)   15(18)    5( 6)    1( 1)    0       84
 32 10/4-->10/10     1.69   0.36   53(57)   17(18)   13(14)   10(11)    0( 0)    0       93
 33 10/11-->10/17    2.03   0.37   49(55)   17(19)   13(15)    9(10)    1( 1)    0       89
 34 10/18-->10/24    2.05   0.36   64(61)   14(13)   18(17)    8( 8)    1( 1)    0      105
 35 10/25-->10/31    2.35   0.24   81(73)   15(14)   13(12)    1( 1)    1( 1)    0      111
 36 11/1-->11/7      2.64   0.33   81(72)    6( 5)   15(13)    8( 7)    2( 2)    0      112
 37 11/8-->11/14     1.15   0.22   68(68)   20(20)   10(10)    2( 2)    0( 0)    0      100
 38 11/15-->11/21    2.47   0.31   62(62)   20(20)   11(11)    5( 5)    2( 2)    0      100
 39 11/22-->11/28    1.99   0.23   73(72)   16(16)    8( 8)    5( 5)    0( 0)    0      102
 40 11/29-->12/5     1.86   0.20   77(79)   10(10)    8( 8)    2( 2)    0( 0)    0       97
 41 12/6-->12/12     1.01   0.20   77(79)    9( 9)   11(11)    1( 1)    0( 0)    0       98
 42 12/13-->12/19    1.89   0.17   65(80)   10(12)    5( 6)    1( 1)    0( 0)    0       81
 43 12/20-->12/26    1.49   0.16   79(82)   13(14)    2( 2)    2( 2)    0( 0)    0       96
 44 12/27-->1/2      1.49   0.21   64(70)   17(18)   10(11)    1( 1)    0( 0)    0       92
 45 1/3-->1/9        1.22   0.15   66(85)    7( 9)    4( 5)    1( 1)    0( 0)    0       78
 46 1/10-->1/16      2.92   0.17   81(88)    5( 5)    2( 2)    3( 3)    1( 1)    0       92
 47 1/17-->1/23      1.29   0.17   80(80)   13(13)    5( 5)    2( 2)    0( 0)    0      100
 48 1/24-->1/30      0.82   0.12   84(86)   11(11)    3( 3)    0( 0)    0( 0)    0       98
 49 1/31-->2/6       0.95   0.14   70(83)    7( 8)    7( 8)    0( 0)    0( 0)    0       84
 50 2/7-->2/13       1.73   0.17   63(81)   11(14)    3( 4)    1( 1)    0( 0)    0       78
