# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1319] CEDAR-RAPIDS-1
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia1319
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  28  14  29  12  40  21  54  33  68  43  76  54  83  61  84  62  80  57  72  47  56  37  38  23
  2  29  14  28  11  41  22  55  34  69  45  75  54  84  63  84  63  81  59  71  47  53  36  40  24
  3  29  12  29  11  40  23  55  35  68  46  76  52  83  62  85  63  80  59  70  46  53  34  39  23
  4  27  10  30  11  40  22  54  32  70  46  78  54  84  63  83  63  79  57  68  45  51  33  38  22
  5  28  10  30  12  39  23  56  33  70  48  80  56  84  61  82  62  79  56  67  45  50  31  39  23
  6  28  12  30  13  40  21  58  34  69  46  80  58  84  61  82  62  79  57  65  45  49  31  36  19
  7  25   8  30  11  40  20  59  34  68  46  80  58  85  62  84  62  81  56  65  43  50  31  35  19
  8  26   8  30  13  40  21  56  35  70  47  80  59  85  64  83  62  79  56  66  44  50  32  34  20
  9  26   9  31  13  42  22  56  33  70  47  80  57  85  63  83  62  78  57  65  43  50  32  33  17
 10  25   8  32  16  43  23  57  33  71  47  80  58  85  62  83  61  78  54  65  41  50  29  34  17
 11  27   9  31  14  43  26  59  36  71  48  81  60  85  63  82  60  78  53  66  42  49  30  32  16
 12  28  11  32  14  44  26  57  37  71  47  81  60  85  64  82  60  77  54  67  43  47  29  32  16
 13  30  13  34  16  43  26  59  37  72  47  82  59  85  64  83  61  76  54  66  44  49  30  32  15
 14  29  14  35  16  45  26  59  38  72  49  81  60  85  64  83  61  75  53  66  45  48  30  32  17
 15  28  10  34  17  44  25  61  38  73  50  80  59  85  63  83  61  73  52  66  43  50  31  32  17
 16  28   9  34  15  45  26  63  39  73  50  80  58  85  63  83  62  73  51  65  42  49  30  32  16
 17  28  10  35  16  45  26  64  39  74  51  82  58  85  65  83  61  74  52  64  41  49  31  30  15
 18  28  11  36  21  45  26  65  41  74  52  82  61  86  66  82  61  75  53  62  40  47  30  31  15
 19  28  10  37  20  46  28  64  42  74  51  83  60  85  65  82  61  74  54  61  38  46  29  31  16
 20  27   9  39  18  46  28  63  43  75  51  82  61  85  65  81  60  73  51  62  39  44  28  29  15
 21  28  12  37  19  46  27  65  41  75  51  82  60  84  64  82  60  70  50  63  41  44  26  29  13
 22  30  13  37  18  48  26  64  40  75  52  82  60  85  64  82  61  70  49  64  40  45  26  30  15
 23  30  11  37  21  50  28  64  41  74  52  82  59  85  64  81  60  68  46  61  41  44  26  31  16
 24  29  11  38  19  49  27  65  41  74  51  82  60  85  63  81  59  69  46  60  39  43  24  30  13
 25  29  11  38  19  49  29  66  43  74  51  84  60  85  64  82  60  72  48  59  38  43  26  29  13
 26  27   9  40  20  50  29  69  44  73  52  84  62  85  63  82  61  72  48  59  38  42  25  30  14
 27  26   9  39  21  53  30  67  45  73  53  84  62  85  64  83  62  71  47  59  39  40  24  31  15
 28  27   9  39  22  53  33  66  42  74  53  85  62  84  64  83  60  71  47  57  37  36  20  32  16
 29  27  10  41  20  51  31  66  43  75  54  85  63  85  62  83  61  71  47  58  36  36  21  31  15
 30  27   9 *** ***  53  32  68  43  77  54  84  62  85  62  83  61  71  47  58  38  38  21  29  14
 31  30  10 *** ***  54  34 *** ***  77  55 *** ***  84  62  81  60 *** ***  57  39 *** ***  30  14
