# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1319] CEDAR-RAPIDS-1
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia1319
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1480   1149   1111    600    126     52      5      5    149    395   1022   1331
 1952   1332    978    991    435    207     10      0     12    105    570    750   1134
 1953   1253   1014    870    619    200     10      4      2    105    273    706   1118
 1954   1375    801    988    380    302     44      0      2     66    427    725   1149
 1955   1337   1159    925    265    108     47      0      2     92    369    954   1338
 1956   1372   1147    963    544    162     21      2     17    125    205    807   1143
 1957   1534    946    877    426    189     26      0      4    121    446    843   1050
 1958   1284   1327    938    452    128     58      9     19     87    311    714   1375
 1959   1545   1196    939    479    134     18      7      0    138    531   1058    974
 1960   1318   1262   1309    429    200     33      4      2     83    377    712   1248
 1961   1342    945    853    632    257     29      0      1    149    331    774   1338
 1962   1537   1195   1070    516     79     32     11      2    153    341    764   1249
 1963   1684   1292    751    372    190     10      3     14     78    107    667   1554
 1964   1142   1063    962    425     63     24      0     36    131    430    663   1317
 1965   1428   1193   1213    480    106     12      0     25    144    369    742    962
 1966   1583   1134    747    560    292     31      0     17    142    409    748   1215
 1967   1226   1253    812    427    313     10     26     34    143    449    878   1128
 1968   1353   1219    653    394    239     27      4     11    106    382    827   1280
 1969   1497   1087   1057    383    170     82      2      0     92    494    813   1295
 1970   1647   1141    988    449    120     21      3      1    104    361    814   1203
 1971   1567   1182    998    430    246      0     16      3     97    190    780   1104
 1972   1451   1329    943    545    167     39     10     11     92    488    893   1397
 1973   1281   1046    631    510    214      1      0      0     88    223    758   1332
 1974   1396   1098    853    378    241     42      0     15    183    360    808   1165
 1975   1313   1159   1168    605     94     18      8      0    187    308    633   1135
 1976   1379    893    789    388    187      5      0      4    104    550   1029   1461
 1977   1795   1061    669    281     39      8      0     12     49    434    858   1382
 1978   1688   1419   1019    458    207     14      1      5     63    436    825   1346
 1979   1804   1453    988    596    188     11      4     17     72    373    834   1054
 1980   1338   1293    987    471    142     19      0      0     88    472    759   1211
 1981   1278   1026    761    308    205      3     14      9     96    441    740   1266
 1982   1732   1208    969    611     81     49      0     20    131    339    831   1018
 1983   1231    938    838    617    235     20      0      0    118    394    734   1650
 1984   1430    940   1102    511    231      1      5      8    152    322    759   1128
 1985   1555   1216    737    334     77     39      1     10    157    385    984   1609
 1986   1317   1231    748    340    119      7      1     27     71    367    933   1164
 1987   1230    838    731    336     85     10      1     33     85    511    653   1087
 1988   1463   1283    806    426     67      8      2      8     50    541    776   1165
 1989   1045   1333    919    469    206     28      0      4    134    332    822   1507
 1990   1033    959    700    465    210     25      1      2     86    380    619   1316
 1991   1485    953    747    363    125      1      0      2    155    396    995   1126
 1992   1160    937    762    485    164     22      8     42    154    407    920   1226
 1993   1342   1197    980    543    138     60      0      8    192    418    855   1158
 1994   1646   1256    794    406    168     14      2     16     84    292    692   1075
 1995   1392   1078    786    534    182      8      8      0    153    387    987   1245
 1996   1425   1170   1013    492    268     28      1      0    135    358   1010   1306
 1997   1486   1058    792    550    290      6      6      5     66    411    909   1128
 1998   1222    771    882    406     56     60      0      0     35    332    678   1021
 1999   1447    859    864    385    111     29      0      3    122    340    572   1116
 2000   1291    901    616    384    105     28      1      1    112    269    894   1639
 2001   1301   1248   1006    285    136     55      3      1    134    398    445   1015
 2002   1017    891    943    453    227      8      0      3     59    503    836   1056
 2003   1357   1191    877    381    187     34      0      0    122    353    788   1070
 2004   1395   1134    701    384    122     27      4     48     48    352    672   1121
 2005   1367    916    837    316    213      0      2      0      0      0      0      0
 MEAN   1399   1108    890    449    169     24      3     10    111    382    801   1226
