# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1319] CEDAR-RAPIDS-1
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     5   9  11  12  12  14  12  10   6  10   6   8 115
1952     6   8  13   7  14   7   7   9   3   0   5   7  86
1953     5   9  12  11   9  10  12   6   7   2   6   8  97
1954     3   6   9  10   9  15   8  17   9  12   4   8 110
1955    11   8   5  11   9   9   6   8  11  10   4   5  97
1956     7   7   8  10  13   7  12   9   5   0   0   0  78
1957     0   0   0   5  14  12   7  10   6   5   9   3  71
1958     6   3   3  11  10  10  12   7  10   4   7   4  87
1959     6   5  13   8  15   7   8  10   9  15   6   9 111
1960     6   8   9  10  15  15   7   6  12   7   7   5 107
1961     4   6   9  12   7   8  14   6  10   7   7   8  98
1962     9  13   9  12  12   7  11   4   7  10   3   3 100
1963    10   7   9  10  10   3  12  10   7   6   5   6  95
1964     4   3  10  11   7  11   6   7  11   1   7   9  87
1965     9   7   9  12  14   9   9  17  17   4   5   7 119
1966     5   4  10  10   9  10   6   2   3   5   6   7  77
1967     5   6   5  13  11  12   6   7   6  11   5  12  99
1968     6   4   4  11  13   9   8   9  14   7   8  11 104
1969     9   3   6  12  13  15  12   4   7  11   6   9 107
1970     7   6   8  11  14  10  10   5  13   9   8   6 107
1971     4   9   6   8  11  11  12   4   7   7  10   9  98
1972     5   8   8   9  13   8  14  10  10  12  10  10 117
1973     4   4  12  11  17  12  10   5  16   5  11  11 118
1974    10   6  10   9  17   9   6  12   6  10   9   8 112
1975     9   6  10  12  12  13   3  12   5   2  14   1  99
1976     4   5   9  10   9   8   6   5   4   7   1   4  72
1977     9   3  12   9   7   6   9  15  11   8  10  10 109
1978     5   9   6  12   9  12  13   8   5   7  10  11 107
1979    11   6  11  13   7   9   8  12   2   7   9   4  99
1980    12   8   3  12  12   9   7  14   9   5   4   7 102
1981     4   8   3  13  10   9  10   9   6  10  12   6 100
1982    14   4  11   9  17  12  12   7   9   8  10   9 122
1983     6   6   9  10  18   9   6   6  11  12  16   8 117
1984     6   7  10  10  11  16  11   7   9  14   6  14 121
1985     5   7   9   8  11  11   9   6   9  10  15   6 106
1986     5   8   6  10  15  11   9  10  17  10   7   5 113
1987     5   1  11   8  11   9   8  11   9   7  11  11 102
1988     6   6   3   7   3   6   5   9   7   8  12   5  77
1989     7   5   6  12   8   7   7  11   8   7   3   5  86
1990     6   7  13  15  14  17  17  10   8  10  10   9 136
1991     6   3  13   9  14   8   5   9  13  14  16   7 117
1992     9   6  14  19   5   7  17   9  12   6  14  16 134
1993    12   9  13  12  17  18  22  16  15   5   9   7 155
1994    14  10   4   8  11  12  14  10  10   3  11   8 115
1995     8   3  10  17  13  10   7   8  13  13   8   6 116
1996    12   4   6   8  21  15   6   8   8   9  15  14 126
1997     9  10   6   8  14  12   6  10  12  10  10  10 117
1998    12   9  13  13  13  17   6  15   6  12   5   4 125
1999    15   7   6  15  14  16  14  11   3   4   2  12 119
2000    10   9   7  10  15  17  12   8  12   8  10  14 132
2001    11   7   9  15  18  12   6   7  13  11   8   7 124
2002     6   7  11  14  11  11  12  10   7  15   6   5 115
2003     9   8  11  13  13  12  11   6   8   6  13   9 119
2004     8   8  20   7  19  12  11  13   4  14  12  10 138
2005    16  10  12  11  14   8   5   0   0   0   0   0  76
STDDEV   3   2   4   3   4   3   4   4   4   4   4   3  18
AVG      8   6   9  11  12  11   9   9   9   8   8   8 107
