# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1319] CEDAR-RAPIDS-1
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    0    0    0    0
 Sep 14    0    0    0    0
 Sep 16    0    0    0    0
 Sep 18    0    0    0    0
 Sep 20    4    0    0    0
 Sep 22    8    0    0    0
 Sep 24    9    0    0    0
 Sep 26   16    1    0    0
 Sep 28   20    4    1    0
 Sep 30   28    7    4    0
 Oct 02   33   10    7    0
 Oct 04   40   13    8    0
 Oct 06   48   15    8    2
 Oct 08   56   22   13    2
 Oct 10   61   27   16    4
 Oct 12   70   34   22    6
 Oct 14   73   37   25    7
 Oct 16   77   44   26    7
 Oct 18   81   50   32    7
 Oct 20   86   54   35   11
 Oct 22   89   58   41   15
 Oct 24   91   64   45   17
 Oct 26   92   66   51   20
 Oct 28   96   74   61   25
 Oct 30   97   77   66   33
 Nov 01   97   83   69   40
 Nov 03   98   86   75   50
 Nov 05   99   91   84   57
 Nov 07  100   97   90   62
 Nov 09  100   98   91   66
 Nov 11  100   99   94   74
 Nov 13  100   99   96   80
 Nov 15  100   99   96   84
 Nov 17  100   99   96   88
 Nov 19  100   99   97   90
 Nov 21  100   99   97   91
 Nov 23  100  100   98   92
 Nov 25  100  100   99   96
 Nov 27  100  100  100   96
 Nov 29  100  100  100   98
 Dec 01  100  100  100   98
 Dec 03  100  100  100   99
 Dec 05  100  100  100   99
 Dec 07  100  100  100   99
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
