# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1354] CENTERVILLE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia1354   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    19 109           9    28 271          162
   1952   4    16 107          10     6 280          173
   1953   5     4 124          10    28 301          177
   1954   5     4 124          10    30 303          179
   1955   4     7  97          10    15 288          191
   1956   4    24 115          11     8 313          198
   1957   4    14 104          10    25 298          194
   1958   4    29 119          11     6 310          191
   1959   4    21 111          10    12 285          174
   1960   4    10 101          10    20 294          193
   1961   4    18 108          10    20 293          185
   1962   4    16 106          10    24 297          191
   1963   4     4  94          11     1 305          211
   1964   4     9 100          10     9 283          183
   1965   4    17 107          11     4 308          201
   1966   5    10 130          10     6 279          149
   1967   4    24 114          10    11 284          170
   1968   4    23 114          10    29 303          189
   1969   3    31  90          10    17 290          200
   1970   4     5  95          11     1 305          210
   1971   4     6  96          11     6 310          214
   1972   4     8  99          10    15 289          190
   1973   4    13 103          11     5 309          206
   1974   4     8  98          10     2 275          177
   1975   4    12 102          10    19 292          190
   1976   5     4 125          10     6 280          155
   1977   4     6  96          10    16 289          193
   1978   3    27  86          10     8 281          195
   1979   4    10 100          10     5 278          178
   1980   4    16 107          10     5 279          172
   1981   4    15 105          10    19 292          187
   1982   4    21 111          10    21 294          183
   1983   4    20 110           9    23 266          156
   1984   4     1  92           9    29 273          181
   1985   4     9  99          11     4 308          209
   1986   4    22 112          10    14 287          175
   1987   4     4  94          10     3 276          182
   1988   4    24 115          10     6 280          165
   1989   5     7 127          10    20 293          166
   1990   4    17 107          10    19 292          185
   1991   3    30  89          10    19 292          203
   1992   4    21 112          10    17 291          179
   1993   4     6  96          10    29 302          206
   1994   4     7  97          10    25 298          201
   1995   4     5  95          10    22 295          200
   1996   4    10 101          11     1 306          205
   1997   4    17 107          10    22 295          188
   1998   3    25  84          11     5 309          225
   1999   3    27  86          10    18 291          205
   2000   4    13 104          10     7 281          177
   2001   4    19 109          10    17 290          181
   2002   4     6  96          10    16 289          193
   2003   4    11 101          10     3 276          175
   2004   4    13 104          11    12 317          213
             MEAN=104              MEAN=291     MEAN=187
