# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1354] CENTERVILLE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia1354
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     1    12     8     0    21        0     2    35    36     0    73
 1952     4    19    18     8     6    55        7    89    86    18    16   216
 1953     5    20    20    17    10    72       19    92   140   124    70   445
 1954     0    17    26    15    10    68        0   113   249    79    47   488
 1955     0     3    25    23     9    60        0    13   163   139    48   363
 1956     6    17    13    12     7    55       15    89    68    47    25   244
 1957     0     7    23    15     1    46        0    21   160    86     2   269
 1958     1     5     5    18     4    33        1    25    13    88     9   136
 1959     1    10    10    20     5    46        1    34    39    98    20   192
 1960     0     2    13    15     8    38        0     8    62    58    74   202
 1961     1     9    17    17     7    51        1    32    69    74    26   202
 1962    10    10    14    16     2    52       22    29    50    64     7   172
 1963     2    16    19     8     3    48        6   102    73    54     8   243
 1964     7     9    22    14     4    56       24    31   146    76     9   286
 1965     0     2    15    14     1    32        0     8    65    74     2   149
 1966     3     5    20     6     2    36       17    12   149    10     4   192
 1967     6     1    14     5     0    26       20     3    66    15     0   104
 1968     1    17    13    14     1    46        3    52    67    60     1   183
 1969     0     4    14    15     1    34        0    12    62    53     1   128
 1970     0     6    21    10     9    46        0    28   157    40    32   257
 1971     0    16    12    13    10    51        0    92    38    70    60   260
 1972     2     8    16    13     5    44        6    37    78    79    15   215
 1973     0     4    12    13     4    33        0    12    46    45    10   113
 1974     1     5    25     5     0    36        1    20   157    12     0   190
 1975     5     7    23    18     2    55       12    19   101   104    16   252
 1976     0     4    19    10     5    38        0    12   109    45     8   174
 1977     5     9    25     7     0    46        8    37   176    22     0   243
 1978     2    12    13    12    11    50        3    51    43    28    32   157
 1979     0     3     9    13     1    26        0     5    24    49     1    79
 1980     3     8    25    16     6    58       10    33   147    59    21   270
 1981     0     6    10     5     4    25        0    14    40    11     9    74
 1982     0     1    15     6     1    23        0     4    52    36     4    96
 1983     0    10    27    29    11    77        0    44   266   328    63   701
 1984     0     4    15    20     6    45        0    12    77   142    37   268
 1985     1     5    19     4     9    38        6    22    69    19    42   158
 1986     0    10    15     1     2    28        0    35    63     4     2   104
 1987     2    12    18    11     1    44        2    65   137    64     1   269
 1988     3    16    27    19     5    70        7   126   185   209    17   544
 1989     2     3    12     5     0    22        2     6    69    13     0    90
 1990     0     8    10    10     8    36        0    18    49    54    34   155
 1991     3    12    15    15     6    51        5    44   102    83    25   259
 1992     0     6     5     3     0    14        0     8    14    10     0    32
 1993     0     3     7    11     1    22        0     4    16    31     1    52
 1994     0     8    10     9     4    31        0    22    30    40     6    98
 1995     0     6    15    21     1    43        0    15    75   110     1   201
 1996     2    10     8     5     0    25        6    24    25    11     0    66
 1997     1    10    17    10     2    40        1    22   106    43     5   177
 1998     3     6    10    13     5    37        6    23    42    58    25   154
 1999     0     6    18     7     5    36        0    16   157    29    29   231
 2000     2     4     7    11     8    32        3    11    24    35    42   115
 2001     1     7    15    12     1    36        1    11    80    72     1   165
 2002     0    11    19     8     7    45        0    31   104    42    31   208
 2003     1     2    13    13     0    29        1     8    56   118     0   183
 2004     1     2     3     3     1    10        1     2    13     9     1    26
 2005     0     9    18     0     0    27        0    42   116     0     0   158
 **************************************************************************************
MEANS   1.6   7.9  15.7  11.7   4.0  40.8      3.9  31.7  87.4  61.4  17.1 201.5
