# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1394] CHARITON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia1394   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    31 304          197
   1952   4    16 107          10     7 281          174
   1953   4    20 110          10    27 300          190
   1954   4     4  94          10    18 291          197
   1955   3    29  88          10    15 288          200
   1956   4    24 115          10    26 300          185
   1957   4    14 104          10    19 292          188
   1958   4    29 119          10     1 274          155
   1959   3    22  81          10    28 301          220
   1960   4    10 101          10    20 294          193
   1961   4    18 108          10    26 299          191
   1962   4    16 106          10    24 297          191
   1963   3    22  81          10    29 302          221
   1964   4    26 117          10     6 280          163
   1965   4    19 109          10    12 285          176
   1966   4    21 111          10    17 290          179
   1967   4    24 114          10    11 284          170
   1968   4     5  96          10     4 278          182
   1969   4     6  96          10    14 287          191
   1970   4     4  94          10    16 289          195
   1971   5     3 123          11     6 310          187
   1972   4     8  99          10    15 289          190
   1973   4    13 103          11     5 309          206
   1974   4     6  96          10     1 274          178
   1975   4    12 102          10     2 275          173
   1976   4    12 103          10     6 280          177
   1977   4     6  96          10    16 289          193
   1978   3    27  86          10     8 281          195
   1979   4     6  96          10     5 278          182
   1980   4    13 104          10    12 286          182
   1981   4     6  96          10    19 292          196
   1982   4    21 111          10    22 295          184
   1983   4    20 110          11    17 321          211
   1984   4     1  92           9    29 273          181
   1985   4     9  99          11     4 308          209
   1986   4    22 112          11     9 313          201
   1987   4     7  97          10     3 276          179
   1988   4    24 115          10     5 279          164
   1989   4    15 105          10    20 293          188
   1990   4    18 108          10    19 292          184
   1991   4     1  91          10     7 280          189
   1992   5     6 127          10    17 291          164
   1993   4     6  96          10    10 283          187
   1994   4     7  97          10    26 299          202
   1995   4     5  95          10    22 295          200
   1996   4    10 101          11     1 306          205
   1997   4    17 107          10    22 295          188
   1998   3    25  84          11     6 310          226
   1999   3    27  86          10    18 291          205
   2000   4    13 104          10     7 281          177
   2001   4    19 109          10    17 290          181
   2002   4    27 117          10    13 286          169
   2003   4    11 101          10     2 275          174
   2004   4    14 105          11     5 310          205
             MEAN=102              MEAN=291     MEAN=189
