# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1402] CHARLES-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia1402
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  25  10  25   7  37  17  50  31  66  41  75  52  83  59  83  60  79  55  71  44  52  35  35  20
  2  26   8  24   5  36  19  52  31  67  42  74  51  83  61  84  61  80  56  70  44  51  33  35  20
  3  24   7  25   6  36  18  51  31  67  44  75  51  83  60  84  61  80  56  69  44  51  32  35  19
  4  23   6  26   7  36  19  50  30  69  44  78  53  82  61  82  60  79  55  67  42  48  30  35  19
  5  24   4  28   8  36  19  52  31  69  45  79  54  82  59  82  59  78  54  66  43  48  29  34  19
  6  23   6  26   8  36  18  54  31  68  43  79  55  84  59  82  60  78  55  64  42  48  29  31  15
  7  21   3  26   7  36  16  55  33  68  44  79  57  84  61  83  60  79  54  64  41  48  28  31  16
  8  23   4  26   8  36  18  52  32  68  45  79  56  84  62  82  60  78  54  64  41  48  28  30  16
  9  23   4  28   9  38  18  53  31  69  45  79  55  84  61  82  59  77  55  62  40  46  28  30  13
 10  22   4  29  13  39  20  54  32  70  45  80  56  83  60  82  59  77  51  64  39  46  27  29  12
 11  23   5  28  10  40  23  56  34  69  47  79  57  84  61  81  57  77  51  65  40  46  27  29  12
 12  25   8  29  11  39  23  55  35  69  45  80  58  84  62  82  58  76  52  65  41  44  27  29  13
 13  26   8  30  12  40  23  56  35  70  45  82  57  84  62  82  59  74  52  64  41  46  28  28  12
 14  26   9  31  12  41  23  57  35  72  47  81  58  83  61  82  58  72  50  65  42  45  27  29  13
 15  24   5  30  13  40  22  60  35  72  48  79  57  84  60  82  58  72  49  64  40  46  27  28  13
 16  24   5  30  12  41  22  60  37  73  48  79  56  84  61  82  59  71  48  63  39  46  26  29  12
 17  24   7  32  13  41  24  62  37  74  49  80  57  85  62  83  59  73  49  62  39  45  28  27  12
 18  24   7  33  17  41  24  62  38  73  50  80  58  85  64  82  58  74  50  59  37  44  27  27  11
 19  24   5  32  15  42  25  62  40  73  49  82  58  84  63  81  59  73  51  59  35  43  25  27  12
 20  23   4  33  14  42  25  62  41  75  49  81  58  84  62  81  57  70  48  60  37  41  25  25  10
 21  25   7  32  15  42  24  62  39  74  49  81  58  83  62  81  58  69  47  61  38  41  23  25   9
 22  27   8  33  15  45  24  62  37  74  51  81  58  84  62  81  58  68  46  62  38  40  23  26  11
 23  25   6  34  17  45  25  63  39  73  50  81  58  83  61  80  58  67  43  59  39  39  23  27  11
 24  25   6  34  16  45  24  63  39  72  49  82  58  84  60  80  58  68  44  58  35  39  20  26   9
 25  24   6  34  15  45  26  65  41  72  50  82  59  84  61  81  58  71  44  57  36  39  23  25   9
 26  23   5  35  16  46  26  66  41  72  51  83  59  84  61  81  59  71  45  58  35  37  22  26   9
 27  22   4  35  18  49  27  65  42  72  51  83  60  83  61  82  59  70  45  58  36  35  19  27  11
 28  23   6  35  18  48  30  65  40  73  52  84  60  83  60  82  58  69  44  56  34  31  16  28  12
 29  23   6  37  16  47  29  65  42  74  53  84  61  83  60  82  58  70  45  56  34  33  18  27  11
 30  24   4 *** ***  50  29  65  42  75  52  83  60  83  61  81  59  71  44  55  35  34  18  26   9
 31  26   4 *** ***  51  31 *** ***  76  53 *** ***  84  60  79  57 *** ***  55  35 *** ***  26   9
