# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1402] CHARLES-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia1402   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    26 116           9    28 271          155
   1952   4    15 106          10     5 279          173
   1953   5    13 133          10     7 280          147
   1954   5     7 127          10    18 291          164
   1955   4     7  97          10    15 288          191
   1956   4    30 121          10     9 283          162
   1957   5     5 125          10    10 283          158
   1958   4    29 119          10     1 274          155
   1959   4    22 112          10    12 285          173
   1960   4    18 109          10    19 293          184
   1961   5     2 122           9    28 271          149
   1962   4    17 107          10    24 297          190
   1963   5    22 142          10    29 302          160
   1964   4    15 106           9    28 272          166
   1965   4    28 118          10    13 286          168
   1966   5    10 130          10    17 290          160
   1967   5     6 126           9    29 272          146
   1968   5     5 126          10     4 278          152
   1969   4    29 119          10    14 287          168
   1970   5     2 122          10    10 283          161
   1971   5     3 123          10    31 304          181
   1972   4    25 116           9    30 274          158
   1973   4    16 106          10    30 303          197
   1974   5     6 126           9    22 265          139
   1975   4    22 112          10     2 275          163
   1976   4    12 103          10     6 280          177
   1977   4     8  98          10    16 289          191
   1978   5     2 122          10     8 281          159
   1979   4    28 118          10    13 286          168
   1980   4    24 115          10     5 279          164
   1981   5    10 130          10     2 275          145
   1982   4    21 111          10    21 294          183
   1983   4    20 110           9    23 266          156
   1984   4     6  97           9    25 269          172
   1985   4     9  99          10     1 274          175
   1986   4    22 112          10     6 279          167
   1987   4     5  95          10     3 276          181
   1988   4    27 118          10     3 277          159
   1989   5     7 127           9    23 266          139
   1990   5     1 121          10    10 283          162
   1991   4    10 100           9    20 263          163
   1992   5     6 127           9    29 273          146
   1993   4    21 111          10     2 275          164
   1994   5     2 122          10    10 283          161
   1995   4    10 100           9    22 265          165
   1996   4    23 114          10     3 277          163
   1997   5    15 135          10    14 287          152
   1998   4    17 107          10    22 295          188
   1999   4    12 102           9    21 264          162
   2000   4    12 103          10     6 280          177
   2001   4    24 114          10     6 279          165
   2002   4    26 116          10     7 280          164
   2003   4    10 100           9    29 272          172
   2004   5     3 124          10     2 276          152
             MEAN=115              MEAN=280     MEAN=165
