# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1402] CHARLES-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia1402
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1675   1293   1289    699    136     76     16     23    221    466   1114   1452
 1952   1523   1057   1092    498    260     23      1     19    147    631    858   1268
 1953   1389   1162    954    707    223     27      8      2    108    270    745   1191
 1954   1496    826   1033    413    326     46      0      5     79    455    747   1215
 1955   1428   1269   1029    302    114     50      0      4     95    405   1047   1477
 1956   1519   1316   1096    598    187     20      4     24    134    237    888   1221
 1957   1597   1036    978    475    219     31      0      5    155    503    934   1149
 1958   1336   1368    990    483    143     74      6     25     93    333    797   1471
 1959   1607   1378   1056    482    136     20     10      0    154    543   1146   1030
 1960   1357   1240   1371    475    193     40      4      4    133    416    766   1366
 1961   1493   1063    970    680    274     31      0      4    185    354    863   1445
 1962   1643   1309   1193    602    115     44     15      8    215    375    808   1326
 1963   1805   1393    899    451    228     14      5     25    102    163    747   1649
 1964   1270   1091   1104    501    101     42      1     50    172    508    822   1437
 1965   1603   1394   1356    601    128     22      1     33    208    399    848   1059
 1966   1775   1253    837    651    336     36      0     25    159    443    896   1318
 1967   1413   1365    885    498    345     16     34     40    160    492    967   1225
 1968   1466   1318    745    448    301     37      9     28    135    419    878   1387
 1969   1638   1228   1221    475    198    110      7      0    112    567    895   1376
 1970   1799   1281   1103    513    170     28      8      4    172    454    903   1396
 1971   1731   1322   1125    502    286      8     25     10    131    275    848   1287
 1972   1670   1418   1038    616    180     51     19     27    128    548    941   1540
 1973   1427   1134    721    585    273      3      0      4    129    266    834   1444
 1974   1527   1214    972    466    281     52      0     23    218    410    864   1257
 1975   1472   1280   1258    707    144     42     14      1    217    353    755   1244
 1976   1448    980    926    412    237     11      3     12    138    608   1091   1562
 1977   1910   1097    740    321     49     11      0     24     83    491    934   1466
 1978   1794   1489   1067    519    204     21      6      5     71    469    955   1495
 1979   1918   1537   1105    672    242     31      3     30    100    452    920   1137
 1980   1447   1371   1076    495    180     21      0      3    101    556    813   1305
 1981   1356   1089    805    385    232     11     15     19    123    500    780   1409
 1982   1849   1331   1064    653    110     70      0     33    160    404    941   1156
 1983   1314   1071    943    670    306     36      0      0    155    448    844   1792
 1984   1528   1026   1174    540    253      5      6      6    183    386    866   1291
 1985   1596   1323    827    376     87     65      2     23    208    456   1124   1750
 1986   1443   1313    850    403    152      9      4     37     95    422   1080   1301
 1987   1337    933    811    364     98      9      6     53    126    603    787   1222
 1988   1696   1486    940    547     82     12      4     19    101    662    916   1391
 1989   1234   1459   1085    545    238     49      0      5    186    425   1026   1625
 1990   1163   1118    834    533    280     48      9      6    101    473    742   1483
 1991   1641   1113    867    448    173      1      6      9    223    504   1129   1268
 1992   1285   1032    881    586    183     40     41     77    177    480   1003   1363
 1993   1505   1326   1133    630    223     75      0     20    286    511    964   1287
 1994   1803   1434    894    500    188     21     13     49    105    398    805   1260
 1995   1477   1208    900    618    244     28     12      0    201    483   1096   1346
 1996   1584   1286   1107    588    328     55      6      5    185    441   1152   1479
 1997   1624   1216    968    623    354     11     25     26    125    466   1035   1190
 1998   1360    916    987    440     75     84      0      1     58    423    798   1167
 1999   1582    972    913    470    164     51      1      8    192    460    697   1244
 2000   1435   1020    724    486    159     58      7      2    137    332    983   1738
 2001   1411   1372   1137    379    166     59      3      2    146    450    500   1106
 2002   1115    991   1076    509    252     23      1     10     96    609    881   1147
 2003   1449   1276    953    482    237     45      3      3    174    439    910   1182
 2004   1500   1245    783    433    182     52     13     72     70    414    766   1220
 2005   1500   1007    950    363    264      1      4      0      0      0      0      0
 MEAN   1527   1219    997    517    204     36      7     18    146    445    897   1345
