# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1402] CHARLES-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia1402
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0      4     39     42    189    108      7     15      0      0
 1952      0      0      0     14     29    216    254    143     73      0      0      0
 1953      0      0      0      0     39    205    248    225     75     40      0      0
 1954      0      0      0      5     20    257    313    175     81      9      0      0
 1955      0      0      0      1     58     94    424    356    108      8      0      0
 1956      0      0      0      1     71    279    166    233     23     12      0      0
 1957      0      0      0      7     21    131    375    221     24      0      0      0
 1958      0      0      0      3     34     63    150    242     55     10      0      0
 1959      0      0      0      0     69    182    216    335     92      0      0      0
 1960      0      0      0     17     12    107    226    239    119      4      0      0
 1961      0      0      0      0     35    174    187    222     89      0      0      0
 1962      0      0      0     12    109    126    176    180     33     20      0      0
 1963      0      0      0      1     30    233    237    160     63     39      0      0
 1964      0      0      0      1     82    165    341    174     66      0      0      0
 1965      0      0      0      0     60    111    227    186     15      8      0      0
 1966      0      0      0      0     18    150    303    139     47      7      0      0
 1967      0      0      3      4     40    129    173    105     14      9      0      0
 1968      0      0      0      0      8    173    210    210     34     26      0      0
 1969      0      0      0      0     55     52    264    225     48     19      0      0
 1970      0      0      0     29     71    174    258    197     85      7      0      0
 1971      0      0      0      3      9    277    157    173    133     20      0      0
 1972      0      0      0      0     86    133    204    238     53      0      0      0
 1973      0      0      0      0      6    189    265    252     50     14      0      0
 1974      0      0      0     12     22     97    357    142     32      0      0      0
 1975      0      0      0      0     74    176    302    266     39     25      0      0
 1976      0      0      0      7      8    158    316    188     60     12      0      0
 1977      0      0      0     24    141    187    336    129     55      0      0      0
 1978      0      0      0      0     72    159    211    206    144      0      0      0
 1979      0      0      0      0     27    126    201    190     65      5      0      0
 1980      0      0      0     17     66    158    310    223     89      0      0      0
 1981      0      0      0     10      5    141    262    150     33      0      0      0
 1982      0      0      0      0     34     46    264    183     51      0      0      0
 1983      0      0      0      0      2    158    340    360    104     13      0      0
 1984      0      0      0      2     15    157    183    270    101      0      0      0
 1985      0      0      0     41     59    106    223    114    129      0      0      0
 1986      0      0      1      7     31    178    290    104     68      0      0      0
 1987      0      0      0     15     96    241    337    172     37      0      0      0
 1988      0      0      0      0     67    252    294    311     58      0      0      0
 1989      0      0      0      2     30    116    301    205     32      5      0      0
 1990      0      0      0     24      6    165    190    169    132     11      0      0
 1991      0      0      0     14    129    260    243    171     73      0      0      0
 1992      0      0      0      2     58    109     94     71     26      3      0      0
 1993      0      0      0      0     18    101    179    174     15      9      0      0
 1994      0      0      0     16     43    169    122     87     67      0      0      0
 1995      0      0      0      0      1    184    238    304     41      6      0      0
 1996      0      0      0      0     29    166    147    112     47      0      0      0
 1997      0      0      0      0      5    150    207    109     35     40      0      0
 1998      0      0      0      0    100    141    222    198    115      0      0      0
 1999      0      0      0      0     27    138    317    120     40      0      0      0
 2000      0      0      0      0     34     80    213    207    108      4      1      0
 2001      0      0      0     17     58    187    328    256     37      3      0      0
 2002      0      0      0     29     49    228    365    166    116      3      0      0
 2003      0      0      0     12     13    121    232    272     81      8      0      0
 2004      0      0      0     17     42    102    164    103    115      6      0      0
 2005      0      0      0     10     10    229    294      0      0      0      0      0
 MEAN      0      0      0      7     43    157    248    194     65      8      0      0
