# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1442] CHEROKEE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia1442   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    26 116           9    28 271          155
   1952   4    15 106          10     5 279          173
   1953   4    27 117          10    26 299          182
   1954   5     8 128          10    17 290          162
   1955   4     7  97           9    11 254          157
   1956   5     4 125           9    30 274          149
   1957   5     6 126          10    10 283          157
   1958   5    20 140           9    28 271          131
   1959   4    22 112          10     9 282          170
   1960   5    12 133          10    16 290          157
   1961   5     2 122           9    28 271          149
   1962   4    17 107           9    20 263          156
   1963   5    23 143          10    28 301          158
   1964   4    13 104          10     9 283          179
   1965   4    28 118          10    12 285          167
   1966   5     9 129          10     1 274          145
   1967   5     9 129           9    28 271          142
   1968   5    17 138          10     4 278          140
   1969   5    12 132          10    14 287          155
   1970   5     2 122          10    10 283          161
   1971   5    12 132          10    10 283          151
   1972   4    25 116           9    30 274          158
   1973   5    17 137          10    16 289          152
   1974   4    17 107           9    22 265          158
   1975   4    20 110           9    25 268          158
   1976   5     8 129          10     6 280          151
   1977   4     7  97          10     3 276          179
   1978   5     3 123          10     7 280          157
   1979   5    12 132          10     5 278          146
   1980   5     9 130          10     3 277          147
   1981   5    11 131          10     2 275          144
   1982   4    27 117          10    16 289          172
   1983   5    15 135           9    23 266          131
   1984   4    18 109           9    26 270          161
   1985   4    10 100          10    10 283          183
   1986   4    22 112          10     6 279          167
   1987   4     8  98          10     3 276          178
   1988   4    28 119          10     4 278          159
   1989   5     8 128           9    23 266          138
   1990   5     6 126          10    10 283          157
   1991   5     7 127           9    19 262          135
   1992   5     6 127           9    29 273          146
   1993   4    26 116           9    15 258          142
   1994   5     2 122          10    25 298          176
   1995   5     2 122           9    22 265          143
   1996   4    30 121          10     3 277          156
   1997   5    13 133          10    20 293          160
   1998   4    17 107          10    22 295          188
   1999   4    18 108           9    21 264          156
   2000   4    22 113           9    21 265          152
   2001   4    24 114          10     6 279          165
   2002   5    19 139          10     7 280          141
   2003   4    23 113           9    30 273          160
   2004   5    15 136          10     2 276          140
             MEAN=120              MEAN=277     MEAN=157
