# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1533] CLARINDA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.43   0.27   60(66)   13(14)   16(18)    2( 2)    0( 0)    0       91
  2 3/8-->3/14       1.68   0.31   48(58)   15(18)   18(22)    2( 2)    0( 0)    0       83
  3 3/15-->3/21      2.90   0.32   57(63)   15(17)   12(13)    5( 6)    1( 1)    0       90
  4 3/22-->3/28      2.25   0.32   61(62)   19(19)    9( 9)    8( 8)    1( 1)    0       98
  5 3/29-->4/4       1.86   0.29   71(65)   20(18)   13(12)    6( 5)    0( 0)    0      110
  6 4/5-->4/11       2.62   0.29   65(64)   19(19)   11(11)    5( 5)    1( 1)    0      101
  7 4/12-->4/18      3.25   0.34   83(61)   22(16)   22(16)    7( 5)    1( 1)    0      135
  8 4/19-->4/25      3.03   0.30   87(63)   25(18)   18(13)    7( 5)    1( 1)    0      138
  9 4/26-->5/2       4.40   0.39   79(59)   17(13)   25(19)   10( 8)    2( 2)    0      133
 10 5/3-->5/9        2.80   0.42   71(49)   34(24)   24(17)   11( 8)    4( 3)    0      144
 11 5/10-->5/16      2.76   0.44   59(48)   26(21)   26(21)    9( 7)    3( 2)    0      123
 12 5/17-->5/23      2.88   0.50   55(42)   29(22)   29(22)   15(11)    3( 2)    0      131
 13 5/24-->5/30      3.44   0.42   84(54)   24(15)   30(19)   12( 8)    5( 3)    0      155
 14 5/31-->6/6       1.77   0.37   68(56)   22(18)   19(16)   12(10)    0( 0)    0      121
 15 6/7-->6/13       2.04   0.47   69(49)   25(18)   25(18)   22(15)    1( 1)    0      142
 16 6/14-->6/20      3.01   0.50   65(51)   16(13)   28(22)   15(12)    3( 2)    0      127
 17 6/21-->6/27      5.38   0.57   53(43)   26(21)   24(20)   14(11)    5( 4)    0      122
 18 6/28-->7/4       4.48   0.62   38(35)   25(23)   28(26)   11(10)    7( 6)    0      109
 19 7/5-->7/11       7.60   0.56   56(48)   21(18)   22(19)   12(10)    5( 4)    0      116
 20 7/12-->7/18      3.65   0.49   64(53)   17(14)   18(15)   18(15)    3( 3)    0      120
 21 7/19-->7/25      5.05   0.58   62(52)   16(13)   18(15)   17(14)    6( 5)    0      119
 22 7/26-->8/1       3.65   0.47   50(52)   18(19)   16(16)   11(11)    2( 2)    0       97
 23 8/2-->8/8        2.90   0.42   52(51)   20(20)   18(18)    9( 9)    2( 2)    0      101
 24 8/9-->8/15       4.77   0.43   66(57)   19(16)   17(15)   11( 9)    3( 3)    0      116
 25 8/16-->8/22      2.22   0.55   43(41)   18(17)   22(21)   18(17)    3( 3)    0      104
 26 8/23-->8/29      3.70   0.51   53(58)    9(10)   16(17)   11(12)    3( 3)    0       92
 27 8/30-->9/5       4.65   0.49   61(54)   18(16)   18(16)   10( 9)    5( 4)    0      112
 28 9/6-->9/12       4.28   0.59   50(51)   12(12)   18(18)   13(13)    5( 5)    0       98
 29 9/13-->9/19      2.90   0.47   54(52)   16(16)   18(17)   11(11)    4( 4)    0      103
 30 9/20-->9/26      2.17   0.41   64(58)   13(12)   19(17)   13(12)    1( 1)    0      110
 31 9/27-->10/3      1.90   0.34   48(60)    9(11)   18(23)    5( 6)    0( 0)    0       80
 32 10/4-->10/10     3.08   0.44   40(49)   16(20)   17(21)    8(10)    1( 1)    0       82
 33 10/11-->10/17    3.15   0.44   36(50)   16(22)   11(15)    7(10)    2( 3)    0       72
 34 10/18-->10/24    2.76   0.33   56(62)   16(18)   12(13)    4( 4)    2( 2)    0       90
 35 10/25-->10/31    2.10   0.33   49(60)   17(21)   11(13)    4( 5)    1( 1)    0       82
 36 11/1-->11/7      2.17   0.39   50(54)   20(22)   13(14)    8( 9)    2( 2)    0       93
 37 11/8-->11/14     1.96   0.32   43(65)    7(11)   11(17)    5( 8)    0( 0)    0       66
 38 11/15-->11/21    2.55   0.38   44(57)   11(14)   16(21)    5( 6)    1( 1)    0       77
 39 11/22-->11/28    1.42   0.22   43(70)   12(20)    5( 8)    1( 2)    0( 0)    0       61
 40 11/29-->12/5     2.00   0.25   51(74)    7(10)    8(12)    3( 4)    0( 0)    0       69
 41 12/6-->12/12     1.15   0.19   59(79)   10(13)    5( 7)    1( 1)    0( 0)    0       75
 42 12/13-->12/19    1.65   0.21   44(75)    7(12)    7(12)    1( 2)    0( 0)    0       59
 43 12/20-->12/26    1.20   0.19   37(70)   13(25)    2( 4)    1( 2)    0( 0)    0       53
 44 12/27-->1/2      1.60   0.21   48(80)    6(10)    4( 7)    2( 3)    0( 0)    0       60
 45 1/3-->1/9        1.15   0.22   35(70)   10(20)    4( 8)    1( 2)    0( 0)    0       50
 46 1/10-->1/16      1.26   0.23   32(71)    9(20)    2( 4)    2( 4)    0( 0)    0       45
 47 1/17-->1/23      0.75   0.19   42(72)   11(19)    5( 9)    0( 0)    0( 0)    0       58
 48 1/24-->1/30      0.75   0.16   50(79)   10(16)    3( 5)    0( 0)    0( 0)    0       63
 49 1/31-->2/6       1.40   0.21   48(73)   13(20)    4( 6)    1( 2)    0( 0)    0       66
 50 2/7-->2/13       1.50   0.21   44(70)   14(22)    3( 5)    2( 3)    0( 0)    0       63
 51 2/14-->2/20      1.99   0.22   61(80)    4( 5)    8(11)    3( 4)    0( 0)    0       76
 52 2/21-->2/27      1.22   0.23   53(71)   11(15)    8(11)    3( 4)    0( 0)    0       75
 53 2/28-->2/29      0.50   0.13   11(85)    2(15)    0( 0)    0( 0)    0( 0)    0       13
ANNUAL TOTALS        7.60   0.39 2872(57)  840(16)  774(15)  394( 7)   89( 1)    0     4969
