# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1533] CLARINDA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia1533   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113           9    28 271          158
   1952   4    16 107          10     6 280          173
   1953   4    27 117           9    22 265          148
   1954   4     8  98          10    28 301          203
   1955   4     8  98          10    15 288          190
   1956   4    24 115          10     7 281          166
   1957   4    14 104          10    18 291          187
   1958   4    29 119          10     1 274          155
   1959   4    22 112          10     9 282          170
   1960   4    30 121          10    19 293          172
   1961   5     2 122           9    28 271          149
   1962   4    17 107          10    24 297          190
   1963   5     1 121          10    29 302          181
   1964   4     9 100          10     9 283          183
   1965   4    28 118          10    12 285          167
   1966   4    28 118          10    16 289          171
   1967   5     2 122           9    28 271          149
   1968   4    25 116          10     4 278          162
   1969   4     6  96          10    14 287          191
   1970   5     2 122          10    10 283          161
   1971   4     7  97          10    31 304          207
   1972   4    25 116          10     7 281          165
   1973   4    16 106          10    29 302          196
   1974   4    15 105          10     1 274          169
   1975   4    20 110          10     2 275          165
   1976   5     3 124          10     6 280          156
   1977   4     6  96          11     9 313          217
   1978   5     2 122          10    26 299          177
   1979   4    28 118          10    13 286          168
   1980   5     8 129          10     4 278          149
   1981   5    11 131          10    22 295          164
   1982   4    21 111          10    20 293          182
   1983   4    19 109          10    14 287          178
   1984   4     6  97           9    30 274          177
   1985   4    15 105          11     2 306          201
   1986   4    22 112          10    14 287          175
   1987   4    12 102          10     3 276          174
   1988   4    20 111          10     5 279          168
   1989   4    19 109          10    18 291          182
   1990   4    18 108          10    10 283          175
   1991   4    11 101          10     6 279          178
   1992   4    23 114          10    17 291          177
   1993   4     9  99          10    10 283          184
   1994   4     8  98          10    25 298          200
   1995   4     6  96           9    22 265          169
   1996   4    14 105          10    30 304          199
   1997   5     1 121          10    14 287          166
   1998   4    17 107          11     6 310          203
   1999   4    19 109          10     4 277          168
   2000   4    13 104          10     6 280          176
   2001   4    25 115          10     6 279          164
   2002   4    22 112          10     7 280          168
   2003   4    10 100           9    29 272          172
   2004   5     3 124          10     2 276          152
             MEAN=110              MEAN=285     MEAN=175
